z=0 k                     pk_nl                    
6.4730941376e-06          109.900711239            
8.14914270275e-06         136.908528617            
1.02591628328e-05         170.553447714            
1.2915520794e-05          212.466519223            
1.62596773341e-05         264.67794738             
2.04697209835e-05         329.718317185            
2.57698519184e-05         410.738730123            
3.24423214383e-05         511.66292549             
4.08424628763e-05         637.375551467            
5.14176143952e-05         793.95528016             
6.4730941376e-05          988.961955625            
8.14914270275e-05         1231.78848182            
0.000102591628328         1534.0876729             
0.00012915520794          1910.28214177            
0.000162596773341         2378.15831495            
0.000204697209835         2959.53167059            
0.000257698519184         3680.94541543            
0.000324423214383         4574.33007963            
0.000408424628763         5677.51535971            
0.000514176143952         7034.45475232            
0.00064730941376          8694.93857934            
0.000814914270275         10713.2339381            
0.00102591628328          13144.6103675            
0.0012915520794           16038.9911246            
0.00162596773341          19431.3145563            
0.00204697209835          23327.6689741            
0.00257698519184          27687.1774373            
0.00324423214383          32399.8377042            
0.00408424628763          37176.0521719            
0.00514176143952          41836.6938966            
0.0064730941376           45867.9072205            
0.00814914270275          48696.3742815            
0.0102591628328           49654.8534723            
0.0129155207318           48149.3068608            
0.0162596234919           43952.5233188            
0.0204614481407           37686.3781669            
0.0254676382681           31257.592786             
0.0298096905358           27274.4907439            
0.0329393772529           25171.0659062            
0.0355006258573           23758.8905322            
0.0377782528453           22632.7301372            
0.0398975740811           21630.328756             
0.0419242296178           20677.0020013            
0.0438972855551           19733.9840092            
0.0458422598715           18787.1379424            
0.0477770573113           17835.0543739            
0.0497149874694           16884.5447715            
0.0516664333648           15949.2949059            
0.0536398361648           15045.2297671            
0.0556423074778           14188.7385231            
0.0576800266025           13394.6481967            
0.059758507438            12673.8355169            
0.0618827830841           12033.1132416            
0.0640575365907           11472.184892             
0.0662871953722           10985.1370924            
0.0685760004256           10560.3114302            
0.0709280576531           10181.1367685            
0.0733473762097           9828.23116625            
0.0758378972787           9481.48165954            
0.0784035157001           9123.39081729            
0.0810480962326           8741.67971127            
0.0837754857982           8332.07347825            
0.0865895227774           7900.09587003            
0.0894940442318           7459.12854683            
0.0924928918036           7027.5497708             
0.0955899169668           6624.36969729            
0.0987889862441           6264.02612549            
0.102093986981            5952.76933877            
0.105508834241            5687.92607629            
0.109037479374            5457.5885292             
0.112683920806            5244.24967733            
0.116452217589            5030.56354854            
0.120346506247            4804.54739849            
0.124371021454            4564.2135491             
0.128530121095            4317.41617639            
0.132828316265            4078.39507108            
0.137270306828            3860.97835553            
0.141861023162            3671.46110421            
0.146605674881            3505.707655              
0.15150980738             3353.88871615            
0.156579367302            3206.48453636            
0.161820778237            3056.98550453            
0.16724102835             2905.34804921            
0.172847772055            2758.38054638            
0.178649448518            2623.09596704            
0.184655420534            2501.23943909            
0.190876138449            2389.96140213            
0.197323335182            2283.06795406            
0.204010260371            2177.24175879            
0.210951964236            2074.36888117            
0.218165645358            1977.18542651            
0.225671081499            1887.33903489            
0.233491169624            1802.87639629            
0.241652611269            1721.33261206            
0.250186794004            1642.20865972            
0.259130941356            1566.93572272            
0.268529636295            1495.62039993            
0.27843687403             1427.24038206            
0.2889188801              1361.11279297            
0.300058060416            1297.35205799            
0.311958669123            1235.84885493            
0.32475516047             1176.11467462            
0.338624876356            1117.65343775            
0.353808010721            1060.3087451             
0.370640339481            1003.48301872            
0.389609524642            946.60002217             
0.411457628668            888.892415989            
0.43738063625             829.215851081            
0.469447556261            765.933283529            
0.511552362437            696.395264531            
0.571666524404            616.421959215            
0.66619532541             521.208682706            
0.817530234471            414.696933274            
1.02705185819             317.386479976            
1.29293615942             237.363707343            
1.62770999567             172.837791369            
2.04916547647             122.031251895            
2.57974649129             83.3909761784            
3.24770841388             55.2181161727            
4.08862265233             35.5538372726            
5.14727095625             22.3597422192            
6.48003020822             13.7960028701            
