z=0 k                     pk_nl                    
1.19484780168e-07         4.18780388564            
1.50422426076e-07         5.2458556448             
1.8937061469e-07          6.571224966              
2.38403479081e-07         8.23144982966            
3.00132198075e-07         10.311131737             
3.77844051054e-07         12.9162468215            
4.75677477567e-07         16.1795461651            
5.98842464327e-07         20.2673205093            
7.53897996003e-07         25.3878740748            
9.49101345069e-07         31.8021392982            
1.19484780168e-06         39.8369733898            
1.50422426076e-06         49.9018142767            
1.8937061469e-06          62.509544682             
2.38403479081e-06         78.3026275294            
3.00132198075e-06         98.0858444771            
3.77844051054e-06         122.867305866            
4.75677477567e-06         153.909821864            
5.98842464327e-06         192.795252562            
7.53897996003e-06         241.505116181            
9.49101345069e-06         302.521562986            
1.19484780168e-05         378.953992953            
1.50422426076e-05         474.692281248            
1.8937061469e-05          594.614406545            
2.38403479081e-05         744.82573461             
3.00132198075e-05         932.969979584            
3.77844051054e-05         1168.6130464             
4.75677477567e-05         1463.72031811            
5.98842464327e-05         1833.24572115            
7.53897996003e-05         2295.85347777            
9.49101345069e-05         2874.790531              
0.000119484780168         3598.91929253            
0.000150422426076         4503.89944587            
0.00018937061469          5633.46872411            
0.000238403479081         7040.71031838            
0.000300132198075         8789.11953453            
0.000377844051054         10953.2161818            
0.000475677477567         13618.3656387            
0.000598842464327         16879.1109512            
0.000753897996003         20834.4215594            
0.000949101345069         25577.9033415            
0.00119484780168          31182.1974193            
0.00150422426076          37675.9374213            
0.0018937061469           45012.8121497            
0.00238403479081          53036.8622768            
0.00300132198075          61437.0608334            
0.00377844051054          69605.6804356            
0.00475677477567          77010.1529467            
0.00598842464327          82606.0128808            
0.00753897996003          85236.2843034            
0.00949101345069          83650.2769656            
0.0119484779996           76863.6808516            
0.0150422224221           64921.8572363            
0.0189330847593           49909.4656294            
0.0236599788328           36391.8543012            
0.0280396307175           29183.5243343            
0.031173468252            26347.3069865            
0.0336911573403           24909.4402611            
0.03590830462             23953.8829134            
0.0379598749765           23139.8392761            
0.0399148704835           22308.8124194            
0.0418136553179           21385.8543354            
0.0436822580843           20339.4160812            
0.045538757709            19169.6202725            
0.0473964819001           17903.5454397            
0.0492657548806           16581.45363              
0.05115491934             15252.9430337            
0.0530709671559           13969.0973345            
0.0550199461087           12779.3932927            
0.0570072317765           11721.6203008            
0.0590377148009           10822.4709078            
0.0611159330734           10094.0990516            
0.0632461669244           9533.93250167            
0.0654325087637           9126.94844982            
0.0676789146371           8843.59761105            
0.0699892427115           8644.1852063             
0.0723672821399           8482.47079144            
0.0748167747551           8307.02300497            
0.0773414313785           8074.1543297             
0.079944944096            7751.55535137            
0.0826309955569           7331.7768588             
0.0854032661625           6830.45935086            
0.0882654398802           6286.73480187            
0.0912212093368           5750.91487296            
0.094274280791            5271.42910757            
0.0974283795517           4882.36248931            
0.100687256388            4597.65605477            
0.104054695464            4407.80712536            
0.10753452432             4282.58916896            
0.111130626422            4179.90129467            
0.114846956794            4056.16798312            
0.118687561241            3878.63764162            
0.122656599697            3643.43800635            
0.126758374223            3376.48482786            
0.130997362241            3117.61194468            
0.135378255609            2899.49541908            
0.13990600625             2736.67278177            
0.144585879159            2623.10818124            
0.149423513786            2533.99636135            
0.154424995019            2437.70858839            
0.159596935319            2316.45438616            
0.164946569994            2174.5519588             
0.170481868132            2032.58368526            
0.176211662502            1912.65484896            
0.182145802689            1820.61385234            
0.18829533704             1744.76895567            
0.194672730805            1668.61557506            
0.201292130161            1582.84786567            
0.208169685157            1493.55491895            
0.215323949053            1412.59177456            
0.222776377938            1344.63002522            
0.230551963564            1283.43112089            
0.238680045495            1221.11909678            
0.247195368182            1157.76835739            
0.256139477929            1098.29881947            
0.265562600054            1044.45410888            
0.27552620801             993.50308877             
0.286106612191            942.558179391            
0.297400089639            893.361832668            
0.309530409779            847.292848322            
0.322660209351            802.102786893            
0.337008786831            757.665952589            
0.352881075799            714.418250165            
0.370717086781            671.300120464            
0.39118107575             628.087961725            
0.415333173934            583.921889615            
0.444985454532            537.787623846            
0.483501457586            488.034692573            
0.537688452214            432.178163816            
0.621733573424            367.263471615            
0.757514330999            295.260006124            
0.950359632972            229.537117485            
1.1963435869              176.419444078            
1.50610685689             133.780778676            
1.89607619461             99.6160116263            
2.3870185041              72.5379726993            
3.00507825323             51.489628379             
3.78316937742             35.5713490538            
4.76272806636             23.927803909             
5.9959193922              15.7044998116            
7.54841528991             10.0862456036            
