k                         pk_lin                   
6.94654130136e-06         89.2005919987            
8.74517736836e-06         113.503744327            
1.10095260197e-05         144.428413394            
1.3860172078e-05          183.778664918            
1.74489228408e-05         233.848588748            
2.19668923727e-05         297.558607525            
2.76546790262e-05         378.623471558            
3.48151781811e-05         481.768266881            
4.38297125283e-05         613.002058995            
5.51783388935e-05         779.964338963            
6.94654130136e-05         992.362381786            
8.74517736836e-05         1262.5209698             
0.0001                    1452.48538323            
0.000110095260197         1606.06853774            
0.00013860172078          2042.78420158            
0.000174489228408         2597.62610663            
0.000219668923727         3301.94896654            
0.000276546790262         4194.89405573            
0.000348151781811         5324.89795327            
0.000438297125283         6751.22104606            
0.000551783388935         8545.32432347            
0.000694654130136         10791.7033752            
0.000874517736836         13587.2800054            
0.00110095260197          17037.8794156            
0.0013860172078           21251.391115             
0.00174489228408          26324.4076199            
0.00219668923727          32321.1005756            
0.00276546790262          39243.6692912            
0.00348151781811          46990.2669647            
0.00438297125283          55303.0822835            
0.00551783388935          63716.212317             
0.00694654130136          71484.1071958            
0.00874517736836          77539.0071612            
0.01                      79755.2799753            
0.0110095260197           80548.9539188            
0.013860171937            79148.4637718            
0.017448822013            72630.8165865            
0.0219536280352           62043.984911             
0.0272330882486           51315.3404986            
0.0316289486363           45222.0903142            
0.0348272940735           42204.6819038            
0.0374736342655           40297.6868394            
0.0398406254686           38829.4034818            
0.0420505169441           37516.5339936            
0.0441683041555           36216.0249187            
0.046233083923            34849.1370819            
0.04827059952             33386.1782002            
0.0502990286163           31820.4940776            
0.0523319545322           30170.6018573            
0.0543800209357           28470.831168             
0.0564519140307           26762.659825             
0.0585549761321           25097.8283652            
0.0606956052735           23524.4815131            
0.0628795245535           22084.477014             
0.0651119689077           20808.6434691            
0.0673978176802           19716.9020307            
0.0697416905168           18809.214491             
0.0721480177589           18070.9751935            
0.074621092688            17471.4843025            
0.0771651105832           16965.9696361            
0.0797841980374           16500.7746376            
0.0824824349946           16019.1648723            
0.0852638713189           15472.0698293            
0.0881325392754           14825.633878             
0.0910924630195           14072.7800522            
0.0941476659956           13234.202806             
0.097302177025            12355.5345126            
0.1                       11637.236269             
0.100560035778            11495.2608821            
1.0                       115.758260194            
10.0                      0.404541509187           
