k                         pk_nl                    
6.99815329908e-06         289.532945106            
8.81015302385e-06         357.330016332            
1.10913255235e-05         441.002458373            
1.3963151552e-05          544.267650077            
1.75785663176e-05         671.709355185            
2.21301038401e-05         828.988680489            
2.786015009e-05           1023.08869187            
3.50738509247e-05         1262.62385741            
4.41553622186e-05         1558.21861412            
5.55883075639e-05         1922.97135677            
6.99815329908e-05         2373.02050124            
8.81015302385e-05         2928.23087146            
0.000110913255235         3613.01743339            
0.00013963151552          4457.31790065            
0.000175785663176         5497.71221144            
0.000221301038401         6778.66135631            
0.0002786015009           8353.79622672            
0.000350738509247         10287.1359452            
0.000441553622186         12654.0616561            
0.000555883075639         15541.7856023            
0.000699815329908         19048.7526783            
0.000881015302385         23281.7211018            
0.00110913255235          28348.282285             
0.0013963151552           34347.3045043            
0.00175785663176          41348.0788219            
0.00221301038401          49363.7528906            
0.002786015009            58315.9100256            
0.00350738509247          67733.3859505            
0.00441553622186          77602.1616113            
0.00555883075639          87087.0137182            
0.00699815329908          95225.5279285            
0.00881015302385          100724.737995            
0.0110913255235           102074.557683            
0.0139631514833           97846.4781552            
0.017578507159            87496.5636257            
0.0221210548198           72575.2922215            
0.0275308932178           57862.6566921            
0.0322174386956           49398.4353283            
0.0355961909743           45378.9644948            
0.0383621625392           42959.254244             
0.0408222623001           41191.4255779            
0.0431115988787           39682.5084941            
0.0453009724025           38243.4244901            
0.0474325330511           36769.5931846            
0.0495338197014           35210.588523             
0.0516241586016           33551.791425             
0.0537179181945           31802.9159246            
0.0558263089546           29995.3435893            
0.0579584457546           28174.1721477            
0.0601220085252           26393.0578966            
0.0623236709315           24702.3489938            
0.0645693884253           23150.9025058            
0.0668645974823           21774.0574749            
0.069214356728            20595.359542             
0.0716234488494           19620.5705738            
0.0740964553127           18838.0081325            
0.0766378117656           18219.8038281            
0.0792518494328           17723.4294345            
0.0819428261797           17293.9699419            
0.0847149498612           16871.6192028            
0.0875723958751           16399.3939893            
0.0905193203822           15833.7859636            
0.0935598703401           15155.6021959            
0.096698191301            14375.8391407            
0.099938433784            13533.9816168            
0.103284758945            12688.8364392            
0.106741344217            11902.8565127            
0.110312389547            11226.9987011            
0.114002124854            10687.5115399            
0.117814819289            10281.005845             
0.121754792902            9973.84878215            
0.125826431292            9715.08133614            
0.130034203814            9442.77721387            
0.134382685935            9106.87807793            
0.138876586322            8694.1977545             
0.143520779277            8232.91002132            
0.148320343159            7774.22089008            
0.153280605521            7366.93883361            
0.158407195759            7039.5034155             
0.163706106236            6789.35362922            
0.169183763041            6583.2649676             
0.174847107808            6375.88083261            
0.180703692425            6136.37887277            
0.186761788936            5864.37129725            
0.193030517625            5588.27476003            
0.19951999713             5343.12157142            
0.206241521624            5141.95084911            
0.213207771633            4971.13708571            
0.220433067137            4804.30267204            
0.227933674432            4623.78898399            
0.235728182089            4436.25672076            
0.24383796671             4259.98143789            
0.252287776752            4105.51973959            
0.26110647352             3964.35397637            
0.2703279842              3823.07678942            
0.27999254521             3678.96401577            
0.290148349538            3540.38049063            
0.300853766534            3411.63189618            
0.312180389425            3287.90175491            
0.324217307206            3163.74047605            
0.33707723476             3041.54145296            
0.350905546615            2923.71009791            
0.365894001665            2806.33332044            
0.382302341942            2688.4183812             
0.400493706495            2570.38691238            
0.420995561734            2449.5559881             
0.444610658522            2324.35077118            
0.472633030432            2191.54825118            
0.507301809057            2046.52538902            
0.552832223596            1881.38236655            
0.617855101673            1682.99325909            
0.720127223244            1433.50767262            
0.883823203255            1136.74326035            
1.110356951               851.989220164            
1.3978080475              614.041180136            
1.75973586893             426.504849537            
2.21537620332             286.582229478            
2.78899339904             187.267174051            
3.51113466338             119.639619825            
4.42025665196             75.0891321464            
5.56477342581             46.4871976649            
