# Matter power spectrum P(k) at redshift z=0
# for k=1.38956e-05 to 0.136452 h/Mpc,
# number of wavenumbers equal to 57
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.389559074550e-05       2.007012230021e+01 
       1.749351230141e-05       2.518255304545e+01 
       2.202302717777e-05       3.159725771361e+01 
       2.772534855873e-05       3.964593572288e+01 
       3.490414585144e-05       4.974478290134e+01 
       4.394171618935e-05       6.241597336118e+01 
       5.531934314862e-05       7.831463120924e+01 
       6.964292685355e-05       9.826263616131e+01 
       8.767525036766e-05       1.232909758775e+02 
       1.103766006733e-04       1.546927685342e+02 
       1.389559074550e-04       1.940895626145e+02 
       1.749351230141e-04       2.435140313245e+02 
       2.202302717777e-04       3.055128698272e+02 
       2.772534855873e-04       3.832740975988e+02 
       3.490414585144e-04       4.807835783951e+02 
       4.394171618935e-04       6.030152896581e+02 
       5.531934314862e-04       7.561595015663e+02 
       6.964292685355e-04       9.478913646078e+02 
       8.767525036766e-04       1.187680019695e+03 
       1.103766006733e-03       1.487132667964e+03 
       1.389559074550e-03       1.860350556618e+03 
       1.749351230141e-03       2.324186918415e+03 
       2.202302717777e-03       2.898288336677e+03 
       2.772534855873e-03       3.605420340567e+03 
       3.490414585144e-03       4.470319584986e+03 
       4.394171618935e-03       5.518298746511e+03 
       5.531934314862e-03       6.772353859734e+03 
       6.964292685355e-03       8.248267420393e+03 
       8.767525036766e-03       9.946311395135e+03 
       1.103766006733e-02       1.184052423984e+04 
       1.389559074550e-02       1.386216631036e+04 
       1.749351230141e-02       1.588068370851e+04 
       2.202302717469e-02       1.769051504425e+04 
       2.772534210987e-02       1.902053678121e+04 
       3.490210821562e-02       1.960580429567e+04 
       4.380429042821e-02       1.935436172074e+04 
       5.303412298320e-02       1.864382366967e+04 
       5.976978295074e-02       1.807413284140e+04 
       6.498087031796e-02       1.764266945834e+04 
       6.947716923930e-02       1.727411043674e+04 
       7.359055823719e-02       1.693141247692e+04 
       7.748285761574e-02       1.659454840845e+04 
       8.124558292087e-02       1.625156453313e+04 
       8.493629687419e-02       1.589529418152e+04 
       8.859421447361e-02       1.552260907163e+04 
       9.224779242758e-02       1.513242808013e+04 
       9.591878394106e-02       1.472644703084e+04 
       9.962456810855e-02       1.430836159096e+04 
       1.033795672699e-01       1.388322477843e+04 
       1.071961504338e-01       1.345765221174e+04 
       1.110852314770e-01       1.303784283234e+04 
       1.150566779021e-01       1.263070155620e+04 
       1.191195974976e-01       1.224106935338e+04 
       1.232825436880e-01       1.187311983494e+04 
       1.275536651518e-01       1.152815449898e+04 
       1.319408162583e-01       1.120518447479e+04 
       1.364516393403e-01       1.090048297026e+04 
