# Matter power spectrum P(k) at redshift z=2.5
# for k=8.12801e-06 to 10.2443 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.128009491899e-06       1.119395498214e+01 
       1.023255769666e-05       1.402596065505e+01 
       1.288202691197e-05       1.757442488558e+01 
       1.621751103489e-05       2.202058000193e+01 
       2.041663675788e-05       2.759148034309e+01 
       2.570302283787e-05       3.457156552139e+01 
       3.235818861052e-05       4.331712415892e+01 
       4.073654592141e-05       5.427435371038e+01 
       5.128427284918e-05       6.800189007103e+01 
       6.456307431522e-05       8.519879844884e+01 
       8.128009491899e-05       1.067392308511e+02 
       1.023255769666e-04       1.337149814911e+02 
       1.288202691197e-04       1.674871306467e+02 
       1.621751103489e-04       2.097474909488e+02 
       2.041663675788e-04       2.625893192120e+02 
       2.570302283787e-04       3.285841027465e+02 
       3.235818861052e-04       4.108562103310e+02 
       4.073654592141e-04       5.131390576199e+02 
       5.128427284918e-04       6.397858650954e+02 
       6.456307431522e-04       7.957002445416e+02 
       8.128009491899e-04       9.861563061713e+02 
       1.023255769666e-03       1.216490442449e+03 
       1.288202691197e-03       1.491597799812e+03 
       1.621751103489e-03       1.814995902148e+03 
       2.041663675788e-03       2.187306815680e+03 
       2.570302283787e-03       2.604548113072e+03 
       3.235818861052e-03       3.056209800943e+03 
       4.073654592141e-03       3.523205005013e+03 
       5.128427284918e-03       3.976412067336e+03 
       6.456307431522e-03       4.376228245979e+03 
       8.128009491899e-03       4.672644909252e+03 
       1.023255769666e-02       4.809496432599e+03 
       1.288202691196e-02       4.730711764637e+03 
       1.621751099101e-02       4.397545034518e+03 
       2.041659280884e-02       3.819851117841e+03 
       2.569541672022e-02       3.094838682734e+03 
       3.204973102537e-02       2.426537428417e+03 
       3.773899273902e-02       2.041777197802e+03 
       4.182001184614e-02       1.855621257753e+03 
       4.513083633490e-02       1.736693940735e+03 
       4.806153183866e-02       1.643215304256e+03 
       5.078134405648e-02       1.559623075293e+03 
       5.337790614292e-02       1.479081628647e+03 
       5.590294608633e-02       1.398637849497e+03 
       5.839004539324e-02       1.317419882554e+03 
       6.086265258227e-02       1.235825292064e+03 
       6.333812883898e-02       1.155008356886e+03 
       6.582997221621e-02       1.076527852962e+03 
       6.834912447283e-02       1.002056497039e+03 
       7.090478075880e-02       9.331239780650e+02 
       7.350491339565e-02       8.709339779342e+02 
       7.615662295269e-02       8.162518758253e+02 
       7.886638057352e-02       7.692624647904e+02 
       8.164019933260e-02       7.295949324554e+02 
       8.448375780875e-02       6.963039999090e+02 
       8.740249059017e-02       6.679810335837e+02 
       9.040165533255e-02       6.428689439938e+02 
       9.348638283974e-02       6.190427129067e+02 
       9.666171463614e-02       5.947099071220e+02 
       9.993263120591e-02       5.684628738642e+02 
       1.033040732238e-01       5.395524221954e+02 
       1.067809575383e-01       5.080564864747e+02 
       1.103681892921e-01       4.748852444059e+02 
       1.140706713153e-01       4.415635460487e+02 
       1.178933117615e-01       4.098394124821e+02 
       1.218410308511e-01       3.812639701982e+02 
       1.259187675151e-01       3.567800481749e+02 
       1.301314866934e-01       3.365127364326e+02 
       1.344841880116e-01       3.197780103981e+02 
       1.389819165450e-01       3.052533953372e+02 
       1.436297763674e-01       2.913626162300e+02 
       1.484329475744e-01       2.767674072731e+02 
       1.533967074655e-01       2.608208983543e+02 
       1.585264565745e-01       2.437014061918e+02 
       1.638277502419e-01       2.265332266187e+02 
       1.693063364509e-01       2.104888303499e+02 
       1.749682006898e-01       1.964653446815e+02 
       1.808196186765e-01       1.846128452275e+02 
       1.868672178941e-01       1.742854954423e+02 
       1.931180490520e-01       1.645761585365e+02 
       1.995796688194e-01       1.549005742164e+02 
       2.062602355027e-01       1.450362443518e+02 
       2.131686197697e-01       1.351548430581e+02 
       2.203145331089e-01       1.258350384517e+02 
       2.277086774768e-01       1.175214758049e+02 
       2.353629206073e-01       1.101133186754e+02 
       2.432905028013e-01       1.032762069961e+02 
       2.515062828071e-01       9.663733866026e+01 
       2.600270328074e-01       9.008272572632e+01 
       2.688717957771e-01       8.386047020703e+01 
       2.780623229373e-01       7.809890048220e+01 
       2.876236152122e-01       7.283105936280e+01 
       2.975846013013e-01       6.787916017169e+01 
       3.079789974290e-01       6.310323123463e+01 
       3.188464119333e-01       5.855382950189e+01 
       3.302337846688e-01       5.431456643116e+01 
       3.421972917030e-01       5.033794871093e+01 
       3.548049083422e-01       4.655698636811e+01 
       3.681399224740e-01       4.296374770630e+01 
       3.823058509747e-01       3.956844439879e+01 
       3.974334809950e-01       3.634756637218e+01 
       4.136912235353e-01       3.327863906638e+01 
       4.313008032716e-01       3.034490374897e+01 
       4.505618770024e-01       2.754099109348e+01 
       4.718922593951e-01       2.483888873233e+01 
       4.958968513031e-01       2.222186887579e+01 
       5.234925607700e-01       1.966699440365e+01 
       5.561501259586e-01       1.714200721152e+01 
       5.963990284961e-01       1.461329616863e+01 
       6.489680811684e-01       1.203263035152e+01 
       7.234859414294e-01       9.350747373519e+00 
       8.399088320343e-01       6.589196431839e+00 
       1.027240144687e+00       4.082782931449e+00 
       1.289750762725e+00       2.357638668697e+00 
       1.623617880393e+00       1.341996070938e+00 
       2.044013415209e+00       7.582711144094e-01 
       2.573260430174e+00       4.256297950498e-01 
       3.239542946710e+00       2.374738400702e-01 
       4.078342938212e+00       1.317704487165e-01 
       5.134329562927e+00       7.274878181206e-02 
       6.463737959294e+00       3.997860775795e-02 
       8.137363972134e+00       2.187514593501e-02 
       1.024433428954e+01       1.192281381565e-02 
