# Matter power spectrum P(k) at redshift z=2
# for k=8.25408e-06 to 10.4048 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.254076332595e-06       3.432823228988e+01 
       1.039126644599e-05       4.252854043322e+01 
       1.308182938958e-05       5.268766311731e+01 
       1.646904745130e-05       6.527344304252e+01 
       2.073330234449e-05       8.086540174338e+01 
       2.610168119189e-05       1.001813138156e+02 
       3.286006974302e-05       1.241101159208e+02 
       4.136837683282e-05       1.537524529468e+02 
       5.207970083951e-05       1.904706520778e+02 
       6.556445882550e-05       2.359500616469e+02 
       8.254076332595e-05       2.922738627766e+02 
       1.039126644599e-04       3.620135733639e+02 
       1.308182938958e-04       4.483369141026e+02 
       1.646904745130e-04       5.551332126639e+02 
       2.073330234449e-04       6.871533171489e+02 
       2.610168119189e-04       8.501543483452e+02 
       3.286006974302e-04       1.051028155869e+03 
       4.136837683282e-04       1.297875099997e+03 
       5.207970083951e-04       1.599965440166e+03 
       6.556445882550e-04       1.967522236197e+03 
       8.254076332595e-04       2.411277884625e+03 
       1.039126644599e-03       2.941761028371e+03 
       1.308182938958e-03       3.568072252043e+03 
       1.646904745130e-03       4.295647679038e+03 
       2.073330234449e-03       5.122996158971e+03 
       2.610168119189e-03       6.038052189061e+03 
       3.286006974302e-03       7.014161580735e+03 
       4.136837683282e-03       8.005619903027e+03 
       5.207970083951e-03       8.944436470302e+03 
       6.556445882550e-03       9.738771031461e+03 
       8.254076332595e-03       1.027236256066e+04 
       1.039126644599e-02       1.041157336263e+04 
       1.308182938958e-02       1.002052635554e+04 
       1.646904743419e-02       9.005400097672e+03 
       2.073328054893e-02       7.403671375683e+03 
       2.609709180754e-02       5.496926635657e+03 
       3.263973637774e-02       3.840594950433e+03 
       3.880711496779e-02       2.980424942488e+03 
       4.321998748031e-02       2.661005760965e+03 
       4.674710911387e-02       2.510262467957e+03 
       4.984475536427e-02       2.415989031983e+03 
       5.270666366166e-02       2.337403566843e+03 
       5.543123573719e-02       2.255743365232e+03 
       5.807576529672e-02       2.161798817629e+03 
       6.067707000023e-02       2.051988993738e+03 
       6.326065329765e-02       1.926540975453e+03 
       6.584527450263e-02       1.788537779832e+03 
       6.844543817567e-02       1.642956384427e+03 
       7.107284613949e-02       1.495897884569e+03 
       7.373729183749e-02       1.353680091394e+03 
       7.644723611152e-02       1.222104885288e+03 
       7.921019160012e-02       1.105818218695e+03 
       8.203298719520e-02       1.007886773309e+03 
       8.492195454462e-02       9.297616960409e+02 
       8.788306225744e-02       8.711400308190e+02 
       9.092201403135e-02       8.302242303762e+02 
       9.404432127038e-02       8.038111265034e+02 
       9.725535727552e-02       7.874551938273e+02 
       1.005603978846e-01       7.757600990866e+02 
       1.039646520138e-01       7.628663379978e+02 
       1.074732846188e-01       7.433546039179e+02 
       1.110914339745e-01       7.133063126288e+02 
       1.148242247596e-01       6.714124120558e+02 
       1.186767781587e-01       6.194285278796e+02 
       1.226542200124e-01       5.617986474236e+02 
       1.267616879289e-01       5.044319694179e+02 
       1.310043381943e-01       4.531143908862e+02 
       1.353873532715e-01       4.119953286629e+02 
       1.399159506485e-01       3.828061938051e+02 
       1.445953937774e-01       3.646493642861e+02 
       1.494310058338e-01       3.542737791326e+02 
       1.544281870179e-01       3.468795786487e+02 
       1.595924361137e-01       3.372855913815e+02 
       1.649293770227e-01       3.213915667263e+02 
       1.704447909994e-01       2.984367938809e+02 
       1.761446553344e-01       2.712224965522e+02 
       1.820351892768e-01       2.443890096808e+02 
       1.881229080576e-01       2.219073910351e+02 
       1.944146859885e-01       2.057357087902e+02 
       2.009178297743e-01       1.954196742087e+02 
       2.076401634135e-01       1.881726285030e+02 
       2.145901263849e-01       1.802497803219e+02 
       2.217768872550e-01       1.693253158649e+02 
       2.292104754299e-01       1.556464400234e+02 
       2.369019345498e-01       1.415873142545e+02 
       2.448635020510e-01       1.298864607421e+02 
       2.531088207827e-01       1.214184679633e+02 
       2.616531903675e-01       1.149685637492e+02 
       2.705138684205e-01       1.085598012623e+02 
       2.797104350126e-01       1.009136771222e+02 
       2.892652382389e-01       9.263651628156e+01 
       2.992039449583e-01       8.516370283578e+01 
       3.095562294840e-01       7.920760516319e+01 
       3.203566454425e-01       7.409918876221e+01 
       3.316457440659e-01       6.885282600985e+01 
       3.434715288543e-01       6.336909269053e+01 
       3.558913767322e-01       5.825127718945e+01 
       3.689746177242e-01       5.379630828943e+01 
       3.828060627781e-01       4.970755630585e+01 
       3.974909274128e-01       4.558434221377e+01 
       4.131618623735e-01       4.162859925456e+01 
       4.299892565120e-01       3.806331331837e+01 
       4.481967889644e-01       3.462656274829e+01 
       4.680857214642e-01       3.129117726267e+01 
       4.900743819214e-01       2.815377267702e+01 
       5.147654015595e-01       2.510581720546e+01 
       5.430666802217e-01       2.215390103031e+01 
       5.764235503572e-01       1.925722444900e+01 
       6.172988740434e-01       1.638000167450e+01 
       6.702477326502e-01       1.346861951713e+01 
       7.444595170943e-01       1.047343202459e+01 
       8.591261723540e-01       7.406467002768e+00 
       1.044657975419e+00       4.590145673545e+00 
       1.310001735752e+00       2.618397645946e+00 
       1.649047609647e+00       1.468466228594e+00 
       2.076027074830e+00       8.177091433074e-01 
       2.613563239281e+00       4.524960224156e-01 
       3.290281177262e+00       2.489654837848e-01 
       4.142218586003e+00       1.362636497444e-01 
       5.214744239125e+00       7.421991409907e-02 
       6.564974038642e+00       4.024602802363e-02 
       8.264812645015e+00       2.173318341285e-02 
       1.040478266253e+01       1.169100116989e-02 
