# Matter power spectrum P(k) at redshift z=0.5
# for k=1.87847e-07 to 11.865 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.878469235201e-07       1.214407740283e+00 
       2.364852655468e-07       1.506588077433e+00 
       2.977173103118e-07       1.869065519427e+00 
       3.748038874825e-07       2.318753191949e+00 
       4.718501383910e-07       2.876633431576e+00 
       5.940241297790e-07       3.568736816350e+00 
       7.478320721977e-07       4.427356745147e+00 
       9.414647994443e-07       5.492556236385e+00 
       1.185233960330e-06       6.814037250825e+00 
       1.492121151581e-06       8.453459757748e+00 
       1.878469235201e-06       1.048731873781e+01 
       2.364852655468e-06       1.301051335231e+01 
       2.977173103118e-06       1.614077477599e+01 
       3.748038874825e-06       2.002415922802e+01 
       4.718501383910e-06       2.484186237056e+01 
       5.940241297790e-06       3.081867277272e+01 
       7.478320721977e-06       3.823345835418e+01 
       9.414647994443e-06       4.743217408572e+01 
       1.185233960330e-05       5.884399588529e+01 
       1.492121151581e-05       7.300132956707e+01 
       1.878469235201e-05       9.056462072538e+01 
       2.364852655468e-05       1.123531079659e+02 
       2.977173103118e-05       1.393829245657e+02 
       3.748038874825e-05       1.729142677347e+02 
       4.718501383910e-05       2.145097214754e+02 
       5.940241297790e-05       2.661062293600e+02 
       7.478320721977e-05       3.301036360839e+02 
       9.414647994443e-05       4.094730749905e+02 
       1.185233960330e-04       5.078886083668e+02 
       1.492121151581e-04       6.298851076133e+02 
       1.878469235201e-04       7.810438053558e+02 
       2.364852655468e-04       9.682033069896e+02 
       2.977173103118e-04       1.199686817358e+03 
       3.748038874825e-04       1.485524855571e+03 
       4.718501383910e-04       1.837637685439e+03 
       5.940241297790e-04       2.269928061856e+03 
       7.478320721977e-04       2.798226147804e+03 
       9.414647994443e-04       3.439993993764e+03 
       1.185233960330e-03       4.213548364954e+03 
       1.492121151581e-03       5.136378996741e+03 
       1.878469235201e-03       6.222360294848e+03 
       2.364852655468e-03       7.477719146846e+03 
       2.977173103118e-03       8.895578810375e+03 
       3.748038874825e-03       1.044948893894e+04 
       4.718501383910e-03       1.208583083570e+04 
       5.940241297790e-03       1.371668026745e+04 
       7.478320721977e-03       1.521429779045e+04 
       9.414647994443e-03       1.640879721073e+04 
       1.185233960330e-02       1.709303451517e+04 
       1.492121151580e-02       1.704431850163e+04 
       1.878469225718e-02       1.608323915325e+04 
       2.364844545797e-02       1.419376773791e+04 
       2.975939085859e-02       1.168614636087e+04 
       3.703345210190e-02       9.317461717033e+03 
       4.332622532299e-02       7.960383906255e+03 
       4.786418696123e-02       7.288700415833e+03 
       5.158052618943e-02       6.857020578871e+03 
       5.488655376486e-02       6.520035160238e+03 
       5.796345146298e-02       6.220591372423e+03 
       6.090621065254e-02       5.932009425141e+03 
       6.377140386517e-02       5.641544070358e+03 
       6.659600279608e-02       5.344309919696e+03 
       6.940595898273e-02       5.040473717867e+03 
       7.222056993932e-02       4.733589516548e+03 
       7.505489411233e-02       4.429349821443e+03 
       7.792117660184e-02       4.134501502428e+03 
       8.082973592160e-02       3.855866254301e+03 
       8.378953945716e-02       3.599483375428e+03 
       8.680859018996e-02       3.369915827748e+03 
       8.989419420664e-02       3.169750814035e+03 
       9.305315019793e-02       2.999316238897e+03 
       9.629188630941e-02       2.856579104014e+03 
       9.961656047990e-02       2.737274204804e+03 
       1.030331348437e-01       2.635231779142e+03 
       1.065474313235e-01       2.542976983603e+03 
       1.101651733481e-01       2.452625427785e+03 
       1.138920172091e-01       2.357045610785e+03 
       1.177335756362e-01       2.251131066629e+03 
       1.216954355500e-01       2.132884775924e+03 
       1.257831715396e-01       2.003949259485e+03 
       1.300023563360e-01       1.869299047444e+03 
       1.343585693732e-01       1.736058381876e+03 
       1.388574044094e-01       1.611722245014e+03 
       1.435044771086e-01       1.502279597083e+03 
       1.483054334325e-01       1.410749746328e+03 
       1.532659596667e-01       1.336476403282e+03 
       1.583917948846e-01       1.275326153343e+03 
       1.636887466396e-01       1.220809426423e+03 
       1.691627106714e-01       1.165999322385e+03 
       1.748196954027e-01       1.105815035934e+03 
       1.806658520097e-01       1.038832027502e+03 
       1.867075108588e-01       9.676844349345e+02 
       1.929512251295e-01       8.976836820099e+02 
       1.994038224987e-01       8.342600050816e+02 
       2.060724658429e-01       7.805025603436e+02 
       2.129647240516e-01       7.359512709591e+02 
       2.200886542350e-01       6.971225500739e+02 
       2.274528968842e-01       6.595016834268e+02 
       2.350667859187e-01       6.200341649579e+02 
       2.429404760576e-01       5.786773654243e+02 
       2.510850906341e-01       5.379549929905e+02 
       2.595128938596e-01       5.008452440889e+02 
       2.682374927326e-01       4.686105037139e+02 
