# Matter power spectrum P(k) at redshift z=1
# for k=2.32097e-07 to 11.6489 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.320973385932e-07       2.568558666973e-01 
       2.921932375647e-07       3.213952763409e-01 
       3.678494919247e-07       4.021513113483e-01 
       4.630950730995e-07       5.031986749601e-01 
       5.830021556017e-07       6.296359086759e-01 
       7.339562288177e-07       7.878426493457e-01 
       9.239961476032e-07       9.858015256235e-01 
       1.163242230618e-06       1.233500936933e+00 
       1.464435204197e-06       1.543439036326e+00 
       1.843614692489e-06       1.931254347937e+00 
       2.320973385932e-06       2.416514835210e+00 
       2.921932375647e-06       3.023705233434e+00 
       3.678494919247e-06       3.783462460989e+00 
       4.630950730995e-06       4.734121437074e+00 
       5.830021556017e-06       5.923649288530e+00 
       7.339562288177e-06       7.412065515192e+00 
       9.239961476032e-06       9.274470173470e+00 
       1.163242230618e-05       1.160483276077e+01 
       1.464435204197e-05       1.452073277490e+01 
       1.843614692489e-05       1.816929071188e+01 
       2.320973385932e-05       2.273458794553e+01 
       2.921932375647e-05       2.844694821737e+01 
       3.678494919247e-05       3.559454581201e+01 
       4.630950730995e-05       4.453791965749e+01 
       5.830021556017e-05       5.572811294832e+01 
       7.339562288177e-05       6.972932825768e+01 
       9.239961476032e-05       8.724719146382e+01 
       1.163242230618e-04       1.091639523558e+02 
       1.464435204197e-04       1.365822056235e+02 
       1.843614692489e-04       1.708789633069e+02 
       2.320973385932e-04       2.137720844558e+02 
       2.921932375647e-04       2.674010439836e+02 
       3.678494919247e-04       3.344235863703e+02 
       4.630950730995e-04       4.181286574297e+02 
       5.830021556017e-04       5.225638513809e+02 
       7.339562288177e-04       6.526724732109e+02 
       9.239961476032e-04       8.144316410779e+02 
       1.163242230618e-03       1.014977299465e+03 
       1.464435204197e-03       1.262684050228e+03 
       1.843614692489e-03       1.567120896799e+03 
       2.320973385932e-03       1.938764553212e+03 
       2.921932375647e-03       2.388367325273e+03 
       3.678494919247e-03       2.925805692413e+03 
       4.630950730995e-03       3.558183521474e+03 
       5.830021556017e-03       4.286862762993e+03 
       7.339562288177e-03       5.103202931489e+03 
       9.239961476032e-03       5.982872810717e+03 
       1.163242230618e-02       6.878853491476e+03 
       1.464435204197e-02       7.714645639604e+03 
       1.843614692118e-02       8.382241340421e+03 
       2.320972676066e-02       8.755511152372e+03 
       2.921723874549e-02       8.735057394539e+03 
       3.665258123282e-02       8.334436032444e+03 
       4.424224969084e-02       7.818402870830e+03 
       4.974708902764e-02       7.466948287616e+03 
       5.403151700024e-02       7.214648725080e+03 
       5.774060157597e-02       7.005870169882e+03 
       6.114005343284e-02       6.816691421327e+03 
       6.436039798112e-02       6.635055825651e+03 
       6.747584607018e-02       6.454288424548e+03 
       7.053325798171e-02       6.270739105970e+03 
       7.356465388385e-02       6.082772749908e+03 
       7.659332628422e-02       5.890251807415e+03 
       7.963711720091e-02       5.694200086497e+03 
       8.271030601709e-02       5.496520538429e+03 
       8.582476071158e-02       5.299711843387e+03 
       8.899067297411e-02       5.106565689600e+03 
       9.221704568188e-02       4.919847095212e+03 
       9.551202640693e-02       4.741972569824e+03 
       9.888314154013e-02       4.574710022538e+03 
       1.023374641428e-01       4.418929636186e+03 
       1.058817363225e-01       4.274436360993e+03 
       1.095224596036e-01       4.139917194934e+03 
       1.132659622733e-01       4.013032977945e+03 
       1.171184498488e-01       3.890675240305e+03 
       1.210860429960e-01       3.769389738197e+03 
       1.251748060359e-01       3.645933969105e+03 
       1.293907683880e-01       3.517890208082e+03 
       1.337399407760e-01       3.384209583843e+03 
       1.382283276713e-01       3.245537982002e+03 
       1.428619372181e-01       3.104192644986e+03 
       1.476467897349e-01       2.963728775230e+03 
       1.525889257883e-01       2.828148325712e+03 
       1.576944147748e-01       2.700919993269e+03 
       1.629693649072e-01       2.584060284924e+03 
       1.684199354800e-01       2.477542225905e+03 
       1.740523522709e-01       2.379247865361e+03 
       1.798729269250e-01       2.285562869771e+03 
       1.858880811642e-01       2.192527988702e+03 
       1.921043766603e-01       2.097228066437e+03 
       1.985285514198e-01       1.998901000174e+03 
       2.051675635505e-01       1.899238998518e+03 
       2.120286433248e-01       1.801638609010e+03 
       2.191193545289e-01       1.709656655230e+03 
       2.264476662111e-01       1.625368512363e+03 
       2.340220361177e-01       1.548434892063e+03 
       2.418515073668e-01       1.476385916155e+03 
       2.499458202632e-01       1.406041466663e+03 
       2.583155416432e-01       1.335331217820e+03 
       2.669722147880e-01       1.264415470235e+03 
       2.759285338040e-01       1.195332728304e+03 
       2.851985475062e-01       1.130386422058e+03 
       2.947978993501e-01       1.070441563974e+03 
       3.047441119526e-01       1.014410956727e+03 
       3.150569274227e-01       9.603072634479e+02 
       3.257587183276e-01       9.069517979505e+02 
       3.368749890455e-01       8.548073636588e+02 
       3.484349940631e-01       8.051819691315e+02 
       3.604725093038e-01       7.586909056422e+02 
       3.730268061400e-01       7.146501513547e+02 
       3.861438973479e-01       6.720010596580e+02 
       3.998781531374e-01       6.305342264789e+02 
       4.142944287172e-01       5.908321997868e+02 
       4.294709112835e-01       5.531518638317e+02 
       4.455029985669e-01       5.169969220681e+02 
       4.625086889170e-01       4.819412668545e+02 
       4.806362410608e-01       4.481331912525e+02 
       5.000753376320e-01       4.156359186179e+02 
       5.210738310182e-01       3.841092431724e+02 
       5.439637107836e-01       3.533977572301e+02 
       5.692029534656e-01       3.234575522437e+02 
       5.974460823556e-01       2.940055151410e+02 
       6.296696265698e-01       2.648262745695e+02 
       6.674096110133e-01       2.355897059790e+02 
       7.132450382724e-01       2.058515306253e+02 
       7.718634742446e-01       1.749878473909e+02 
       8.525674954922e-01       1.422082197365e+02 
       9.748708194018e-01       1.070012597868e+02 
       1.173233934783e+00       7.161038974485e+01 
       1.466823595118e+00       4.359211375781e+01 
       1.846224671437e+00       2.581992339931e+01 
       2.324255892251e+00       1.511338493387e+01 
       2.926064801790e+00       8.756785590079e+00 
       3.683697335529e+00       5.027481572955e+00 
       4.637500185056e+00       2.862658260111e+00 
       5.838266830167e+00       1.617872166310e+00 
       7.349942473332e+00       9.081871204895e-01 
       9.253029354903e+00       5.066724642663e-01 
       1.164887379096e+01       2.810817275538e-01 
