# Matter power spectrum P(k) at redshift z=0
# for k=1.13662e-05 to 7.18045 h/Mpc,
# number of wavenumbers equal to 120
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.136615615965e-05       3.677785701067e+01 
       1.430914282380e-05       4.607614694659e+01 
       1.801414352188e-05       5.772521702581e+01 
       2.267846305140e-05       7.231936718674e+01 
       2.855049343584e-05       9.060311565034e+01 
       3.594294170565e-05       1.135091229545e+02 
       4.524948268787e-05       1.422057087724e+02 
       5.696572362630e-05       1.781562667869e+02 
       7.171559707440e-05       2.231935909735e+02 
       9.028458757895e-05       2.796126818080e+02 
       1.136615615965e-04       3.502864724593e+02 
       1.430914282380e-04       4.388097057420e+02 
       1.801414352188e-04       5.496770642469e+02 
       2.267846305140e-04       6.885022528493e+02 
       2.855049343584e-04       8.622847774329e+02 
       3.594294170565e-04       1.079730192583e+03 
       4.524948268787e-04       1.351626854209e+03 
       5.696572362630e-04       1.691277778498e+03 
       7.171559707440e-04       2.114979753389e+03 
       9.028458757895e-04       2.642529396269e+03 
       1.136615615965e-03       3.297610979798e+03 
       1.430914282380e-03       4.107902529687e+03 
       1.801414352188e-03       5.105724797125e+03 
       2.267846305140e-03       6.326444839340e+03 
       2.855049343584e-03       7.806763750824e+03 
       3.594294170565e-03       9.580957846006e+03 
       4.524948268787e-03       1.167459399802e+04 
       5.696572362630e-03       1.409433248495e+04 
       7.171559707440e-03       1.681208879737e+04 
       9.028458757895e-03       1.974520295204e+04 
       1.136615615965e-02       2.272615267007e+04 
       1.430914282380e-02       2.547393612220e+04 
       1.801414352129e-02       2.757246240228e+04 
       2.267846129677e-02       2.852102521274e+04 
       2.854975183901e-02       2.790521122633e+04 
       3.587941104538e-02       2.577201401661e+04 
       4.390409899195e-02       2.320747686939e+04 
       4.996955506240e-02       2.160980610936e+04 
       5.455169131776e-02       2.063833296904e+04 
       5.845052062945e-02       1.993419845345e+04 
       6.199028677648e-02       1.935329354539e+04 
       6.532442461186e-02       1.882532594845e+04 
       6.853785691920e-02       1.831035393051e+04 
       7.168316806815e-02       1.778432902644e+04 
       7.479575188335e-02       1.723340557399e+04 
       7.790104331621e-02       1.665058333042e+04 
       8.101832797287e-02       1.603726483777e+04 
       8.416290662598e-02       1.539841022663e+04 
       8.734740068899e-02       1.474357822100e+04 
       9.058257837649e-02       1.408758059227e+04 
       9.387789852111e-02       1.344334110787e+04 
       9.724188035891e-02       1.282657580521e+04 
       1.006823618174e-01       1.225097865064e+04 
       1.042066839370e-01       1.172634379398e+04 
       1.078218248965e-01       1.125919832208e+04 
       1.115344987508e-01       1.084973427034e+04 
       1.153512288922e-01       1.049314003225e+04 
       1.192784030513e-01       1.017850852145e+04 
       1.233223146072e-01       9.890220714618e+03 
       1.274891936431e-01       9.609377801924e+03 
       1.317852303004e-01       9.317295907704e+03 
       1.362165923996e-01       8.998223016403e+03 
       1.407894389055e-01       8.642943730856e+03 
       1.455099305561e-01       8.251449023641e+03 
       1.503842388024e-01       7.833487741993e+03 
       1.554185541005e-01       7.407120934663e+03 
       1.606190945259e-01       6.994540727103e+03 
       1.659921156361e-01       6.617244443151e+03 
       1.715439224827e-01       6.289242842454e+03 
       1.772808846552e-01       6.014232376985e+03 
       1.832094552277e-01       5.784606693648e+03 
       1.893361944705e-01       5.580544285160e+03 
       1.956677991904e-01       5.376753521615e+03 
       2.022111385633e-01       5.152537674178e+03 
       2.089732973471e-01       4.899179725064e+03 
       2.159616274006e-01       4.623052953874e+03 
       2.231838085032e-01       4.342757511540e+03 
       2.306479195858e-01       4.082031722436e+03 
       2.383625216516e-01       3.858214591647e+03 
       2.463367539113e-01       3.673513367133e+03 
       2.545804449982e-01       3.515179882693e+03 
       2.631042415964e-01       3.361848674207e+03 
       2.719197574414e-01       3.194803973826e+03 
       2.810397464823e-01       3.010473160916e+03 
       2.904783050995e-01       2.822037089232e+03 
       3.002511097228e-01       2.648425021182e+03 
       3.103756981309e-01       2.501150680931e+03 
       3.208718052869e-01       2.375183590082e+03 
       3.317617680386e-01       2.254586217621e+03 
       3.430710177372e-01       2.126510951369e+03 
       3.548286863362e-01       1.992109894669e+03 
       3.670683606301e-01       1.864301438971e+03 
       3.798290321811e-01       1.752335177202e+03 
       3.931563090653e-01       1.652445475919e+03 
       4.071039828089e-01       1.553168176212e+03 
       4.217360846050e-01       1.450656868084e+03 
       4.371296270323e-01       1.351889440290e+03 
       4.533783244998e-01       1.262954991741e+03 
       4.705977409519e-01       1.179344345074e+03 
       4.889325691093e-01       1.094750579251e+03 
       5.085671800450e-01       1.012427763047e+03 
       5.297413466668e-01       9.360756376397e+02 
       5.527744453599e-01       8.611316548511e+02 
       5.781041239471e-01       7.869639765404e+02 
       6.063508379537e-01       7.158262948828e+02 
       6.384312331373e-01       6.447635675791e+02 
       6.757697724694e-01       5.743671845648e+02 
       7.207226576704e-01       5.029421106307e+02 
       7.774965888260e-01       4.295433405490e+02 
       8.542885155260e-01       3.522048873268e+02 
       9.682306618938e-01       2.694271293614e+02 
       1.152030886585e+00       1.844041073058e+02 
       1.433424657172e+00       1.132353324382e+02 
       1.803656074431e+00       6.701372307429e+01 
       2.270657873804e+00       3.918167946120e+01 
       2.858588876967e+00       2.268286096476e+01 
       3.598750179080e+00       1.301477943489e+01 
       4.530558051143e+00       7.407924661788e+00 
       5.703634660193e+00       4.185558321961e+00 
       7.180450613307e+00       2.349437206127e+00 
