# Matter power spectrum P(k) at redshift z=1
# for k=1.15707e-05 to 11.5868 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.157070088589e-05       1.357523754553e+01 
       1.456664937752e-05       1.695341177817e+01 
       1.833832506605e-05       2.117222864712e+01 
       2.308658343540e-05       2.644087248887e+01 
       2.906428655833e-05       3.302056822246e+01 
       3.658976892394e-05       4.123752040473e+01 
       4.606378991003e-05       5.149907168250e+01 
       5.799087568128e-05       6.431383689498e+01 
       7.300618704736e-05       8.031682349532e+01 
       9.190934409212e-05       1.003007131352e+02 
       1.157070088589e-04       1.252547558946e+02 
       1.456664937752e-04       1.564130216405e+02 
       1.833832506605e-04       1.953140134356e+02 
       2.308658343540e-04       2.438738800257e+02 
       2.906428655833e-04       3.044754769410e+02 
       3.658976892394e-04       3.800751572658e+02 
       4.606378991003e-04       4.743280870137e+02 
       5.799087568128e-04       5.917307999331e+02 
       7.300618704736e-04       7.377766285968e+02 
       9.190934409212e-04       9.191159350820e+02 
       1.157070088589e-03       1.143707336222e+03 
       1.456664937752e-03       1.420927789763e+03 
       1.833832506605e-03       1.761498210348e+03 
       2.308658343540e-03       2.177333761176e+03 
       2.906428655833e-03       2.680902691719e+03 
       3.658976892394e-03       3.284004197737e+03 
       4.606378991003e-03       3.995822833038e+03 
       5.799087568128e-03       4.819794588812e+03 
       7.300618704736e-03       5.749112875373e+03 
       9.190934409212e-03       6.759797971201e+03 
       1.157070088589e-02       7.804393307700e+03 
       1.456664937752e-02       8.802029663996e+03 
       1.833832505714e-02       9.636856159200e+03 
       2.308656971943e-02       1.017020479137e+04 
       2.906091565093e-02       1.028695371655e+04 
       3.640534480609e-02       9.985829749790e+03 
       4.360056294325e-02       9.531707601695e+03 
       4.876635816155e-02       9.197526939545e+03 
       5.284530916332e-02       8.939761273980e+03 
       5.640435702662e-02       8.716246540940e+03 
       5.968056141740e-02       8.507706322633e+03 
       6.279248834294e-02       8.304239346761e+03 
       6.580841964131e-02       8.099845376773e+03 
       6.877188021607e-02       7.891452495170e+03 
       7.171282966912e-02       7.678103766056e+03 
       7.465319169870e-02       7.459617713857e+03 
       7.760984403271e-02       7.237255168003e+03 
       8.059635237252e-02       7.012964458172e+03 
       8.362403345833e-02       6.789410853587e+03 
       8.670263686740e-02       6.569176667172e+03 
       8.984079877089e-02       6.354934388020e+03 
       9.304635330078e-02       6.149143070506e+03 
       9.632655166867e-02       5.953285703605e+03 
       9.968821957179e-02       5.768228458380e+03 
       1.031378721308e-01       5.593576832448e+03 
       1.066817988656e-01       5.427970751185e+03 
       1.103261270670e-01       5.268989217391e+03 
       1.140768693073e-01       5.113493621589e+03 
       1.179399591406e-01       4.958285477919e+03 
       1.219212779425e-01       4.800279905473e+03 
       1.260266751042e-01       4.637484870504e+03 
       1.302619833085e-01       4.469185102822e+03 
       1.346330302924e-01       4.296484440977e+03 
       1.391456482852e-01       4.122030438507e+03 
       1.438056821699e-01       3.949488123104e+03 
       1.486189973302e-01       3.782889693873e+03 
       1.535914880839e-01       3.625461696064e+03 
       1.587290875708e-01       3.478828563143e+03 
       1.640377799424e-01       3.342398983277e+03 
       1.695236156822e-01       3.213814849848e+03 
       1.751927308806e-01       3.089230674104e+03 
       1.810513712779e-01       2.964917766864e+03 
       1.871059218923e-01       2.838661340060e+03 
       1.933629430563e-01       2.710080983809e+03 
       1.998292137106e-01       2.581318323667e+03 
       2.065117828468e-01       2.456189115194e+03 
       2.134180300740e-01       2.338253648554e+03 
       2.205557363992e-01       2.228860944587e+03 
       2.279331665013e-01       2.126719570349e+03 
       2.355591640298e-01       2.029255417226e+03 
       2.434432618216e-01       1.933718610587e+03 
       2.515958094133e-01       1.838497378111e+03 
       2.600281208759e-01       1.744171145259e+03 
       2.687526468584e-01       1.653058030338e+03 
       2.777831758672e-01       1.567014789404e+03 
       2.871350713129e-01       1.486543642752e+03 
       2.968255528582e-01       1.410280451068e+03 
       3.068740332797e-01       1.336152382434e+03 
       3.173025256742e-01       1.263488727962e+03 
       3.281361407858e-01       1.193048628287e+03 
       3.394037010699e-01       1.126011488312e+03 
       3.511385077082e-01       1.062658069484e+03 
       3.633793104709e-01       1.002009571812e+03 
       3.761715501365e-01       9.432218034308e+02 
       3.895689724100e-01       8.863012024818e+02 
       4.036357562498e-01       8.318624024228e+02 
       4.184493670783e-01       7.798042184713e+02 
       4.341044516566e-01       7.295773336991e+02 
       4.507182630776e-01       6.809683504239e+02 
       4.684383897370e-01       6.340313892110e+02 
       4.874540523139e-01       5.886907007545e+02 
       5.080131060238e-01       5.446059300655e+02 
       5.304485068705e-01       5.015983718555e+02 
       5.552211564739e-01       4.595211204304e+02 
       5.829925199335e-01       4.180057124306e+02 
       6.147545468367e-01       3.767416039682e+02 
       6.520774030079e-01       3.352325545022e+02 
       6.976179955945e-01       2.928109657526e+02 
       7.562501130977e-01       2.485460665183e+02 
       8.377321238852e-01       2.012592944734e+02 
       9.625092265681e-01       1.503231511693e+02 
       1.164829799931e+00       9.971016749830e+01 
       1.458884989877e+00       6.063957068672e+01 
       1.836378271923e+00       3.599844212136e+01 
       2.311861552721e+00       2.111246077859e+01 
       2.910461255361e+00       1.225167466436e+01 
       3.664053634416e+00       7.042451157356e+00 
       4.612770230543e+00       4.013499662572e+00 
       5.807133661999e+00       2.269676641850e+00 
       7.310748136776e+00       1.274541156276e+00 
       9.203686608614e+00       7.111745219770e-01 
       1.158675495377e+01       3.945304002475e-01 
