# Matter power spectrum P(k) at redshift z=0.5
# for k=9.10735e-06 to 11.479 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.107349653970e-06       3.154527357293e+01 
       1.146547391348e-05       3.943336384372e+01 
       1.443417646794e-05       4.929385786088e+01 
       1.817155155381e-05       6.161995264745e+01 
       2.287662802282e-05       7.702807072333e+01 
       2.879996835409e-05       9.628870113303e+01 
       3.625701201984e-05       1.203647984807e+02 
       4.564487378750e-05       1.504597123276e+02 
       5.746349152922e-05       1.880769461883e+02 
       7.234224973655e-05       2.350944297399e+02 
       9.107349653970e-05       2.938566994546e+02 
       1.146547391348e-04       3.672886432167e+02 
       1.443417646794e-04       4.590349735550e+02 
       1.817155155381e-04       5.736292308817e+02 
       2.287662802282e-04       7.166950502595e+02 
       2.879996835409e-04       8.951794018963e+02 
       3.625701201984e-04       1.117611973086e+03 
       4.564487378750e-04       1.394376498878e+03 
       5.746349152922e-04       1.737970169443e+03 
       7.234224973655e-04       2.163216738467e+03 
       9.107349653970e-04       2.687371483777e+03 
       1.146547391348e-03       3.329858977793e+03 
       1.443417646794e-03       4.111743932072e+03 
       1.817155155381e-03       5.054142502043e+03 
       2.287662802282e-03       6.175499190948e+03 
       2.879996835409e-03       7.487461669030e+03 
       3.625701201984e-03       8.988904871444e+03 
       4.564487378750e-03       1.065733110084e+04 
       5.746349152922e-03       1.243715673583e+04 
       7.234224973655e-03       1.423011715273e+04 
       9.107349653970e-03       1.587285477519e+04 
       1.146547391348e-02       1.713694300509e+04 
       1.443417646764e-02       1.772792334352e+04 
       1.817155054161e-02       1.735487073363e+04 
       2.287616177181e-02       1.588303140401e+04 
       2.875711390238e-02       1.358790804152e+04 
       3.528463454435e-02       1.142576959505e+04 
       4.028474338172e-02       1.026410867147e+04 
       4.403623581966e-02       9.635950109813e+03 
       4.721447627117e-02       9.214179514567e+03 
       5.009327110088e-02       8.881068023387e+03 
       5.280103992915e-02       8.582961535698e+03 
       5.540840114510e-02       8.290371927909e+03 
       5.795887718717e-02       7.987841467900e+03 
       6.048165755547e-02       7.666817670495e+03 
       6.299765826543e-02       7.325510549651e+03 
       6.552270048347e-02       6.965783302711e+03 
       6.806931067242e-02       6.594154177828e+03 
       7.064780347400e-02       6.218819267406e+03 
       7.326696554963e-02       5.849298811292e+03 
       7.593450493035e-02       5.496238828865e+03 
       7.865735612514e-02       5.168694002832e+03 
       8.144189297955e-02       4.874354949377e+03 
       8.429408051291e-02       4.617652260730e+03 
       8.721958517898e-02       4.400387854587e+03 
       9.022385604956e-02       4.220391135373e+03 
       9.331218519132e-02       4.072469618864e+03 
       9.648975285992e-02       3.947730749705e+03 
       9.976166144160e-02       3.835172408946e+03 
       1.031329609686e-01       3.722631618626e+03 
       1.066086683062e-01       3.598886619472e+03 
       1.101937816256e-01       3.455472471295e+03 
       1.138932914517e-01       3.289191311794e+03 
       1.177121893653e-01       3.102541978445e+03 
       1.216554752930e-01       2.904189759929e+03 
       1.257281642333e-01       2.706341773342e+03 
       1.299352932058e-01       2.522206386927e+03 
       1.342819291765e-01       2.362319315697e+03 
       1.387731786888e-01       2.232147273084e+03 
       1.434141999172e-01       2.130562897741e+03 
       1.482102178481e-01       2.050109763171e+03 
       1.531665432888e-01       1.979116142403e+03 
       1.582885964017e-01       1.903355780211e+03 
       1.635819354657e-01       1.812952062150e+03 
       1.690522915812e-01       1.706100575852e+03 
       1.747056100680e-01       1.589945054410e+03 
       1.805480993577e-01       1.475924023121e+03 
       1.865862882760e-01       1.375194411225e+03 
       1.928270927417e-01       1.294083941986e+03 
       1.992778931070e-01       1.231096695961e+03 
       2.059466236353e-01       1.177318409570e+03 
       2.128418759857e-01       1.122158683670e+03 
       2.199730190723e-01       1.058724075274e+03 
       2.273503383340e-01       9.878465717894e+02 
       2.349851983275e-01       9.175619116375e+02 
       2.428902337222e-01       8.563507133259e+02 
       2.510795753162e-01       8.066715114678e+02 
       2.595691197548e-01       7.644677184471e+02 
       2.683768544029e-01       7.222818865461e+02 
       2.775232525921e-01       6.762221757477e+02 
       2.870317596576e-01       6.288011464017e+02 
       2.969293974254e-01       5.855239297117e+02 
       3.072475250763e-01       5.487435697176e+02 
       3.180228090979e-01       5.153844301082e+02 
       3.292984766906e-01       4.814991040704e+02 
       3.411259593289e-01       4.469591338111e+02 
       3.535670824750e-01       4.146933217281e+02 
       3.666970343027e-01       3.859068608226e+02 
       3.806084692044e-01       3.584536442564e+02 
       3.954173039484e-01       3.308614007381e+02 
       4.112711071874e-01       3.046243426136e+02 
       4.283615853046e-01       2.803263026033e+02 
       4.469437684133e-01       2.564245035489e+02 
       4.673666047368e-01       2.332002523999e+02 
       4.901239052230e-01       2.109655815401e+02 
       5.159436055055e-01       1.889504597776e+02 
       5.459538426570e-01       1.673450853230e+02 
       5.820144128079e-01       1.456369980813e+02 
       6.274323369219e-01       1.235539525329e+02 
       6.886238437233e-01       1.005802556188e+02 
       7.789758350566e-01       7.633446840046e+01 
       9.243976727666e-01       5.173433395921e+01 
       1.148612983206e+00       3.129501508683e+01 
       1.445128489030e+00       1.820637769133e+01 
       1.819297904528e+00       1.047737083954e+01 
       2.290360338591e+00       5.978248440606e+00 
       2.883392832411e+00       3.385077049141e+00 
       3.629976508907e+00       1.903198910207e+00 
       4.569869671279e+00       1.063281007249e+00 
       5.753125057760e+00       5.905901680441e-01 
       7.242755332444e+00       3.262963310010e-01 
       9.118088739422e+00       1.793929759712e-01 
       1.147899362105e+01       9.818231652898e-02 
