# Matter power spectrum P(k) at redshift z=2
# for k=8.07007e-06 to 10.1713 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.070071608455e-06       2.223305575940e+01 
       1.015961822288e-05       2.782324150016e+01 
       1.279020155491e-05       3.481893483254e+01 
       1.610190975945e-05       4.357344208629e+01 
       2.027110337459e-05       5.452882751323e+01 
       2.551980716338e-05       6.823813359315e+01 
       3.212753374206e-05       8.539310803473e+01 
       4.044616864616e-05       1.068587622502e+02 
       5.091870951836e-05       1.337162412845e+02 
       6.410285734843e-05       1.673158986662e+02 
       8.070071608455e-05       2.093423298851e+02 
       1.015961822288e-04       2.618933200430e+02 
       1.279020155491e-04       3.275736929023e+02 
       1.610190975945e-04       4.096032509278e+02 
       2.027110337459e-04       5.119337881228e+02 
       2.551980716338e-04       6.393619796411e+02 
       3.212753374206e-04       7.976108602010e+02 
       4.044616864616e-04       9.933321762116e+02 
       5.091870951836e-04       1.233960624733e+03 
       6.410285734843e-04       1.527349317134e+03 
       8.070071608455e-04       1.881157488409e+03 
       1.015961822288e-03       2.301996614882e+03 
       1.279020155491e-03       2.794148869878e+03 
       1.610190975945e-03       3.357318225774e+03 
       2.027110337459e-03       3.983653526527e+03 
       2.551980716338e-03       4.655172033643e+03 
       3.212753374206e-03       5.341588497639e+03 
       4.044616864616e-03       5.999130076475e+03 
       5.091870951836e-03       6.571740737747e+03 
       6.410285734843e-03       6.994850481716e+03 
       8.070071608455e-03       7.200260021343e+03 
       1.015961822288e-02       7.124844562744e+03 
       1.279020155491e-02       6.719449584597e+03 
       1.610190975917e-02       5.966774713102e+03 
       2.027110239176e-02       4.913021118515e+03 
       2.551933773394e-02       3.708327455425e+03 
       3.208309079099e-02       2.612617874038e+03 
       3.940834237085e-02       1.914841239056e+03 
       4.505313992887e-02       1.632208588671e+03 
       4.927632624487e-02       1.498192483167e+03 
       5.284755196889e-02       1.407449307433e+03 
       5.607907967502e-02       1.329434392401e+03 
       5.911681783615e-02       1.252996225714e+03 
       6.204078235281e-02       1.174067830072e+03 
       6.490018977376e-02       1.091972021304e+03 
       6.772799863501e-02       1.007863973548e+03 
       7.054779706387e-02       9.238868032990e+02 
       7.337740943952e-02       8.425909669840e+02 
       7.623093612306e-02       7.664411518573e+02 
       7.911997911300e-02       6.975481377460e+02 
       8.205441535555e-02       6.374049613519e+02 
       8.504290451113e-02       5.867580485163e+02 
       8.809323351783e-02       5.456372871003e+02 
       9.121255685556e-02       5.133641438689e+02 
       9.440756786214e-02       4.886253051000e+02 
       9.768462309906e-02       4.695873715146e+02 
       1.010498338982e-01       4.540726732603e+02 
       1.045091344342e-01       4.397123335699e+02 
       1.080683326744e-01       4.243017764016e+02 
       1.117331486410e-01       4.061316148269e+02 
       1.155092431744e-01       3.843112870977e+02 
       1.194022395632e-01       3.589864702872e+02 
       1.234177398557e-01       3.312724768027e+02 
       1.275613373089e-01       3.030008143436e+02 
       1.318386261831e-01       2.762123576309e+02 
       1.362552099352e-01       2.526745947013e+02 
       1.408167087610e-01       2.333948793710e+02 
       1.455287673698e-01       2.185133658424e+02 
       1.503970638360e-01       2.072796262857e+02 
       1.554273203465e-01       1.982883973998e+02 
       1.606253166467e-01       1.899027337125e+02 
       1.659969069751e-01       1.806560728955e+02 
       1.715480412728e-01       1.698532625274e+02 
       1.772847914480e-01       1.575367188657e+02 
       1.832133834839e-01       1.448601409030e+02 
       1.893402361906e-01       1.330836137720e+02 
       1.956720074402e-01       1.230409234132e+02 
       2.022156487830e-01       1.149355472944e+02 
       2.089784694449e-01       1.082556222923e+02 
       2.159682108526e-01       1.020954585393e+02 
       2.231931330555e-01       9.585973283723e+01 
       2.306621147119e-01       8.940355483299e+01 
       2.383847687260e-01       8.283359040035e+01 
       2.463715761770e-01       7.656194210227e+01 
       2.546340419233e-01       7.106368525554e+01 
       2.631848762459e-01       6.631191964923e+01 
       2.720382081917e-01       6.198063384603e+01 
       2.812098379955e-01       5.782211774460e+01 
       2.907175382553e-01       5.368374542552e+01 
       3.005814166231e-01       4.972496418627e+01 
       3.108243569688e-01       4.610169493240e+01 
       3.214725617607e-01       4.280275750146e+01 
       3.325562264660e-01       3.977573275569e+01 
       3.441103882030e-01       3.684217391933e+01 
       3.561760073145e-01       3.405684989652e+01 
       3.688013646154e-01       3.146381627735e+01 
       3.820438930030e-01       2.907664347748e+01 
       3.959726168791e-01       2.679694161474e+01 
       4.106714581864e-01       2.465643907638e+01 
       4.262438042616e-01       2.264299091511e+01 
       4.428189568652e-01       2.073690450618e+01 
       4.605614617297e-01       1.894508253813e+01 
       4.796849850290e-01       1.724189623427e+01 
       5.004736213401e-01       1.562485416621e+01 
       5.233158441252e-01       1.408025839839e+01 
       5.487609849235e-01       1.260013663073e+01 
       5.776180814799e-01       1.117068842092e+01 
       6.111395467914e-01       9.777051694690e+00 
       6.513871773455e-01       8.405382240667e+00 
       7.020210186724e-01       7.030956711603e+00 
       7.701294325776e-01       5.631134716651e+00 
       8.704895663648e-01       4.188823663597e+00 
       1.031853396817e+00       2.766744364926e+00 
       1.281357868797e+00       1.621670900761e+00 
       1.612060959642e+00       9.142435426630e-01 
       2.029450717584e+00       5.112621713760e-01 
       2.554927047954e+00       2.842409979732e-01 
       3.216462585939e+00       1.571849415292e-01 
       4.049286485524e+00       8.650010802659e-02 
       5.097749656261e+00       4.738977418525e-02 
       6.417686585232e+00       2.585509583958e-02 
       8.079388727079e+00       1.405253997438e-02 
       1.017134778028e+01       7.610309843279e-03 
