# Matter power spectrum P(k) at redshift z=2.5
# for k=1.09433e-05 to 10.9582 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.094329135660e-05       4.713301464282e+00 
       1.377678757749e-05       5.916363692396e+00 
       1.734394797419e-05       7.426502067734e+00 
       2.183473684554e-05       9.322093141830e+00 
       2.748830507469e-05       1.170151383461e+01 
       3.460572578567e-05       1.468824295785e+01 
       4.356602758517e-05       1.843725891781e+01 
       5.484637921789e-05       2.314306242857e+01 
       6.904750054230e-05       2.904972765622e+01 
       8.692565305358e-05       3.646348596183e+01 
       1.094329135660e-04       4.576844963641e+01 
       1.377678757749e-04       5.744621229403e+01 
       1.734394797419e-04       7.210017888310e+01 
       2.183473684554e-04       9.048557202335e+01 
       2.748830507469e-04       1.135460605657e+02 
       3.460572578567e-04       1.424577499118e+02 
       4.356602758517e-04       1.786806779344e+02 
       5.484637921789e-04       2.240167128777e+02 
       6.904750054230e-04       2.806706610268e+02 
       8.692565305358e-04       3.513086456092e+02 
       1.094329135660e-03       4.391052912425e+02 
       1.377678757749e-03       5.477655249155e+02 
       1.734394797419e-03       6.814780464410e+02 
       2.183473684554e-03       8.448637066020e+02 
       2.748830507469e-03       1.042577388519e+03 
       3.460572578567e-03       1.278766264144e+03 
       4.356602758517e-03       1.554286055026e+03 
       5.484637921789e-03       1.871901535306e+03 
       6.904750054230e-03       2.225418601330e+03 
       8.692565305358e-03       2.602505593537e+03 
       1.094329135660e-02       2.979987946835e+03 
       1.377678757749e-02       3.321237006368e+03 
       1.734394797265e-02       3.575276008287e+03 
       2.183473326005e-02       3.683848073923e+03 
       2.748706241912e-02       3.604372518172e+03 
       3.451527184582e-02       3.352637650618e+03 
       4.193941512892e-02       3.065424779622e+03 
       4.740830234501e-02       2.885481158287e+03 
       5.160727548271e-02       2.767480834811e+03 
       5.521468066342e-02       2.675795573862e+03 
       5.850707088073e-02       2.596002887276e+03 
       6.161801881126e-02       2.521040575034e+03 
       6.462255367175e-02       2.447025547296e+03 
       6.756763501503e-02       2.371788874005e+03 
       7.048513225562e-02       2.294278060409e+03 
       7.339810027978e-02       2.214260340453e+03 
       7.632411736312e-02       2.132145293191e+03 
       7.927719605055e-02       2.048839309880e+03 
       8.226894261371e-02       1.965590780815e+03 
       8.530929440729e-02       1.883855114066e+03 
       8.840700719178e-02       1.805115578860e+03 
       9.156998761051e-02       1.730724491025e+03 
       9.480552605730e-02       1.661735403800e+03 
       9.812046331854e-02       1.598774572373e+03 
       1.015213118905e-01       1.541935862326e+03 
       1.050143454726e-01       1.490741830581e+03 
       1.086056656100e-01       1.444159549350e+03 
       1.123012516149e-01       1.400685738462e+03 
       1.161069980690e-01       1.358535671636e+03 
       1.200287430170e-01       1.315886136782e+03 
       1.240722891708e-01       1.271210467654e+03 
       1.282434199226e-01       1.223590755404e+03 
       1.325479116110e-01       1.172953825086e+03 
       1.369915432564e-01       1.120140409958e+03 
       1.415801048291e-01       1.066757315469e+03 
       1.463194050160e-01       1.014821421959e+03 
       1.512152793900e-01       9.662943294179e+02 
       1.562735998488e-01       9.225714261784e+02 
       1.615002861646e-01       8.840585597332e+02 
       1.669013204706e-01       8.500945031800e+02 
       1.724827655012e-01       8.190316959671e+02 
       1.782507873946e-01       7.889000345959e+02 
       1.842116838652e-01       7.578010000592e+02 
       1.903719185603e-01       7.246211451774e+02 
       1.967381624357e-01       6.897160174225e+02 
       2.033173430240e-01       6.546947222663e+02 
       2.101167025388e-01       6.215285884945e+02 
       2.171438658725e-01       5.915966998585e+02 
       2.244069197077e-01       5.652469398647e+02 
       2.319145042044e-01       5.416681302285e+02 
       2.396759190567e-01       5.192380595261e+02 
       2.477012461658e-01       4.964605867580e+02 
       2.560014917826e-01       4.728855496919e+02 
       2.645887517795e-01       4.492044351055e+02 
       2.734764047764e-01       4.267199093138e+02 
       2.826793392565e-01       4.064259360217e+02 
       2.922142226788e-01       3.881428400481e+02 
       3.020998230927e-01       3.708636697326e+02 
       3.123573971341e-01       3.536597290059e+02 
       3.230111628740e-01       3.363809860881e+02 
       3.340888823302e-01       3.197229624028e+02 
       3.456225873237e-01       3.042898039018e+02 
       3.576494949566e-01       2.900242908515e+02 
       3.702131771794e-01       2.762843786019e+02 
       3.833650756375e-01       2.627300202692e+02 
       3.971664930240e-01       2.495953743983e+02 
       4.116912534108e-01       2.372135091205e+02 
       4.270293199081e-01       2.254468261138e+02 
       4.432918119864e-01       2.139948401209e+02 
       4.606181192145e-01       2.028287273094e+02 
       4.791862420981e-01       1.921033964902e+02 
       4.992282577283e-01       1.817164872011e+02 
       5.210542196200e-01       1.714998138181e+02 
       5.450905211051e-01       1.614984576960e+02 
       5.719442729350e-01       1.516040063804e+02 
       6.025171357806e-01       1.417001355881e+02 
       6.382193986468e-01       1.316725116753e+02 
       6.814025539633e-01       1.213147287217e+02 
       7.363053910541e-01       1.103359982170e+02 
       8.112701919732e-01       9.829298673039e+01 
       9.237825458539e-01       8.460497937362e+01 
       1.105977416281e+00       6.921535997161e+01 
       1.380005702256e+00       5.437441710475e+01 
       1.736764678001e+00       4.220865777212e+01 
       2.186451806058e+00       3.234341374231e+01 
       2.752579731384e+00       2.425717647054e+01 
       3.465292571828e+00       1.767946964104e+01 
       4.362544877975e+00       1.245940040403e+01 
       5.492118606976e+00       8.473205162847e+00 
       6.914167678909e+00       5.569906668542e+00 
       8.704421392385e+00       3.554701703303e+00 
       1.095821728584e+01       2.214090208938e+00 
