# Matter power spectrum P(k) at redshift z=2.5
# for k=2.11609e-07 to 10.6205 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.116088733419e-07       1.773837158384e-01 
       2.663997880113e-07       2.211891134383e-01 
       3.353774628240e-07       2.758123745290e-01 
       4.222152104922e-07       3.439250002761e-01 
       5.315374577346e-07       4.288582260024e-01 
       6.691660128626e-07       5.347659448886e-01 
       8.424300983017e-07       6.668278645211e-01 
       1.060556658412e-06       8.315028343258e-01 
       1.335161727923e-06       1.036844731971e+00 
       1.680869028137e-06       1.292896357896e+00 
       2.116088733419e-06       1.612180600582e+00 
       2.663997880113e-06       2.010312890801e+00 
       3.353774628240e-06       2.506764897079e+00 
       4.222152104922e-06       3.125816797038e+00 
       5.315374577346e-06       3.897744680728e+00 
       6.691660128626e-06       4.860301119317e+00 
       8.424300983017e-06       6.060561219716e+00 
       1.060556658412e-05       7.557224310468e+00 
       1.335161727923e-05       9.423483482247e+00 
       1.680869028137e-05       1.175060272456e+01 
       2.116088733419e-05       1.465237534652e+01 
       2.663997880113e-05       1.827067929035e+01 
       3.353774628240e-05       2.278239617658e+01 
       4.222152104922e-05       2.840802291301e+01 
       5.315374577346e-05       3.542237812254e+01 
       6.691660128626e-05       4.416788983911e+01 
       8.424300983017e-05       5.507104087389e+01 
       1.060556658412e-04       6.866263218762e+01 
       1.335161727923e-04       8.560257314633e+01 
       1.680869028137e-04       1.067098617743e+02 
       2.116088733419e-04       1.329981611766e+02 
       2.663997880113e-04       1.657166948176e+02 
       3.353774628240e-04       2.063947081495e+02 
       4.222152104922e-04       2.568849453516e+02 
       5.315374577346e-04       3.193969311932e+02 
       6.691660128626e-04       3.965044921925e+02 
       8.424300983017e-04       4.911063610918e+02 
       1.060556658412e-03       6.063198066723e+02 
       1.335161727923e-03       7.452967459453e+02 
       1.680869028137e-03       9.109384331562e+02 
       2.116088733419e-03       1.105391925643e+03 
       2.663997880113e-03       1.329191606365e+03 
       3.353774628240e-03       1.580233700010e+03 
       4.222152104922e-03       1.852689685207e+03 
       5.315374577346e-03       2.135875016721e+03 
       6.691660128626e-03       2.413458953399e+03 
       8.424300983017e-03       2.662311507228e+03 
       1.060556658412e-02       2.857063044606e+03 
       1.335161727923e-02       2.966715945234e+03 
       1.680869028137e-02       2.961739353797e+03 
       2.116088732777e-02       2.820408502749e+03 
       2.663996768913e-02       2.541275361427e+03 
       3.353474269559e-02       2.159508975248e+03 
       4.204357234066e-02       1.758274158584e+03 
       5.056860907331e-02       1.468154832822e+03 
       5.671734356426e-02       1.314249491881e+03 
       6.153539660048e-02       1.214140347937e+03 
       6.572195068153e-02       1.135857843154e+03 
       6.956690526433e-02       1.068155864374e+03 
       7.321387232875e-02       1.006261819557e+03 
       7.674499522621e-02       9.480174154135e+02 
       8.021237237091e-02       8.925327269942e+02 
       8.365172508621e-02       8.395969171207e+02 
       8.708911044725e-02       7.893633461290e+02 
       9.054453470309e-02       7.421518506487e+02 
       9.403404134160e-02       6.983108616750e+02 
       9.757098760312e-02       6.581170287216e+02 
       1.011668612624e-01       6.217046918741e+02 
       1.048318231743e-01       5.890224515658e+02 
       1.085750789735e-01       5.598153883576e+02 
       1.124051403100e-01       5.336329977597e+02 
       1.163300123106e-01       5.098630932337e+02 
       1.203573303510e-01       4.877908514075e+02 
       1.244944611122e-01       4.666807774446e+02 
       1.287485779149e-01       4.458738562175e+02 
       1.331267171860e-01       4.248859898738e+02 
       1.376358208862e-01       4.034866378868e+02 
       1.422827684067e-01       3.817353752793e+02 
       1.470744005651e-01       3.599592640242e+02 
       1.520175377484e-01       3.386687303873e+02 
       1.571189938609e-01       3.184276926992e+02 
       1.623855874800e-01       2.997097152833e+02 
       1.678241514536e-01       2.827775125054e+02 
       1.734415420668e-01       2.676177994877e+02 
       1.792446488348e-01       2.539501157619e+02 
       1.852404059416e-01       2.413107520086e+02 
       1.914358063109e-01       2.291933977558e+02 
       1.978379192850e-01       2.172062428858e+02 
       2.044539128706e-01       2.051903422354e+02 
       2.112910815070e-01       1.932485119118e+02 
       2.183568803085e-01       1.816678136008e+02 
       2.256589667450e-01       1.707690965192e+02 
