# Matter power spectrum P(k) at redshift z=0
# for k=1.78638e-07 to 11.2827 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.786378445268e-07       1.435362712723e+00 
       2.248917219829e-07       1.792056342418e+00 
       2.831219037065e-07       2.237389828098e+00 
       3.564293592116e-07       2.793390543188e+00 
       4.487179778210e-07       3.487559754108e+00 
       5.649024650078e-07       4.354232904663e+00 
       7.111700683834e-07       5.436277935277e+00 
       8.953100711953e-07       6.787215639534e+00 
       1.127128600063e-06       8.473866933937e+00 
       1.418970836979e-06       1.057965797631e+01 
       1.786378445268e-06       1.320874660253e+01 
       2.248917219829e-06       1.649117416662e+01 
       2.831219037065e-06       2.058929756647e+01 
       3.564293592116e-06       2.570581952238e+01 
       4.487179778210e-06       3.209381414597e+01 
       5.649024650078e-06       4.006924338686e+01 
       7.111700683834e-06       5.002658283018e+01 
       8.953100711953e-06       6.245832852671e+01 
       1.127128600063e-05       7.797934729384e+01 
       1.418970836979e-05       9.735727017386e+01 
       1.786378445268e-05       1.215504229293e+02 
       2.248917219829e-05       1.517551511057e+02 
       2.831219037065e-05       1.894648436230e+02 
       3.564293592116e-05       2.365435016081e+02 
       4.487179778210e-05       2.953173478843e+02 
       5.649024650078e-05       3.686887257447e+02 
       7.111700683834e-05       4.602773661045e+02 
       8.953100711953e-05       5.745949264886e+02 
       1.127128600063e-04       7.172593323591e+02 
       1.418970836979e-04       8.952554911843e+02 
       1.786378445268e-04       1.117247686139e+03 
       2.248917219829e-04       1.393945226607e+03 
       2.831219037065e-04       1.738515211285e+03 
       3.564293592116e-04       2.167023399960e+03 
       4.487179778210e-04       2.698867174299e+03 
       5.649024650078e-04       3.357146665996e+03 
       7.111700683834e-04       4.168893316791e+03 
       8.953100711953e-04       5.164983880424e+03 
       1.127128600063e-03       6.379354662912e+03 
       1.418970836979e-03       7.847017594516e+03 
       1.786378445268e-03       9.600447769543e+03 
       2.248917219829e-03       1.166362070354e+04 
       2.831219037065e-03       1.404344146846e+04 
       3.564293592116e-03       1.671826395727e+04 
       4.487179778210e-03       1.962216989802e+04 
       5.649024650078e-03       2.262680836128e+04 
       7.111700683834e-03       2.552103656994e+04 
       8.953100711953e-03       2.799107310594e+04 
       1.127128600063e-02       2.961047410212e+04 
       1.418970836976e-02       2.986684633978e+04 
       1.786378425969e-02       2.828469395384e+04 
       2.248903629009e-02       2.472242621241e+04 
       2.829453439815e-02       1.981607142533e+04 
       3.508814008042e-02       1.531849204513e+04 
       4.072646808140e-02       1.299082397856e+04 
       4.483246713941e-02       1.194377179288e+04 
       4.823276457992e-02       1.134804575403e+04 
       5.127552589070e-02       1.093118001555e+04 
       5.411709835168e-02       1.057833727277e+04 
       5.684070586654e-02       1.023042672737e+04 
       5.949645325243e-02       9.854906299376e+03 
       6.211735334914e-02       9.435457453505e+03 
       6.472672894485e-02       8.967565909681e+03 
       6.734201546907e-02       8.456010348486e+03 
       6.997687996832e-02       7.912798626376e+03 
       7.264247946802e-02       7.355014095266e+03 
       7.534824737060e-02       6.802464266050e+03 
       7.810240577915e-02       6.275256024856e+03 
       8.091231090497e-02       5.791535296218e+03 
       8.378469263407e-02       5.365629611953e+03 
       8.672582460168e-02       5.006748537325e+03 
       8.974164722904e-02       4.718258404902e+03 
       9.283785805374e-02       4.497432332036e+03 
       9.601997877420e-02       4.335551251230e+03 
       9.929340537431e-02       4.218341708724e+03 
       1.026634457482e-01       4.126935356387e+03 
       1.061353479819e-01       4.039688677432e+03 
       1.097143216177e-01       3.935125940317e+03 
       1.134055536736e-01       3.795852501712e+03 
       1.172142208228e-01       3.612620312400e+03 
       1.211454988941e-01       3.387163031622e+03 
       1.252045706934e-01       3.132410604722e+03 
       1.293966330400e-01       2.869490066303e+03 
       1.337269038494e-01       2.622242778854e+03 
       1.382006300481e-01       2.411072288227e+03 
       1.428230970830e-01       2.248045425518e+03 
       1.475996407707e-01       2.134299955059e+03 
       1.525356622208e-01       2.059848211703e+03 
       1.576366465602e-01       2.005722511809e+03 
       1.629081861816e-01       1.948827935201e+03 
       1.683560092430e-01       1.869404169306e+03 
       1.739860141558e-01       1.758876057317e+03 
       1.798043108289e-01       1.623815367793e+03 
       1.858172694851e-01       1.482757199514e+03 
       1.920315779511e-01       1.357055976730e+03 
       1.984543084503e-01       1.260946383391e+03 
       2.050929951136e-01       1.195744094599e+03 
       2.119557236862e-01       1.150041833202e+03 
       2.190512352676e-01       1.105655653396e+03 
       2.263890464074e-01       1.047625108776e+03 
       2.339795885254e-01       9.732067212916e+02 
       2.418343704785e-01       8.928855636099e+02 
       2.499661692294e-01       8.217953083599e+02 
       2.583892550673e-01       7.684580545563e+02 
       2.671196598280e-01       7.294159408207e+02 
       2.761754992407e-01       6.930391522170e+02 
       2.855773641629e-01       6.497042901491e+02 
       2.953488004587e-01       6.000469695863e+02 
       3.055169042193e-01       5.529037622631e+02 
       3.161130688276e-01       5.150761137411e+02 
       3.271739344324e-01       4.844088123149e+02 
       3.387426109075e-01       4.534976418810e+02 
       3.508702758642e-01       4.192959682958e+02 
       3.636182955299e-01       3.861324999523e+02 
       3.770610880281e-01       3.580754248727e+02 
       3.912900625799e-01       3.327902287516e+02 
       4.064191543133e-01       3.065325219921e+02 
       4.225927877680e-01       2.807538154440e+02 
       4.399976481041e-01       2.577650159308e+02 
       4.588806272071e-01       2.356070891408e+02 
       4.795771803310e-01       2.134905123902e+02 
       5.025580411698e-01       1.928266499491e+02 
       5.285100458693e-01       1.724596591547e+02 
       5.584842891385e-01       1.525485672750e+02 
       5.941867569413e-01       1.327648334011e+02 
       6.385941406678e-01       1.128659661557e+02 
       6.973632524863e-01       9.238712299249e+01 
       7.821569239938e-01       7.098266016219e+01 
       9.166475536978e-01       4.908341075218e+01 
       1.129933527470e+00       2.995176311040e+01 
       1.420443207393e+00       1.729433347252e+01 
       1.788195281279e+00       9.866857027474e+00 
       2.251204353449e+00       5.585402840018e+00 
       2.834098367638e+00       3.139508860203e+00 
       3.567918454543e+00       1.753376431617e+00 
       4.491743209634e+00       9.735019668672e-01 
       5.654769669862e+00       5.376005097812e-01 
       7.118933235233e+00       2.954135752158e-01 
       8.962205954700e+00       1.615888858252e-01 
       1.128274882211e+01       8.801183360320e-02 
