# Matter power spectrum P(k) at redshift z=1.5
# for k=1.95701e-07 to 12.3654 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.957009798611e-07       4.297952461002e-01 
       2.463729366601e-07       5.333491497455e-01 
       3.101651507398e-07       6.618530984412e-01 
       3.904747901193e-07       8.213184998887e-01 
       4.915786359462e-07       1.019205136302e+00 
       6.188608366878e-07       1.264770132101e+00 
       7.790996336704e-07       1.569501000879e+00 
       9.808283271472e-07       1.947653028457e+00 
       1.234789705653e-06       2.416916130612e+00 
       1.554508138669e-06       2.999242379024e+00 
       1.957009798611e-06       3.721872901898e+00 
       2.463729366601e-06       4.618612191799e+00 
       3.101651507398e-06       5.731409420340e+00 
       3.904747901193e-06       7.112320698908e+00 
       4.915786359462e-06       8.825944031521e+00 
       6.188608366878e-06       1.095244075204e+01 
       7.790996336704e-06       1.359128457396e+01 
       9.808283271472e-06       1.686591321472e+01 
       1.234789705653e-05       2.092949935056e+01 
       1.554508138669e-05       2.597210924445e+01 
       1.957009798611e-05       3.222958068861e+01 
       2.463729366601e-05       3.999452925269e+01 
       3.101651507398e-05       4.962998524307e+01 
       3.904747901193e-05       6.158627487404e+01 
       4.915786359462e-05       7.642188733849e+01 
       6.188608366878e-05       9.482920988768e+01 
       7.790996336704e-05       1.176661506941e+02 
       9.808283271472e-05       1.459947697829e+02 
       1.234789705653e-04       1.811280282005e+02 
       1.554508138669e-04       2.246854997431e+02 
       1.957009798611e-04       2.786580971347e+02 
       2.463729366601e-04       3.454800760508e+02 
       3.101651507398e-04       4.281030796100e+02 
       3.904747901193e-04       5.300609413490e+02 
       4.915786359462e-04       6.555051538575e+02 
       6.188608366878e-04       8.091815960418e+02 
       7.790996336704e-04       9.963161261271e+02 
       9.808283271472e-04       1.222385179365e+03 
       1.234789705653e-03       1.492738301754e+03 
       1.554508138669e-03       1.811931298736e+03 
       1.957009798611e-03       2.182528398798e+03 
       2.463729366601e-03       2.603478316470e+03 
       3.101651507398e-03       3.068296510791e+03 
       3.904747901193e-03       3.563109792814e+03 
       4.915786359462e-03       4.064934134153e+03 
       6.188608366878e-03       4.540791949794e+03 
       7.790996336704e-03       4.948230593930e+03 
       9.808283271472e-03       5.237443991214e+03 
       1.234789705653e-02       5.355481239881e+03 
       1.554508138669e-02       5.253606586559e+03 
       1.957009798132e-02       4.900701685980e+03 
       2.463728493167e-02       4.306477666410e+03 
       3.101404898478e-02       3.550736808790e+03 
       3.889597255358e-02       2.798666402143e+03 
       4.687142712020e-02       2.281770145960e+03 
       5.263963546513e-02       2.022317469986e+03 
       5.714353807744e-02       1.859984529629e+03 
       6.104954927461e-02       1.735168129991e+03 
       6.463300335798e-02       1.627486161361e+03 
       6.802969658960e-02       1.528481697906e+03 
       7.131705789209e-02       1.434457746533e+03 
       7.454408230814e-02       1.344024199289e+03 
       7.774430319055e-02       1.257030331212e+03 
       8.094214600181e-02       1.173991748499e+03 
       8.415634134108e-02       1.095725157578e+03 
       8.740189398258e-02       1.023089125970e+03 
       9.069128504399e-02       9.567938294368e+02 
       9.403524037414e-02       8.972666748193e+02 
       9.744324050201e-02       8.445687200603e+02 
       1.009238697497e-01       7.983585105223e+02 
       1.044850614452e-01       7.579013097040e+02 
       1.081342738017e-01       7.221229805357e+02 
       1.118786181900e-01       6.897087174940e+02 
       1.157249538880e-01       6.592457786241e+02 
       1.196799587015e-01       6.294020529605e+02 
       1.237501818908e-01       5.991193656663e+02 
       1.279420839384e-01       5.677852362486e+02 
       1.322620664454e-01       5.353370840698e+02 
       1.367164946213e-01       5.022588299382e+02 
       1.413117142847e-01       4.694534751914e+02 
