# Matter power spectrum P(k) at redshift z=0
# for k=9.57854e-06 to 13.7014 h/Mpc,
# number of wavenumbers equal to 71
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.578537224911e-06       5.889721420943e+01 
       1.205866392026e-05       7.374309532722e+01 
       1.518095844150e-05       9.233099145032e+01 
       1.911169435739e-05       1.156040333115e+02 
       2.406019768896e-05       1.447429193507e+02 
       3.028999428343e-05       1.812257586733e+02 
       3.813284352651e-05       2.269027471828e+02 
       4.800640573949e-05       2.840894987091e+02 
       6.043648411435e-05       3.556834427107e+02 
       7.608502565104e-05       4.453086255528e+02 
       9.578537224911e-05       5.574952534239e+02 
       1.205866392026e-04       6.979009797429e+02 
       1.370135864533e-04       7.904666486147e+02 
       1.518095844150e-04       8.735812462552e+02 
       1.911169435739e-04       1.093314877763e+03 
       2.406019768896e-04       1.367987714431e+03 
       3.028999428343e-04       1.711029680982e+03 
       3.813284352651e-04       2.138888006206e+03 
       4.800640573949e-04       2.671502388794e+03 
       6.043648411435e-04       3.332729351018e+03 
       7.608502565104e-04       4.150634937437e+03 
       9.578537224911e-04       5.157481210774e+03 
       1.205866392026e-03       6.388995875460e+03 
       1.518095844150e-03       7.882307895434e+03 
       1.911169435739e-03       9.672834583634e+03 
       2.406019768896e-03       1.178788581789e+04 
       3.028999428343e-03       1.423804389527e+04 
       3.813284352651e-03       1.700545703931e+04 
       4.800640573949e-03       2.002771779396e+04 
       6.043648411435e-03       2.317913040183e+04 
       7.608502565104e-03       2.625493203225e+04 
       9.578537224911e-03       2.893969269963e+04 
       1.205866392026e-02       3.081430404089e+04 
       1.370135864533e-02       3.131651695577e+04 
       1.518095844147e-02       3.136372317607e+04 
       1.911169420203e-02       3.009981653715e+04 
       2.406008002238e-02       2.683778984409e+04 
       3.027377466652e-02       2.211426747759e+04 
       3.759507636343e-02       1.757372233422e+04 
       4.376544031125e-02       1.508579730061e+04 
       4.824076188662e-02       1.391907475924e+04 
       5.193164230693e-02       1.322132029719e+04 
       5.522722815041e-02       1.270949745532e+04 
       5.830100088551e-02       1.226593408459e+04 
       6.124478323444e-02       1.183009557987e+04 
       6.411363322027e-02       1.137188776170e+04 
       6.694371665495e-02       1.087526973054e+04 
       6.976052202247e-02       1.033579128942e+04 
       7.258306567576e-02       9.760580441623e+03 
       7.542622859317e-02       9.161257074303e+03 
       7.830214101344e-02       8.554448047456e+03 
       8.122104620400e-02       7.959319387316e+03 
       8.419186236645e-02       7.394774567157e+03 
       8.722256101391e-02       6.877861404842e+03 
       9.032042914248e-02       6.421384138265e+03 
       9.349225520169e-02       6.033761062326e+03 
       9.674446354316e-02       5.716583890495e+03 
       1.000832130801e-01       5.465731505780e+03 
       1.035144704879e-01       5.271447034604e+03 
       1.070440649197e-01       5.117853113060e+03 
       1.106777290724e-01       4.985770423705e+03 
       1.144211300553e-01       4.853541472047e+03 
       1.182798925984e-01       4.700937896795e+03 
       1.222596165338e-01       4.512891781494e+03 
       1.263658900786e-01       4.283541484834e+03 
       1.306043001819e-01       4.017351546004e+03 
       1.349804410184e-01       3.728774685317e+03 
       1.370135864533e-01       3.596348639372e+03 
       1.394999216004e-01       3.439579345942e+03 
       1.370135864533e+00       2.906849188556e+01 
       1.370135864533e+01       8.573084118782e-02 
