# Matter power spectrum P(k) at redshift z=0
# for k=1.08185e-05 to 8.60218 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.081847623451e-05       1.943690639244e+01 
       1.361965464852e-05       2.478504594415e+01 
       1.714612933688e-05       3.160470833503e+01 
       2.158569793611e-05       4.030075683289e+01 
       2.717478366308e-05       5.138940423051e+01 
       3.421102571346e-05       6.552884141336e+01 
       4.306912963422e-05       8.355817844709e+01 
       5.422082176037e-05       1.065470911344e+02 
       6.825997036249e-05       1.358589152794e+02 
       8.593421129766e-05       1.732307832787e+02 
       1.081847623451e-04       2.208751130463e+02 
       1.361965464852e-04       2.816076903306e+02 
       1.714612933688e-04       3.590083141306e+02 
       2.158569793611e-04       4.576204503874e+02 
       2.717478366308e-04       5.831958963131e+02 
       3.421102571346e-04       7.429884422364e+02 
       4.306912963422e-04       9.460960213201e+02 
       5.422082176037e-04       1.203843760962e+03 
       6.825997036249e-04       1.530190927210e+03 
       8.593421129766e-04       1.942128804376e+03 
       1.081847623451e-03       2.459989065041e+03 
       1.361965464852e-03       3.107474571990e+03 
       1.714612933688e-03       3.911064545199e+03 
       2.158569793611e-03       4.898817985317e+03 
       2.717478366308e-03       6.097569032263e+03 
       3.421102571346e-03       7.528378773204e+03 
       4.306912963422e-03       9.199811116489e+03 
       5.422082176037e-03       1.109807529987e+04 
       6.825997036249e-03       1.317377805341e+04 
       8.593421129766e-03       1.532759427780e+04 
       1.081847623451e-02       1.739160007154e+04 
       1.361965464852e-02       1.911197477346e+04 
       1.714612933684e-02       2.015891802999e+04 
       2.158569772625e-02       2.016999257003e+04 
       2.717463183095e-02       1.891191407146e+04 
       3.419086225083e-02       1.655615126796e+04 
       4.242274906768e-02       1.399984408247e+04 
       4.929361664016e-02       1.247612021070e+04 
       5.428944780748e-02       1.169739532724e+04 
       5.842033910243e-02       1.119575032743e+04 
       6.211389153303e-02       1.080607758264e+04 
       6.556160333570e-02       1.045758691380e+04 
       6.886519544813e-02       1.011360792266e+04 
       7.208581677738e-02       9.755362679861e+03 
       7.526371122604e-02       9.372951492127e+03 
       7.842728460024e-02       8.964606585378e+03 
       8.159775646644e-02       8.533832678128e+03 
       8.479174963302e-02       8.088297357225e+03 
       8.802282666540e-02       7.639107876568e+03 
       9.130244947663e-02       7.198194908692e+03 
       9.464060414275e-02       6.777926075454e+03 
       9.804622196286e-02       6.389372471303e+03 
       1.015274713879e-01       6.041251524669e+03 
       1.050919652058e-01       5.738895532540e+03 
       1.087469103889e-01       5.483420260658e+03 
       1.124992180873e-01       5.271920958692e+03 
       1.163555852578e-01       5.097056649567e+03 
       1.203225556858e-01       4.947958139491e+03 
       1.244065657900e-01       4.810926096045e+03 
       1.286139790510e-01       4.671360037711e+03 
       1.329511118982e-01       4.516196815094e+03 
       1.374242532094e-01       4.336261683179e+03 
       1.420396791344e-01       4.128694592881e+03 
       1.468036646501e-01       3.897939145386e+03 
       1.517224930646e-01       3.655127900839e+03 
       1.568024645549e-01       3.415177726419e+03 
       1.620499047452e-01       3.193539345190e+03 
       1.674711742821e-01       3.002449712256e+03 
       1.730726803289e-01       2.846889515408e+03 
       1.788608908845e-01       2.724351900054e+03 
       1.848423528154e-01       2.624588373218e+03 
       1.910237144841e-01       2.533146453849e+03 
       1.974117538499e-01       2.435125551216e+03 
       2.040134129222e-01       2.319218221515e+03 
       2.108358394624e-01       2.184427044844e+03 
       2.178864368615e-01       2.040382267680e+03 
       2.251729231842e-01       1.901484767263e+03 
       2.327034004694e-01       1.779701067402e+03 
       2.404864355314e-01       1.680361564989e+03 
       2.485311537334e-01       1.600762258162e+03 
       2.568473475170e-01       1.530638224167e+03 
       2.654456019103e-01       1.457846724151e+03 
       2.743374398194e-01       1.376040919821e+03 
       2.835354906893e-01       1.287484183808e+03 
       2.930536871524e-01       1.200903736987e+03 
       3.029074956478e-01       1.125309886601e+03 
       3.131141888021e-01       1.062509752818e+03 
       3.236931697744e-01       1.006940304624e+03 
       3.346663619984e-01       9.513080649136e+02 
       3.460586821480e-01       8.921101621243e+02 
       3.578986201718e-01       8.326998555026e+02 
       3.702189586251e-01       7.784423513596e+02 
       3.830576753487e-01       7.310295900491e+02 
       3.964590905055e-01       6.870108924224e+02 
       4.104753437136e-01       6.427449731222e+02 
       4.251683237656e-01       5.986899498295e+02 
       4.406122291487e-01       5.575687857560e+02 
       4.568970239659e-01       5.198406437832e+02 
       4.741331911119e-01       4.837294221841e+02 
       4.924584086146e-01       4.480764479343e+02 
       5.120471520898e-01       4.140540144096e+02 
       5.331248826594e-01       3.820681585601e+02 
       5.559896671772e-01       3.508069184785e+02 
       5.810463213882e-01       3.204831444857e+02 
       6.088626212327e-01       2.912085650308e+02 
       6.402664823345e-01       2.623516460177e+02 
       6.765239361501e-01       2.339214692317e+02 
       7.196878930500e-01       2.053966458274e+02 
       7.733362748659e-01       1.763846076578e+02 
       8.442597180788e-01       1.462048288788e+02 
       9.464461799475e-01       1.141818230042e+02 
       1.108347225890e+00       8.073455214579e+01 
       1.365461759802e+00       5.065532619968e+01 
       1.716398482607e+00       3.009095853786e+01 
       2.160769901464e+00       1.764809634940e+01 
       2.720247968167e+00       1.026309654908e+01 
       3.424589293422e+00       5.923122109579e+00 
       4.311302486447e+00       3.394590088183e+00 
       5.427608258120e+00       1.933381771183e+00 
       6.832953961411e+00       1.094763914410e+00 
       8.602179379640e+00       6.166305554478e-01 
