# Matter power spectrum P(k) at redshift z=0
# for k=1.10754e-05 to 15.5679 h/Mpc,
# number of wavenumbers equal to 70
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.107539413987e-05       2.427635500524e+01 
       1.394309512831e-05       3.075647891059e+01 
       1.755331677610e-05       3.896630212336e+01 
       2.209831655070e-05       4.936751578059e+01 
       2.782013226355e-05       6.254495879389e+01 
       3.502347146606e-05       7.923951876483e+01 
       4.409193823787e-05       1.003896515227e+02 
       5.550846150291e-05       1.271839314271e+02 
       6.988101275561e-05       1.611274299007e+02 
       8.797498275995e-05       2.041254487074e+02 
       1.107539413987e-04       2.585887961202e+02 
       1.394309512831e-04       3.275656865169e+02 
       1.556793096851e-04       3.668132766126e+02 
       1.755331677610e-04       4.149058747015e+02 
       2.209831655070e-04       5.254628593498e+02 
       2.782013226355e-04       6.653391968905e+02 
       3.502347146606e-04       8.421773700708e+02 
       4.409193823787e-04       1.065493530298e+03 
       5.550846150291e-04       1.347043590941e+03 
       6.988101275561e-04       1.701201310736e+03 
       8.797498275995e-04       2.145311365650e+03 
       1.107539413987e-03       2.699930324024e+03 
       1.394309512831e-03       3.388756088647e+03 
       1.755331677610e-03       4.237873920019e+03 
       2.209831655070e-03       5.274425614452e+03 
       2.782013226355e-03       6.523543051876e+03 
       3.502347146606e-03       8.003600160456e+03 
       4.409193823787e-03       9.719333222224e+03 
       5.550846150291e-03       1.165194704887e+04 
       6.988101275561e-03       1.374596579571e+04 
       8.797498275995e-03       1.589545642071e+04 
       1.107539413987e-02       1.792597886774e+04 
       1.394309512831e-02       1.958225765822e+04 
       1.556793096851e-02       2.014666332678e+04 
       1.755331677607e-02       2.052900516351e+04 
       2.209831638493e-02       2.041278808556e+04 
       2.782000410586e-02       1.901015371110e+04 
       3.500550822501e-02       1.650764405651e+04 
       4.348734391010e-02       1.381292295922e+04 
       5.066715293139e-02       1.219745231058e+04 
       5.586909205785e-02       1.138362619763e+04 
       6.015419193168e-02       1.086686731505e+04 
       6.397798167765e-02       1.047064955320e+04 
       6.754312246349e-02       1.012008987516e+04 
       7.095671008005e-02       9.776886840890e+03 
       7.428288700570e-02       9.421045947604e+03 
       7.756375008961e-02       9.042526207251e+03 
       8.082894759197e-02       8.639133530079e+03 
       8.410058692774e-02       8.213452885995e+03 
       8.739595968032e-02       7.773185282173e+03 
       9.072915529395e-02       7.329191042985e+03 
       9.411206722789e-02       6.893158364891e+03 
       9.755504721827e-02       6.477383793428e+03 
       1.010673456965e-01       6.092947093550e+03 
       1.046574168623e-01       5.748623213404e+03 
       1.083331350363e-01       5.449658513707e+03 
       1.121019510448e-01       5.197505725036e+03 
       1.159710069606e-01       4.989355525154e+03 
       1.199472212263e-01       4.818362487776e+03 
       1.240373522775e-01       4.673842429844e+03 
       1.282480462938e-01       4.542531952768e+03 
       1.325858730912e-01       4.410051758554e+03 
       1.370573531084e-01       4.263223218188e+03 
       1.416689777319e-01       4.092734170798e+03 
       1.464272247385e-01       3.895072161811e+03 
       1.513385703182e-01       3.674086067948e+03 
       1.556793096851e-01       3.473922518745e+03 
       1.564094989375e-01       3.440440855030e+03 
       1.556793096851e+00       3.524227857296e+01 
       1.556793096851e+01       1.215149042426e-01 
