z=2 k                     pk_nl                    
7.10020677101e-06         22.0435477834            
8.93863073302e-06         27.6014242836            
1.12530693764e-05         34.5606174637            
1.41667749987e-05         43.2744436373            
1.7834913049e-05          54.1850322447            
2.24528252546e-05         67.8462333662            
2.82664322795e-05         84.9513054285            
3.55853298975e-05         106.368012072            
4.4799276095e-05          133.182376879            
5.6398947106e-05          166.753184434            
7.10020677101e-05         208.779718179            
8.93863073302e-05         261.385561837            
0.000112530693764         327.221549449            
0.000141667749987         409.590802552            
0.00017834913049          512.597827952            
0.000224528252546         641.321028503            
0.000282664322795         802.002465855            
0.000355853298975         1002.23885047            
0.00044799276095          1251.14311135            
0.00056398947106          1559.43002677            
0.000710020677101         1939.37173033            
0.000893863073302         2404.56834477            
0.00112530693764          2969.37357257            
0.00141667749987          3647.77978677            
0.0017834913049           4451.10764079            
0.00224528252546          5384.73155929            
0.00282664322795          6443.7688216             
0.00355853298975          7602.89001618            
0.0044799276095           8824.3382992             
0.0056398947106           10030.1989837            
0.00710020677101          11106.197747             
0.00893863073302          11897.4023379            
0.0112530693764           12215.0246179            
0.0141667748022           11877.0258202            
0.0178347832948           10805.6677417            
0.0224368256747           9178.78382889            
0.0277871114521           7579.69527446            
0.0321690999636           6677.4394441             
0.0353726039056           6214.34092434            
0.038035030596            5912.32831689            
0.0404220308411           5676.22848667            
0.0426536723536           5465.67265874            
0.0447941855988           5260.35485196            
0.0468823782962           5049.66872578            
0.0489438886509           4828.82650455            
0.0509968681361           4597.03149601            
0.0530549102302           4356.44746045            
0.0551286863955           4111.38557197            
0.0572269194984           3867.49895587            
0.0593569930948           3631.06293956            
0.0615253488804           3408.19349263            
0.0637377549372           3204.17961569            
0.0659994919466           3022.91556122            
0.0683154854818           2866.41467857            
0.0706904017679           2734.64139031            
0.073128718016            2625.3868383             
0.0756347746429           2534.41934258            
0.0782128143196           2455.79817244            
0.0808670112842           2382.4952978             
0.083601493377            2307.28865886            
0.0864203586071           2223.95733298            
0.089327687636            2128.55939442            
0.0923275532732           2020.40317377            
0.0954240278934           1902.37104583            
0.0986211895574           1780.32538818            
0.101923127539            1661.70681611            
0.10533394791             1553.69735751            
0.108857779802            1461.41883521            
0.112498782938            1386.60970966            
0.116261157035            1327.24260883            
0.120149153633            1277.880394              
0.124167090944            1231.48119771            
0.128319372274            1181.37047433            
0.1326105086              1122.99021926            
0.137045145875            1056.73739916            
0.141628097676            987.567224462            
0.146364383827            922.16163444             
0.151259275715            865.518775459            
0.15631834912             819.263211351            
0.161547545505            781.511282288            
0.166953242951            747.414478169            
0.172542338191            711.748173814            
0.178322341574            672.314878495            
0.184301487339            630.728935327            
0.190488862205            590.899767604            
0.196894556234            556.351390767            
0.20352984107             527.318154171            
0.210407382282            501.0393536              
0.217541494631            474.5895549              
0.224948452006            446.921596242            
0.23264686772             419.723040688            
0.240658166405            395.062480576            
0.249007176531            373.245535007            
0.257722883805            352.704844596            
0.266839402035            332.148963337            
0.27639724239             312.002193604            
0.286444998903            293.25756421             
0.29704162538             275.887323687            
0.308259570041            259.178558409            
0.320189183266            242.80230941             
0.332945064988            227.210837813            
0.346675456398            212.426719675            
0.361576574692            197.96943194             
0.37791529354             183.949982453            
0.396066565338            170.317525946            
0.41657828605             156.836333362            
0.440290454244            143.454616485            
0.468569509458            129.913273369            
0.503806235572            115.962159904            
0.550557957515            101.18609344             
0.618240110212            85.0712729274            
0.725861049389            67.4885110588            
0.895937810027            50.5000397797            
1.12647244625             37.3495618014            
1.41812028612             27.8035308352            
1.78530758537             20.7125242534            
2.24756908705             15.326301266             
2.82952183845             11.1871320158            
3.56215694565             8.00853811057            
4.48448989968             5.59785825049            
5.64563829364             3.80934221317            
7.10743751366             2.51994250579            
8.94773369869             1.6206926219             
