# Matter power spectrum P(k) at redshift z=2
# for k=1.15134e-05 to 11.5268 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.151338608746e-05       7.068164182235e+00 
       1.449449432130e-05       8.783269421771e+00 
       1.824748723219e-05       1.091454226930e+01 
       2.297222537799e-05       1.356295885526e+01 
       2.892031829382e-05       1.685399086086e+01 
       3.640852361727e-05       2.094353825640e+01 
       4.583561558768e-05       2.602530246429e+01 
       5.770362122856e-05       3.233992561857e+01 
       7.264455511719e-05       4.018632513217e+01 
       9.145407646551e-05       4.993571818438e+01 
       1.151338608746e-04       6.204894455046e+01 
       1.449449432130e-04       7.709776950770e+01 
       1.824748723219e-04       9.579094622048e+01 
       2.297222537799e-04       1.190057849724e+02 
       2.892031829382e-04       1.478258333280e+02 
       3.640852361727e-04       1.835847756766e+02 
       4.583561558768e-04       2.279156219150e+02 
       5.770362122856e-04       2.828023854093e+02 
       7.264455511719e-04       3.506286902177e+02 
       9.145407646551e-04       4.342147078844e+02 
       1.151338608746e-03       5.368317776083e+02 
       1.449449432130e-03       6.621811370991e+02 
       1.824748723219e-03       8.142961178357e+02 
       2.297222537799e-03       9.973059454852e+02 
       2.892031829382e-03       1.214991099423e+03 
       3.640852361727e-03       1.470035827712e+03 
       4.583561558768e-03       1.762997630683e+03 
       5.770362122856e-03       2.090828266011e+03 
       7.264455511719e-03       2.444951841774e+03 
       9.145407646551e-03       2.809087091698e+03 
       1.151338608746e-02       3.156431881007e+03 
       1.449449432130e-02       3.448524282645e+03 
       1.824748723184e-02       3.635662464977e+03 
       2.297222417875e-02       3.665463702201e+03 
       2.891975644199e-02       3.504841931188e+03 
       3.635616238837e-02       3.178197269955e+03 
       4.463142467939e-02       2.820538774312e+03 
       5.098788302779e-02       2.597898656143e+03 
       5.575067462969e-02       2.460149496801e+03 
       5.978219168949e-02       2.356962355718e+03 
       6.343216957244e-02       2.269415415147e+03 
       6.686435269233e-02       2.188878645646e+03 
       7.016866940315e-02       2.110858772995e+03 
       7.340049166533e-02       2.032966224914e+03 
       7.659692994101e-02       1.954081441664e+03 
       7.978456101048e-02       1.873977493691e+03 
       8.298347842970e-02       1.793049146508e+03 
       8.620958493194e-02       1.712167772423e+03 
       8.947597071888e-02       1.632489446920e+03 
       9.279378348835e-02       1.555306181665e+03 
       9.617279993054e-02       1.481875651680e+03 
       9.962181366326e-02       1.413286690896e+03 
       1.031489058113e-01       1.350300127109e+03 
       1.067616379806e-01       1.293253938296e+03 
       1.104671923698e-01       1.242002680255e+03 
       1.142724749220e-01       1.195887654364e+03 
       1.181841920326e-01       1.153790714666e+03 
       1.222089079653e-01       1.114250576149e+03 
       1.263530879722e-01       1.075642642162e+03 
       1.306231307082e-01       1.036408261006e+03 
       1.350253926069e-01       9.953519211980e+02 
       1.395662062645e-01       9.518759967984e+02 
       1.442518944731e-01       9.061938276731e+02 
       1.490887812669e-01       8.592289028227e+02 
       1.540832011709e-01       8.125150046651e+02 
       1.592415077247e-01       7.677807215483e+02 
       1.645700822789e-01       7.265621048023e+02 
       1.700753440200e-01       6.897742135813e+02 
       1.757637621481e-01       6.574595817370e+02 
       1.816418711141e-01       6.287771388266e+02 
       1.877162898114e-01       6.021799774498e+02 
       1.939937456090e-01       5.759541229590e+02 
       2.004811041089e-01       5.488290936259e+02 
       2.071854055183e-01       5.202098131398e+02 
       2.141139085432e-01       4.906224859228e+02 
       2.212741427513e-01       4.614861511104e+02 
       2.286739704209e-01       4.343772637873e+02 
       2.363216590078e-01       4.101813020896e+02 
       2.442259655285e-01       3.887657660063e+02 
       2.523962344102e-01       3.692685626223e+02 
       2.608425106978e-01       3.505094450821e+02 
       2.695756709807e-01       3.315063048222e+02 
       2.786075750350e-01       3.121327646641e+02 
       2.879512420153e-01       2.931135460545e+02 
       2.976210561426e-01       2.753350975920e+02 
       3.076330083056e-01       2.592916860382e+02 
       3.180049819425e-01       2.447120332944e+02 
       3.287570941707e-01       2.307780712881e+02 
       3.399121066347e-01       2.169859942468e+02 
       3.514959253050e-01       2.034084273508e+02 
       3.635382150178e-01       1.905141704188e+02 
       3.760731636955e-01       1.786307189598e+02 
       3.891404441554e-01       1.675498340746e+02 
       4.027864400715e-01       1.568956832717e+02 
       4.170658299922e-01       1.465072791945e+02 
       4.320436641255e-01       1.366166401615e+02 
       4.477981307946e-01       1.273202857611e+02 
       4.644243064314e-01       1.184880499911e+02 
       4.820393379779e-01       1.099812557682e+02 
       5.007897613716e-01       1.018033741539e+02 
       5.208620918800e-01       9.401026897763e+01 
       5.424985808976e-01       8.652797580496e+01 
       5.660214202271e-01       7.927573897726e+01 
       5.918713240101e-01       7.227087518829e+01 
       6.206717452203e-01       6.544400363259e+01 
       6.533413325395e-01       5.874312049657e+01 
       6.913030328021e-01       5.210904057170e+01 
       7.369011208326e-01       4.544972834776e+01 
       7.943008143873e-01       3.864737127395e+01 
       8.715765833995e-01       3.154832226711e+01 
       9.855687536347e-01       2.402651431848e+01 
       1.168952428915e+00       1.635494111879e+01 
       1.452077684612e+00       9.930618246105e+00 
       1.826890911089e+00       5.791046646661e+00 
       2.299904652266e+00       3.337425960257e+00 
       2.895408377506e+00       1.905554791972e+00 
       3.645103183954e+00       1.078925964690e+00 
       4.588913026891e+00       6.062783072366e-01 
       5.777099222066e+00       3.383491559135e-01 
       7.272937017116e+00       1.876460681817e-01 
       9.156085229225e+00       1.034758513812e-01 
       1.152682836762e+01       5.676299118010e-02 
