# Matter power spectrum P(k) at redshift z=1.5
# for k=1.06705e-05 to 10.6817 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.067047011462e-05       1.048934414490e+01 
       1.343332598308e-05       1.303640547191e+01 
       1.691155544502e-05       1.620193887437e+01 
       2.129038690270e-05       2.013611393996e+01 
       2.680300909874e-05       2.502554440394e+01 
       3.374298926695e-05       3.110213335149e+01 
       4.247990665806e-05       3.865403550512e+01 
       5.347903398248e-05       4.803926952451e+01 
       6.732611487875e-05       5.970256871324e+01 
       8.475855689823e-05       7.419622764103e+01 
       1.067047011462e-04       9.220580760806e+01 
       1.343332598308e-04       1.145816804763e+02 
       1.691155544502e-04       1.423774677417e+02 
       2.129038690270e-04       1.768963184060e+02 
       2.680300909874e-04       2.197455959884e+02 
       3.374298926695e-04       2.728995640155e+02 
       4.247990665806e-04       3.387677560402e+02 
       5.347903398248e-04       4.202635654862e+02 
       6.732611487875e-04       5.208634204165e+02 
       8.475855689823e-04       6.446431333571e+02 
       1.067047011462e-03       7.962757172621e+02 
       1.343332598308e-03       9.809655236344e+02 
       1.691155544502e-03       1.204233942409e+03 
       2.129038690270e-03       1.471477872063e+03 
       2.680300909874e-03       1.787187084108e+03 
       3.374298926695e-03       2.153767990375e+03 
       4.247990665806e-03       2.569932371354e+03 
       5.347903398248e-03       3.028502921110e+03 
       6.732611487875e-03       3.513717746362e+03 
       8.475855689823e-03       3.998318478479e+03 
       1.067047011462e-02       4.440186479895e+03 
       1.343332598308e-02       4.781403331776e+03 
       1.691155544491e-02       4.950129493403e+03 
       2.129038641371e-02       4.875111294167e+03 
       2.680272551785e-02       4.520592809069e+03 
       3.371153753263e-02       3.942223309253e+03 
       4.162592642473e-02       3.352808386110e+03 
       4.794242643094e-02       3.006401490935e+03 
       5.260041210577e-02       2.813468650500e+03 
       5.649928250695e-02       2.679417137418e+03 
       6.000805738551e-02       2.570725621959e+03 
       6.329575241432e-02       2.472783473162e+03 
       6.645369385313e-02       2.378144616180e+03 
       6.953745916467e-02       2.282814226500e+03 
       7.258396595018e-02       2.185104730243e+03 
       7.561946497491e-02       2.084469103382e+03 
       7.866368600727e-02       1.981712314984e+03 
       8.173216519323e-02       1.878158192827e+03 
       8.483763533869e-02       1.775739050633e+03 
       8.799089890441e-02       1.676640929086e+03 
       9.120139897809e-02       1.582903541241e+03 
       9.447760547101e-02       1.496358956218e+03 
       9.782728369194e-02       1.418336413337e+03 
       1.012576854312e-01       1.349498022177e+03 
       1.047756874365e-01       1.289736557989e+03 
       1.083878932134e-01       1.238224195435e+03 
       1.121007086522e-01       1.193296195640e+03 
       1.159203986023e-01       1.152759046378e+03 
       1.198531293481e-01       1.114068522157e+03 
       1.239050005393e-01       1.074649653333e+03 
       1.280820691994e-01       1.032373825374e+03 
       1.323903678217e-01       9.860370135203e+02 
       1.368359181513e-01       9.355310432973e+02 
       1.414247419806e-01       8.820650950494e+02 
       1.461628701041e-01       8.278439936410e+02 
       1.510563504667e-01       7.755753361757e+02 
       1.561112564618e-01       7.277650815285e+02 
       1.613336962934e-01       6.861516405550e+02 
       1.667298242841e-01       6.511760930425e+02 
       1.723058549962e-01       6.218911768745e+02 
       1.780680810175e-01       5.961547380690e+02 
       1.840228952583e-01       5.713304437200e+02 
       1.901768185993e-01       5.451497033903e+02 
       1.965365337387e-01       5.161772890527e+02 
       2.031089260971e-01       4.848070936310e+02 
       2.099011326786e-01       4.529921367613e+02 
       2.169205998469e-01       4.232223643973e+02 
       2.241751510756e-01       3.971479492675e+02 
       2.316730658923e-01       3.750959289983e+02 
       2.394231714549e-01       3.561450962543e+02 
       2.474349485192e-01       3.384584271505e+02 
       2.557186539872e-01       3.202330426276e+02 
       2.642854628064e-01       3.008736635276e+02 
       2.731476327660e-01       2.811814689447e+02 
       2.823186967590e-01       2.626025228874e+02 
       2.918136884339e-01       2.462563017622e+02 
       3.016494089558e-01       2.320454753719e+02 
       3.118447449876e-01       2.188314181592e+02 
       3.224210512232e-01       2.056170623501e+02 
       3.334026151721e-01       1.922007691433e+02 
       3.448172279035e-01       1.792706263868e+02 
       3.566968928318e-01       1.675166942392e+02 
       3.690787164588e-01       1.568895590901e+02 
       3.820060419963e-01       1.467802963303e+02 
       3.955299116485e-01       1.367865411984e+02 
       4.097109803562e-01       1.271584244238e+02 
       4.246220600838e-01       1.182050231396e+02 
       4.403515612230e-01       1.098314599510e+02 
       4.570082371280e-01       1.017807338358e+02 
       4.747278662134e-01       9.398579959408e+01 
       4.936828918988e-01       8.659980531429e+01 
       5.140967153686e-01       7.958088926330e+01 
       5.362655626856e-01       7.276803938119e+01 
       5.605931783833e-01       6.621249809577e+01 
       5.876482540493e-01       5.986359841463e+01 
       6.182643495945e-01       5.364641607544e+01 
       6.537242763087e-01       4.753061643069e+01 
       6.961245961287e-01       4.142085464288e+01 
       7.491544828013e-01       3.522409807586e+01 
       8.198907079574e-01       2.880653379143e+01 
       9.230115970130e-01       2.205004268030e+01 
       1.087775800723e+00       1.513784608332e+01 
       1.346097048551e+00       9.210482108176e+00 
       1.692950784771e+00       5.341484226552e+00 
       2.131273167880e+00       3.060857139255e+00 
       2.683113877174e+00       1.738754390334e+00 
       3.377840242684e+00       9.799700586868e-01 
       4.252448918496e+00       5.484068058320e-01 
       5.353516005851e+00       3.049075215471e-01 
       6.739677342213e+00       1.685296672330e-01 
       8.484751073405e+00       9.264636257488e-02 
       1.068166873906e+01       5.067873332360e-02 
