# Matter power spectrum P(k) at redshift z=1.5
# for k=1.75376e-07 to 11.0768 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.753758613677e-07       5.574483348960e-01 
       2.207851284911e-07       6.954959770448e-01 
       2.779520088036e-07       8.677300183780e-01 
       3.499208471421e-07       1.082616448195e+00 
       4.405242465838e-07       1.350717790079e+00 
       5.545871685358e-07       1.685212291769e+00 
       6.981838795247e-07       2.102541687486e+00 
       8.789614280386e-07       2.623219372846e+00 
       1.106546877745e-06       3.272838716024e+00 
       1.393059983734e-06       4.083331067269e+00 
       1.753758613677e-06       5.094535296316e+00 
       2.207851284911e-06       6.356156002479e+00 
       2.779520088036e-06       7.930206637110e+00 
       3.499208471421e-06       9.894057598457e+00 
       4.405242465838e-06       1.234423906744e+01 
       5.545871685358e-06       1.540118541102e+01 
       6.981838795247e-06       1.921515412302e+01 
       8.789614280386e-06       2.397360985039e+01 
       1.106546877745e-05       2.991043557643e+01 
       1.393059983734e-05       3.731742210768e+01 
       1.753758613677e-05       4.655859730095e+01 
       2.207851284911e-05       5.808809290404e+01 
       2.779520088036e-05       7.247241438966e+01 
       3.499208471421e-05       9.041818311183e+01 
       4.405242465838e-05       1.128066644581e+02 
       5.545871685358e-05       1.407366805612e+02 
       6.981838795247e-05       1.755778231164e+02 
       8.789614280386e-05       2.190362012484e+02 
       1.106546877745e-04       2.732352130171e+02 
       1.393059983734e-04       3.408138691807e+02 
       1.753758613677e-04       4.250447382028e+02 
       2.207851284911e-04       5.299721065194e+02 
       2.779520088036e-04       6.605676307761e+02 
       3.499208471421e-04       8.228945405287e+02 
       4.405242465838e-04       1.024261658129e+03 
       5.545871685358e-04       1.273336574502e+03 
       6.981838795247e-04       1.580178527686e+03 
       8.789614280386e-04       1.956147986747e+03 
       1.106546877745e-03       2.413617233854e+03 
       1.393059983734e-03       2.965261637296e+03 
       1.753758613677e-03       3.622573764868e+03 
       2.207851284911e-03       4.393518364376e+03 
       2.779520088036e-03       5.279330872275e+03 
       3.499208471421e-03       6.270220799131e+03 
       4.405242465838e-03       7.339704501162e+03 
       5.545871685358e-03       8.438286492538e+03 
       6.981838795247e-03       9.486702754523e+03 
       8.789614280386e-03       1.036988641885e+04 
       1.106546877745e-02       1.093503004002e+04 
       1.393059983729e-02       1.100318946969e+04 
       1.753758588238e-02       1.041459278292e+04 
       2.207834676049e-02       9.132687419555e+03 
       2.777491311090e-02       7.393854922201e+03 
       3.438954185595e-02       5.819807351325e+03 
       3.979427342809e-02       5.005159244673e+03 
       4.374835342807e-02       4.622069778649e+03 
       4.703668972852e-02       4.391534056088e+03 
       4.998585249291e-02       4.221327143476e+03 
       5.274361685170e-02       4.072460101479e+03 
       5.538910619172e-02       3.925142099407e+03 
       5.797015715020e-02       3.768840321044e+03 
       6.051838818261e-02       3.598671525218e+03 
       6.305619332490e-02       3.413789097503e+03 
       6.560034862660e-02       3.216427012428e+03 
       6.816402757754e-02       3.011114119204e+03 
       7.075800072435e-02       2.803887686758e+03 
       7.339138674953e-02       2.601475346812e+03 
       7.607214253169e-02       2.410485753101e+03 
       7.880739395974e-02       2.236678779841e+03 
       8.160366561636e-02       2.084382079019e+03 
       8.446704397510e-02       1.956090531218e+03 
       8.740329554164e-02       1.852248102839e+03 
       9.041795363478e-02       1.771186877840e+03 
       9.351638282010e-02       1.709201760160e+03 
       9.670382709326e-02       1.660782183494e+03 
       9.998544605133e-02       1.619072659453e+03 
       1.033663420826e-01       1.576653089092e+03 
       1.068515808098e-01       1.526663137957e+03 
       1.104462064947e-01       1.464136578553e+03 
       1.141552537568e-01       1.387211813408e+03 
       1.179837567293e-01       1.297769352836e+03 
       1.219367566185e-01       1.201132626529e+03 
       1.260193085338e-01       1.104782947160e+03 
       1.302364883948e-01       1.016440962952e+03 
       1.345934006777e-01       9.421197456153e+02 
       1.390951877426e-01       8.846989689858e+02 
       1.437470414657e-01       8.432900398134e+02 
       1.485542178902e-01       8.134351503537e+02 
       1.535220556027e-01       7.881744642510e+02 
       1.586559985379e-01       7.600234235934e+02 
       1.639616239201e-01       7.235520000726e+02 
       1.694446760587e-01       6.775776289755e+02 
       1.751111067447e-01       6.256693302282e+02 
       1.809671230470e-01       5.743924679494e+02 
       1.870192433873e-01       5.301419110654e+02 
       1.932743629021e-01       4.962621288930e+02 
       1.997398292810e-01       4.717648903749e+02 
       2.064235305326e-01       4.520441461834e+02 
       2.133339964803e-01       4.313443702396e+02 
       2.204805162696e-01       4.060134336673e+02 
       2.278732748038e-01       3.766068240575e+02 
       2.355235118645e-01       3.471262119580e+02 
       2.434437087866e-01       3.218527523597e+02 
       2.516478090321e-01       3.022754206381e+02 
       2.601514809682e-01       2.863383134044e+02 
       2.689724337948e-01       2.704062736516e+02 
       2.781308011500e-01       2.524256001654e+02 
       2.876496118361e-01       2.335060270760e+02 
       2.975553739620e-01       2.163209585342e+02 
       3.078788084668e-01       2.021094382567e+02 
       3.186557818740e-01       1.895767145978e+02 
       3.299285083909e-01       1.767542529850e+02 
       3.417471216204e-01       1.634465419974e+02 
       3.541717619147e-01       1.510540258233e+02 
       3.672753964518e-01       1.402080050974e+02 
       3.811477021446e-01       1.299537845823e+02 
       3.959005263164e-01       1.196074357508e+02 
       4.116757516290e-01       1.097780143463e+02 
       4.286569352390e-01       1.007602291415e+02 
       4.470870775949e-01       9.196355624351e+01 
       4.672967430577e-01       8.340884093377e+01 
       4.897504714323e-01       7.529409091037e+01 
       5.151272509734e-01       6.730898666646e+01 
       5.444684083571e-01       5.951758626148e+01 
       5.794685823867e-01       5.175943401847e+01 
       6.230942708967e-01       4.394605623314e+01 
       6.810033753405e-01       3.590389919170e+01 
       7.648893907069e-01       2.749343662978e+01 
       8.983354143761e-01       1.891182268381e+01 
       1.109084851886e+00       1.149282881401e+01 
       1.394503791147e+00       6.629140780293e+00 
       1.755546876200e+00       3.779750385969e+00 
       2.210102479398e+00       2.138276217785e+00 
       2.782354173942e+00       1.201126357079e+00 
       3.502776374187e+00       6.703707946597e-01 
       4.409734189296e+00       3.719520049074e-01 
       5.551526430163e+00       2.052670541824e-01 
       6.988957697179e+00       1.127201615240e-01 
       8.798576446933e+00       6.161685428259e-02 
       1.107675147666e+01       3.353945153189e-02 
