# Matter power spectrum P(k) at redshift z=0
# for k=1.61401e-07 to 10.1956 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.614014321691e-07       2.112765345901e+00 
       2.031923644577e-07       2.643998863500e+00 
       2.558040310983e-07       3.308805682939e+00 
       3.220381951890e-07       4.140771459062e+00 
       4.054220674918e-07       5.181926615999e+00 
       5.103961432675e-07       6.484869695884e+00 
       6.425506748412e-07       8.115424597393e+00 
       8.089233729231e-07       1.015596594229e+01 
       1.018374190367e-06       1.270958055672e+01 
       1.282057146969e-06       1.590527528459e+01 
       1.614014321691e-06       1.990449418982e+01 
       2.031923644577e-06       2.490927432561e+01 
       2.558040310983e-06       3.117245195017e+01 
       3.220381951890e-06       3.901043451315e+01 
       4.054220674918e-06       4.881918309047e+01 
       5.103961432675e-06       6.109421157394e+01 
       6.425506748412e-06       7.645561074735e+01 
       8.089233729231e-06       9.567935705916e+01 
       1.018374190367e-05       1.197364791079e+02 
       1.282057146969e-05       1.498420432342e+02 
       1.614014321691e-05       1.875163987717e+02 
       2.031923644577e-05       2.346617092411e+02 
       2.558040310983e-05       2.936575016285e+02 
       3.220381951890e-05       3.674797952776e+02 
       4.054220674918e-05       4.598493040159e+02 
       5.103961432675e-05       5.754151640005e+02 
       6.425506748412e-05       7.199814364328e+02 
       8.089233729231e-05       9.007838558765e+02 
       1.018374190367e-04       1.126823112124e+03 
       1.282057146969e-04       1.409256809788e+03 
       1.614014321691e-04       1.761842469446e+03 
       2.031923644577e-04       2.201404539332e+03 
       2.558040310983e-04       2.748265129001e+03 
       3.220381951890e-04       3.426531039677e+03 
       4.054220674918e-04       4.264082468224e+03 
       5.103961432675e-04       5.292091886643e+03 
       6.425506748412e-04       6.543902149385e+03 
       8.089233729231e-04       8.052894659034e+03 
       1.018374190367e-03       9.848384757782e+03 
       1.282057146969e-03       1.194870467868e+04 
       1.614014321691e-03       1.435194771816e+04 
       2.031923644577e-03       1.702438675393e+04 
       2.558040310983e-03       1.988873455559e+04 
       3.220381951890e-03       2.281525891606e+04 
       4.054220674918e-03       2.561658497263e+04 
       5.103961432675e-03       2.805313201751e+04 
       6.425506748412e-03       2.984844381112e+04 
       8.089233729231e-03       3.071351006484e+04 
       1.018374190367e-02       3.037792890983e+04 
       1.282057146969e-02       2.863303144844e+04 
       1.614014321660e-02       2.540695367472e+04 
       2.031923538855e-02       2.090070298181e+04 
       2.557990736781e-02       1.576035923841e+04 
       3.215758644383e-02       1.109918237835e+04 
       3.947821473438e-02       8.146788532706e+03 
       4.510219928157e-02       6.954828710228e+03 
       4.931587250745e-02       6.387534827475e+03 
       5.288242331548e-02       6.001967151154e+03 
       5.611136150125e-02       5.669449631559e+03 
       5.914758501010e-02       5.342994303048e+03 
       6.207066648113e-02       5.005539509191e+03 
       6.492959917388e-02       4.654317827318e+03 
       6.775721733175e-02       4.294381196906e+03 
       7.057703462133e-02       3.934991288222e+03 
       7.340682827903e-02       3.587102144971e+03 
       7.626066753161e-02       3.261431874038e+03 
       7.915013313811e-02       2.967019781096e+03 
       8.208508719280e-02       2.710270650511e+03 
       8.507417877760e-02       2.494469115614e+03 
       8.812518719727e-02       2.319687238358e+03 
       9.124526137808e-02       2.182964426628e+03 
       9.444109060252e-02       2.078647777510e+03 
       9.771902847312e-02       1.998850294812e+03 
       1.010851841747e-01       1.934082656342e+03 
       1.045454903410e-01       1.874174810114e+03 
       1.081057538532e-01       1.809559102280e+03 
       1.117716939889e-01       1.732812471708e+03 
       1.155489711014e-01       1.640115682546e+03 
       1.194432081847e-01       1.532123092887e+03 
       1.234600071397e-01       1.413797310021e+03 
       1.276049611887e-01       1.293091726815e+03 
       1.318836646485e-01       1.178826820089e+03 
       1.363017211127e-01       1.078438928776e+03 
       1.408647509914e-01       9.962776255447e+02 
       1.455783992929e-01       9.328192737750e+02 
       1.504483444907e-01       8.848173863833e+02 
       1.554803092952e-01       8.462680539333e+02 
       1.606800741310e-01       8.100829671892e+02 
       1.660534941123e-01       7.702347385099e+02 
       1.716065203006e-01       7.237452666203e+02 
       1.773452260258e-01       6.715851183812e+02 
       1.832758390583e-01       6.178749668824e+02 
       1.894047804346e-01       5.677183385394e+02 
       1.957387107739e-01       5.248149644179e+02 
       2.022845849867e-01       4.900210212434e+02 
       2.090497163744e-01       4.613725084785e+02 
       2.160418512707e-01       4.353948617903e+02 
       2.232692555945e-01       4.090346737601e+02 
       2.307408149869e-01       3.812010989962e+02 
       2.384661506229e-01       3.529860455756e+02 
       2.464557533460e-01       3.264752594417e+02 
       2.547211395178e-01       3.031116402081e+02 
       2.632750329584e-01       2.828156926697e+02 
       2.721315786525e-01       2.643536377664e+02 
       2.813065956228e-01       2.464827256951e+02 
       2.908178786704e-01       2.288694369173e+02 
       3.006855617826e-01       2.120469007551e+02 
       3.109325602174e-01       1.966177496110e+02 
       3.215851140758e-01       1.826040371899e+02 
       3.326734642679e-01       1.695484125636e+02 
       3.442327032414e-01       1.570858085050e+02 
       3.563038593505e-01       1.452468611309e+02 
       3.689352979169e-01       1.342084819753e+02 
       3.821845581294e-01       1.239502341731e+02 
       3.961207999307e-01       1.142931379599e+02 
       4.108281207988e-01       1.051486305845e+02 
       4.264101394145e-01       9.654106361537e+01 
       4.429964685519e-01       8.844670976308e+01 
       4.607520816643e-01       8.078618036660e+01 
       4.798912487251e-01       7.352030338507e+01 
       5.006989429498e-01       6.662182770349e+01 
       5.235649627138e-01       6.003739906194e+01 
       5.490407234144e-01       5.372235404645e+01 
       5.779387095361e-01       4.762472723810e+01 
       6.115173900483e-01       4.168440799342e+01 
       6.518499965110e-01       3.582659070875e+01 
       7.026200183535e-01       2.996154539119e+01 
       7.709677629089e-01       2.398376972916e+01 
       8.717849492632e-01       1.782674607240e+01 
       1.033969503038e+00       1.176061822229e+01 
       1.284382673753e+00       6.890193160902e+00 
       1.615908185410e+00       3.885573501762e+00 
       2.034294805233e+00       2.173762392405e+00 
       2.561025395265e+00       1.209040495589e+00 
       3.224139950340e+00       6.688921703157e-01 
       4.058951714664e+00       3.682529985225e-01 
       5.109917458836e+00       2.018275346861e-01 
       6.433004941100e+00       1.101548250174e-01 
       8.098673394548e+00       5.988850959040e-02 
