# Matter power spectrum P(k) at redshift z=0
# for k=1.141e-05 to 11.4217 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.140997483013e-05       3.571549222548e+01 
       1.436430726158e-05       4.435738295325e+01 
       1.808359143443e-05       5.509026536054e+01 
       2.276589279330e-05       6.841999761737e+01 
       2.866056095967e-05       8.497482290766e+01 
       3.608150850840e-05       1.055348299766e+02 
       4.542392795710e-05       1.310685841735e+02 
       5.718533720870e-05       1.627786017984e+02 
       7.199207419405e-05       2.021572895712e+02 
       9.063265165066e-05       2.510562670263e+02 
       1.140997483013e-04       3.117713860527e+02 
       1.436430726158e-04       3.871465973407e+02 
       1.808359143443e-04       4.806996012804e+02 
       2.276589279330e-04       5.967715180812e+02 
       2.866056095967e-04       7.407009975550e+02 
       3.608150850840e-04       9.190194815513e+02 
       4.542392795710e-04       1.139658278786e+03 
       5.718533720870e-04       1.412150264292e+03 
       7.199207419405e-04       1.747800684782e+03 
       9.063265165066e-04       2.159787686243e+03 
       1.140997483013e-03       2.663106060065e+03 
       1.436430726158e-03       3.274165360965e+03 
       1.808359143443e-03       4.009820633823e+03 
       2.276589279330e-03       4.885674452621e+03 
       2.866056095967e-03       5.913255684593e+03 
       3.608150850840e-03       7.096131135855e+03 
       4.542392795710e-03       8.424520288943e+03 
       5.718533720870e-03       9.868732124169e+03 
       7.199207419405e-03       1.137152543152e+04 
       9.063265165066e-03       1.284229810755e+04 
       1.140997483013e-02       1.415055643919e+04 
       1.436430726158e-02       1.512539007015e+04 
       1.808359143440e-02       1.556975647272e+04 
       2.276589261614e-02       1.529710890654e+04 
       2.866042527516e-02       1.422253084048e+04 
       3.606263472188e-02       1.249286318961e+04 
       4.479302688626e-02       1.064013177114e+04 
       5.216846938203e-02       9.445181877818e+03 
       5.751471706676e-02       8.765335812958e+03 
       6.192105602138e-02       8.283540156411e+03 
       6.585414869137e-02       7.887871569127e+03 
       6.952180255145e-02       7.532672721944e+03 
       7.303391326153e-02       7.196200000602e+03 
       7.645633462985e-02       6.867446345836e+03 
       7.983230364159e-02       6.541997703062e+03 
       8.319228102165e-02       6.219139442666e+03 
       8.655898584181e-02       5.900679250832e+03 
       8.995019197534e-02       5.589733343893e+03 
       9.338038456484e-02       5.290555336021e+03 
       9.686179308424e-02       5.007201551050e+03 
       1.004050632241e-01       4.743329089628e+03 
       1.040197092437e-01       4.501594181853e+03 
       1.077144273507e-01       4.283136033744e+03 
       1.114973179674e-01       4.087482992880e+03 
       1.153760464049e-01       3.912458350609e+03 
       1.193579607569e-01       3.754477123714e+03 
       1.234501793675e-01       3.608504564965e+03 
       1.276596562075e-01       3.468970711382e+03 
       1.319932299430e-01       3.330545237334e+03 
       1.364576608174e-01       3.188841679503e+03 
       1.410596583816e-01       3.041140992525e+03 
       1.458059023809e-01       2.887187103328e+03 
       1.507030586244e-01       2.729229156662e+03 
       1.557577913431e-01       2.571557682771e+03 
       1.609767733315e-01       2.419460107875e+03 
       1.663666950303e-01       2.277899750012e+03 
       1.719342736209e-01       2.150310120273e+03 
       1.776862631475e-01       2.037559438508e+03 
       1.836294666499e-01       1.937979726466e+03 
       1.897707512655e-01       1.847583952268e+03 
       1.961170672477e-01       1.761190197833e+03 
       2.026754718373e-01       1.674340431736e+03 
       2.094531589173e-01       1.584571350443e+03 
       2.164574953868e-01       1.492224307192e+03 
       2.236960652038e-01       1.400428321627e+03 
       2.311767220799e-01       1.313255458712e+03 
       2.389076518784e-01       1.233998456032e+03 
       2.468974458664e-01       1.163628778408e+03 
       2.551551861407e-01       1.100033039152e+03 
       2.636905447765e-01       1.039971571662e+03 
       2.725138985868e-01       9.811932679658e+02 
       2.816364618334e-01       9.227413404702e+02 
       2.910704398475e-01       8.651380957063e+02 
       3.008292073413e-01       8.103785127754e+02 
       3.109275162753e-01       7.601239450886e+02 
       3.213817395875e-01       7.141523575341e+02 
       3.322101589922e-01       6.712774362534e+02 
       3.434333075933e-01       6.299744483677e+02 
       3.550743814622e-01       5.896901798379e+02 
       3.671597389461e-01       5.512857434911e+02 
       3.797195128106e-01       5.153186719685e+02 
       3.927883691242e-01       4.818892348696e+02 
       4.064064592246e-01       4.503306748188e+02 
       4.206206289119e-01       4.200281617602e+02 
       4.354859749764e-01       3.911055655551e+02 
       4.510678777247e-01       3.638565556321e+02 
       4.674446965887e-01       3.381645967391e+02 
       4.847114064138e-01       3.136729690065e+02 
       5.029845957088e-01       2.903074140873e+02 
       5.224094825047e-01       2.681097727741e+02 
       5.431699974632e-01       2.469422755407e+02 
       5.655036690582e-01       2.266864829765e+02 
       5.897242836868e-01       2.072378118231e+02 
       6.162576295737e-01       1.885357784033e+02 
       6.457002636509e-01       1.704205879759e+02 
       6.789209469614e-01       1.527756938202e+02 
       7.172460654306e-01       1.354397367722e+02 
       7.628221850063e-01       1.181966836469e+02 
       8.193815215482e-01       1.007896537837e+02 
       8.939885018056e-01       8.286156508749e+01 
       1.001167095752e+00       6.405441095623e+01 
       1.170581431700e+00       4.467590740993e+01 
       1.440378359505e+00       2.747267934828e+01 
       1.810266583585e+00       1.591774676685e+01 
       2.278932038720e+00       9.100007334439e+00 
       2.869005235569e+00       5.157721628554e+00 
       3.611863597512e+00       2.900799672210e+00 
       4.547066866842e+00       1.620061480330e+00 
       5.724418027795e+00       8.990254664234e-01 
       7.206615322924e+00       4.960317005995e-01 
       9.072591163054e+00       2.722245590397e-01 
       1.142171556599e+01       1.486728681393e-01 
