# Matter power spectrum P(k) at redshift z=2
# for k=9.02773e-06 to 11.3801 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.027730535539e-06       1.453820501663e+01 
       1.136523938202e-05       1.820621638291e+01 
       1.430798866915e-05       2.279963822856e+01 
       1.801269052725e-05       2.855191058655e+01 
       2.267663383955e-05       3.575532768565e+01 
       2.854819059456e-05       4.477584523897e+01 
       3.594004260023e-05       5.607156939101e+01 
       4.524583293039e-05       7.021585130752e+01 
       5.696112885387e-05       8.792601244225e+01 
       7.170981259861e-05       1.100989965915e+02 
       9.027730535539e-05       1.378553653787e+02 
       1.136523938202e-04       1.725930929008e+02 
       1.430798866915e-04       2.160524134965e+02 
       1.801269052725e-04       2.703921326489e+02 
       2.267663383955e-04       3.382758320501e+02 
       2.854819059456e-04       4.229623268688e+02 
       3.594004260023e-04       5.283873819841e+02 
       4.524583293039e-04       6.592123365197e+02 
       5.696112885387e-04       8.208019319130e+02 
       7.170981259861e-04       1.019086963458e+03 
       9.027730535539e-04       1.260280185556e+03 
       1.136523938202e-03       1.550427817266e+03 
       1.430798866915e-03       1.894681191674e+03 
       1.801269052726e-03       2.295945744649e+03 
       2.267663383955e-03       2.752870848085e+03 
       2.854819059456e-03       3.257759574796e+03 
       3.594004260023e-03       3.794382183045e+03 
       4.524583293039e-03       4.335803321984e+03 
       5.696112885387e-03       4.843160820609e+03 
       7.170981259861e-03       5.265908712866e+03 
       9.027730535539e-03       5.542637142781e+03 
       1.136523938202e-02       5.605720959121e+03 
       1.430798866915e-02       5.388326579349e+03 
       1.801269052629e-02       4.844018426737e+03 
       2.267663128902e-02       3.986611077939e+03 
       2.854721364348e-02       2.946412379937e+03 
       3.586283493758e-02       1.991267775913e+03 
       4.373700033414e-02       1.427222929577e+03 
       4.960773598616e-02       1.230552029986e+03 
       5.407837735864e-02       1.154470094587e+03 
       5.790080667780e-02       1.113755736290e+03 
       6.138033536651e-02       1.081615663366e+03 
       6.466291537291e-02       1.046870200132e+03 
       6.782992415787e-02       1.004399829123e+03 
       7.093202051753e-02       9.524299676002e+02 
       7.400344204012e-02       8.913798972596e+02 
       7.706887398844e-02       8.232194657416e+02 
       8.014708509401e-02       7.509206399015e+02 
       8.325300109174e-02       6.780282319273e+02 
       8.639895906328e-02       6.079551498809e+02 
       8.959550316991e-02       5.438109742067e+02 
       9.285190948901e-02       4.879304770090e+02 
       9.617654348366e-02       4.417665435987e+02 
       9.957711002875e-02       4.058630906706e+02 
       1.030608321311e-01       3.799005798846e+02 
       1.066345809246e-01       3.627952076622e+02 
       1.103049715019e-01       3.528106820500e+02 
       1.140784342453e-01       3.476345610167e+02 
       1.179612682457e-01       3.444862445354e+02 
       1.219596814301e-01       3.403813727268e+02 
       1.260798207264e-01       3.325887991089e+02 
       1.303277947508e-01       3.192060359864e+02 
       1.347096909315e-01       2.997066151358e+02 
       1.392315886098e-01       2.751358637841e+02 
       1.438995694085e-01       2.478744661296e+02 
       1.487197259946e-01       2.209549062209e+02 
       1.536981702567e-01       1.972322294388e+02 
       1.588410418541e-01       1.786337145454e+02 
       1.641545180477e-01       1.658769157275e+02 
       1.696448257033e-01       1.583907145971e+02 
       1.753182563353e-01       1.545175036697e+02 
       1.811811850513e-01       1.518578830835e+02 
       1.872400942488e-01       1.479490228250e+02 
       1.935016029141e-01       1.409888324546e+02 
       1.999725023810e-01       1.306704106235e+02 
       2.066597994223e-01       1.183653412131e+02 
       2.135707675947e-01       1.063327248287e+02 
       2.207130078226e-01       9.644418207737e+01 
       2.280945193248e-01       8.943401574186e+01 
       2.357237821575e-01       8.495753291565e+01 
       2.436098528953e-01       8.181708021097e+01 
       2.517624753140e-01       7.837509063392e+01 
       2.601922084080e-01       7.356519210807e+01 
       2.689105747037e-01       6.759411782938e+01 
       2.779302326643e-01       6.152130355201e+01 
       2.872651780849e-01       5.644466708305e+01 
       2.969309808371e-01       5.277168465313e+01 
       3.069450652599e-01       4.992833911940e+01 
       3.173270450793e-01       4.707599778046e+01 
       3.280991272269e-01       4.376775699927e+01 
       3.392866036725e-01       4.020849555976e+01 
       3.509184569350e-01       3.701952359826e+01 
       3.630281140840e-01       3.442663589178e+01 
       3.756543970325e-01       3.218390616176e+01 
       3.888427356500e-01       2.988308068430e+01 
       4.026467377193e-01       2.754150609115e+01 
       4.171302508952e-01       2.535381483690e+01 
       4.323701146760e-01       2.342359100927e+01 
       4.484598986534e-01       2.163268131917e+01 
       4.655150808606e-01       1.986784515927e+01 
       4.836803799087e-01       1.817733989760e+01 
       5.031403969709e-01       1.663369166425e+01 
       5.241355039017e-01       1.515577880088e+01 
       5.469863461946e-01       1.372908107875e+01 
       5.721330816769e-01       1.238196309845e+01 
       6.002010446313e-01       1.108367194917e+01 
       6.321164740699e-01       9.826201706861e+00 
       6.693233218715e-01       8.597278391009e+00 
       7.142194122817e-01       7.383086563011e+00 
       7.711059886405e-01       6.161437180301e+00 
       8.484057365790e-01       4.911471071062e+00 
       9.637515319012e-01       3.620798693347e+00 
       1.150217270078e+00       2.361682837941e+00 
       1.433257013111e+00       1.379262007573e+00 
       1.803628967318e+00       7.809839873401e-01 
       2.270626591268e+00       4.389586477808e-01 
       2.858549502078e+00       2.452590870839e-01 
       3.598700609034e+00       1.362870653947e-01 
       4.530495646152e+00       7.534822326652e-02 
       5.703556096964e+00       4.146273719428e-02 
       7.180351708061e+00       2.271539247173e-02 
       9.039527230898e+00       1.239322393678e-02 
       1.138009054158e+01       6.735662321133e-03 
