# Matter power spectrum P(k) at redshift z=1.5
# for k=1.16049e-05 to 11.6213 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.160486692966e-05       7.626651741398e+00 
       1.460966187824e-05       9.542970208326e+00 
       1.839247459623e-05       1.194078996320e+01 
       2.315475365498e-05       1.494108779328e+01 
       2.915010778008e-05       1.869523367064e+01 
       3.669781144089e-05       2.339261540264e+01 
       4.619980738016e-05       2.927018179570e+01 
       5.816211153088e-05       3.662436519861e+01 
       7.322176020983e-05       4.582597244722e+01 
       9.218073462446e-05       5.733876799165e+01 
       1.160486692966e-04       7.174262209906e+01 
       1.460966187824e-04       8.976227156840e+01 
       1.839247459623e-04       1.123029088720e+02 
       2.315475365498e-04       1.404939376453e+02 
       2.915010778008e-04       1.757422309102e+02 
       3.669781144089e-04       2.197959492547e+02 
       4.619980738016e-04       2.748192007274e+02 
       5.816211153088e-04       3.434762963621e+02 
       7.322176020983e-04       4.290219823678e+02 
       9.218073462446e-04       5.353912012721e+02 
       1.160486692966e-03       6.672789027099e+02 
       1.460966187824e-03       8.301928172206e+02 
       1.839247459623e-03       1.030399307364e+03 
       2.315475365498e-03       1.274808069385e+03 
       2.915010778008e-03       1.570519775688e+03 
       3.669781144089e-03       1.924055746688e+03 
       4.619980738016e-03       2.340121634078e+03 
       5.816211153088e-03       2.819666817102e+03 
       7.322176020983e-03       3.357080337527e+03 
       9.218073462446e-03       3.936499385414e+03 
       1.160486692966e-02       4.527023399975e+03 
       1.460966187824e-02       5.078504225136e+03 
       1.839247459284e-02       5.520012670970e+03 
       2.315474702057e-02       5.768432880789e+03 
       2.914812486138e-02       5.757777043180e+03 
       3.657009140426e-02       5.495861483434e+03 
       4.417489032570e-02       5.155123801100e+03 
       4.969822221392e-02       4.922451552335e+03 
       5.399091607562e-02       4.755714183456e+03 
       5.770422452297e-02       4.617906484009e+03 
       6.110606492648e-02       4.493162437795e+03 
       6.432781352284e-02       4.373468532652e+03 
       6.744407035288e-02       4.254397570677e+03 
       7.050189776479e-02       4.133558449652e+03 
       7.353343091268e-02       4.009829648935e+03 
       7.656203233379e-02       3.883124257359e+03 
       7.960558894294e-02       3.754072661469e+03 
       8.267841006115e-02       3.623968896212e+03 
       8.579238424169e-02       3.494315452427e+03 
       8.895771764145e-02       3.367121005715e+03 
       9.218342348370e-02       3.244041952576e+03 
       9.547765682624e-02       3.126727438034e+03 
       9.884794951407e-02       3.016349162585e+03 
       1.023013785923e-01       2.913466588184e+03 
       1.058446890723e-01       2.818029320938e+03 
       1.094843845807e-01       2.729151210473e+03 
       1.132267949074e-01       2.645343715222e+03 
       1.170781266222e-01       2.564567280423e+03 
       1.210445011052e-01       2.484550965797e+03 
       1.251319831373e-01       2.403172926048e+03 
       1.293466024065e-01       2.318807217397e+03 
       1.336943697593e-01       2.230761836733e+03 
       1.381812896761e-01       2.139419119213e+03 
       1.428133702172e-01       2.046313772812e+03 
       1.475966315333e-01       1.953789196824e+03 
       1.525371139389e-01       1.864444270472e+03 
       1.576408864842e-01       1.780610149142e+03 
       1.629140569226e-01       1.703592416772e+03 
       1.683627839483e-01       1.633408212436e+03 
       1.739932925607e-01       1.568616110686e+03 
       1.798118934039e-01       1.506858658069e+03 
       1.858250069215e-01       1.445516192243e+03 
       1.920391931673e-01       1.382813184922e+03 
       1.984611881183e-01       1.318005865809e+03 
       2.050979473610e-01       1.252176123577e+03 
       2.119566980637e-01       1.187727430631e+03 
       2.190450002253e-01       1.127152837890e+03 
       2.263708183093e-01       1.071684954819e+03 
       2.339426045522e-01       1.020923579217e+03 
       2.417693954922e-01       9.733541201117e+02 
       2.498609236156e-01       9.269998121358e+02 
       2.582277465078e-01       8.804195112602e+02 
       2.668813965358e-01       8.336899983901e+02 
       2.758345549526e-01       7.881736189944e+02 
       2.851012554464e-01       7.453086936943e+02 
       2.946971236604e-01       7.057688131164e+02 
       3.046396612029e-01       6.688676654861e+02 
       3.149485853330e-01       6.331914188202e+02 
       3.256462391080e-01       5.980161703505e+02 
       3.367580916821e-01       5.636335635436e+02 
       3.483133552331e-01       5.309180793638e+02 
       3.603457544868e-01       5.002823841575e+02 
       3.728944983261e-01       4.712441109018e+02 
       3.860055225006e-01       4.431230769194e+02 
       3.997331012092e-01       4.157723050746e+02 
       4.141419684688e-01       3.896204784864e+02 
       4.293101563154e-01       3.647846377754e+02 
       4.453328606246e-01       3.409280994409e+02 
       4.623278123499e-01       3.178345879776e+02 
       4.804429086331e-01       2.955483195574e+02 
       4.998673314977e-01       2.741163633762e+02 
       5.208482211367e-01       2.533417327907e+02 
       5.437165213138e-01       2.330954517928e+02 
       5.689286146515e-01       2.133636301963e+02 
       5.971364854007e-01       1.939512668400e+02 
       6.293123985165e-01       1.747211344486e+02 
       6.669847484603e-01       1.554582862578e+02 
       7.127178175193e-01       1.358658209251e+02 
       7.711682970643e-01       1.155375373308e+02 
       8.515694188513e-01       9.395108003260e+01 
       9.732893647194e-01       7.076414745522e+01 
       1.170688905265e+00       4.742041349833e+01 
       1.463360032907e+00       2.888346253557e+01 
       1.841847587460e+00       1.711084123882e+01 
       2.318745275099e+00       1.001699163321e+01 
       2.919127345458e+00       5.804590702786e+00 
       3.674963595460e+00       3.332892985965e+00 
       4.626505057743e+00       1.897943797089e+00 
       5.824424784987e+00       1.072738736831e+00 
       7.332516370904e+00       6.022270926305e-01 
       9.231091191727e+00       3.360009284388e-01 
       1.162125527985e+01       1.864127628652e-01 
