# Matter power spectrum P(k) at redshift z=1.5
# for k=2.36491e-07 to 11.8648 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.364912130759e-07       2.537572562570e-01 
       2.977247978073e-07       3.145056628604e-01 
       3.748133136809e-07       3.897969792002e-01 
       4.718620052717e-07       4.831127158561e-01 
       5.940390692967e-07       5.987678420082e-01 
       7.478508799362e-07       7.421103118085e-01 
       9.414884769843e-07       9.197683562464e-01 
       1.185263768587e-06       1.139956975607e+00 
       1.492158677953e-06       1.412857803759e+00 
       1.878516478104e-06       1.751089910909e+00 
       2.364912130759e-06       2.170293309894e+00 
       2.977247978073e-06       2.689852149629e+00 
       3.748133136809e-06       3.333791029645e+00 
       4.718620052717e-06       4.131885873193e+00 
       5.940390692967e-06       5.121040708060e+00 
       7.478508799362e-06       6.346993984153e+00 
       9.414884769843e-06       7.866433262312e+00 
       1.185263768587e-05       9.749615919650e+00 
       1.492158677953e-05       1.208361679780e+01 
       1.878516478104e-05       1.497635244312e+01 
       2.364912130759e-05       1.856156701661e+01 
       2.977247978073e-05       2.300500841843e+01 
       3.748133136809e-05       2.851207631866e+01 
       4.718620052717e-05       3.533728805765e+01 
       5.940390692967e-05       4.379598506145e+01 
       7.478508799362e-05       5.427879166498e+01 
       9.414884769843e-05       6.726943714469e+01 
       1.185263768587e-04       8.336665270617e+01 
       1.492158677953e-04       1.033109372524e+02 
       1.878516478104e-04       1.280170076805e+02 
       2.364912130759e-04       1.586126276324e+02 
       2.977247978073e-04       1.964840935470e+02 
       3.748133136809e-04       2.433277026261e+02 
       4.718620052717e-04       3.012046995617e+02 
       5.940390692967e-04       3.725942227737e+02 
       7.478508799362e-04       4.604348926841e+02 
       9.414884769843e-04       5.681423223495e+02 
       1.185263768587e-03       6.995884007664e+02 
       1.492158677953e-03       8.590215501982e+02 
       1.878516478104e-03       1.050869663561e+03 
       2.364912130759e-03       1.279310417862e+03 
       2.977247978073e-03       1.547553615928e+03 
       3.748133136809e-03       1.856842287516e+03 
       4.718620052717e-03       2.205084732747e+03 
       5.940390692967e-03       2.585104185878e+03 
       7.478508799362e-03       2.982580586134e+03 
       9.414884769843e-03       3.373977111354e+03 
       1.185263768587e-02       3.724669538258e+03 
       1.492158677953e-02       3.988271040643e+03 
       1.878516478101e-02       4.109299145161e+03 
       2.364912112120e-02       4.033936153377e+03 
       2.977233749004e-02       3.735527837572e+03 
       3.746159097969e-02       3.254906527709e+03 
       4.652790108820e-02       2.746198415243e+03 
       5.418181715869e-02       2.428324297062e+03 
       5.973085726043e-02       2.254642984577e+03 
       6.430518756057e-02       2.135524231380e+03 
       6.838863080441e-02       2.039621175945e+03 
       7.219670569334e-02       1.953940923918e+03 
       7.584341476688e-02       1.872132433911e+03 
       7.939708523235e-02       1.790958619730e+03 
       8.290258412978e-02       1.708965873720e+03 
       8.639152398471e-02       1.625868631386e+03 
       8.988748504101e-02       1.542192735055e+03 
       9.340891629190e-02       1.459014772319e+03 
       9.697085406231e-02       1.377735456235e+03 
       1.005859938942e-01       1.299867812079e+03 
       1.042653877275e-01       1.226839718668e+03 
       1.080189133076e-01       1.159819069872e+03 
       1.118555993958e-01       1.099571197817e+03 
       1.157838564347e-01       1.046357437461e+03 
       1.198116432983e-01       9.998816777308e+02 
       1.239465896480e-01       9.592911471781e+02 
       1.281960867108e-01       9.232389828458e+02 
       1.325673551327e-01       8.900176498098e+02 
       1.370674959041e-01       8.577669793560e+02 
       1.417035286398e-01       8.247473176723e+02 
       1.464824203590e-01       7.896428112704e+02 
       1.514111071639e-01       7.518317625275e+02 
       1.564965107098e-01       7.115440971747e+02 
       1.617455510335e-01       6.698365761734e+02 
       1.671651570809e-01       6.283617506050e+02 
       1.727622761369e-01       5.889715686203e+02 
       1.785438832706e-01       5.532554022141e+02 
       1.845169918488e-01       5.221352218868e+02 
       1.906886661380e-01       4.956242570321e+02 
       1.970660369931e-01       4.728164154994e+02 
       2.036563216135e-01       4.521311778154e+02 
       2.104668483397e-01       4.317857096404e+02 
       2.175050874582e-01       4.103832408485e+02 
       2.247786889845e-01       3.874109169612e+02 
       2.322955284100e-01       3.634102653847e+02 
       2.400637614369e-01       3.396968761353e+02 
       2.480918887888e-01       3.177339575860e+02 
       2.563888322958e-01       2.984578858188e+02 
       2.649640236214e-01       2.818786079938e+02 
       2.738275072443e-01       2.671395880144e+02 
       2.829900596515e-01       2.530118656867e+02 
       2.924633271777e-01       2.385792638267e+02 
       3.022599855640e-01       2.237215887625e+02 
       3.123939251605e-01       2.090738198567e+02 
       3.228804668316e-01       1.954872229506e+02 
       3.337366151101e-01       1.833943394244e+02 
       3.449813571311e-01       1.725447372452e+02 
       3.566360185048e-01       1.622830193765e+02 
       3.687246908314e-01       1.521173282862e+02 
       3.812747503517e-01       1.420807555534e+02 
       3.943174938141e-01       1.325694127548e+02 
       4.078889267882e-01       1.238593713899e+02 
       4.220307525667e-01       1.158275877565e+02 
       4.367916283029e-01       1.081488827905e+02 
       4.522287820059e-01       1.006854034715e+02 
       4.684101240792e-01       9.357197365707e+01 
       4.854170477969e-01       8.693219567150e+01 
       5.033482071706e-01       8.067787606804e+01 
       5.223247099827e-01       7.467084137462e+01 
       5.424974073336e-01       6.891978423885e+01 
       5.640573705448e-01       6.347143620740e+01 
       5.872513584408e-01       5.826751016391e+01 
       6.124053649441e-01       5.325459113066e+01 
       6.399617653355e-01       4.843735939468e+01 
       6.705403934675e-01       4.377715156667e+01 
       7.050439745206e-01       3.923385893776e+01 
       7.448508734363e-01       3.477299658046e+01 
       7.921920248999e-01       3.033773739826e+01 
       8.509468625798e-01       2.586034038336e+01 
       9.284595959133e-01       2.124955639855e+01 
       1.039831088385e+00       1.641591050564e+01 
       1.215896780424e+00       1.143827754276e+01 
       1.496243164517e+00       7.024928099940e+00 
       1.880496108929e+00       4.065062688261e+00 
       2.367344017733e+00       2.320843523703e+00 
       2.980309316760e+00       1.313582697937e+00 
       3.751987133757e+00       7.377153645532e-01 
       4.723471947412e+00       4.113924667329e-01 
       5.946498866493e+00       2.279491349733e-01 
       7.486198534234e+00       1.255679447364e-01 
       9.424565572483e+00       6.880101281804e-02 
       1.186482509432e+01       3.751251584238e-02 
