# Matter power spectrum P(k) at redshift z=1
# for k=2.05519e-07 to 10.3117 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.055186159878e-07       5.728300920812e-01 
       2.587326082639e-07       7.128133487552e-01 
       3.257250554031e-07       8.870045009911e-01 
       4.100635495051e-07       1.103762977609e+00 
       5.162394229225e-07       1.373491011915e+00 
       6.499069280871e-07       1.709132843920e+00 
       8.181843470699e-07       2.126795913308e+00 
       1.030033066058e-06       2.646523853137e+00 
       1.296734801849e-06       3.293258379223e+00 
       1.632492394406e-06       4.098036235820e+00 
       2.055186159878e-06       5.099478632241e+00 
       2.587326082639e-06       6.345644645030e+00 
       3.257250554031e-06       7.896337513608e+00 
       4.100635495051e-06       9.825974483261e+00 
       5.162394229225e-06       1.222715786053e+01 
       6.499069280871e-06       1.521511855126e+01 
       8.181843470699e-06       1.893324511584e+01 
       1.030033066058e-05       2.355996324836e+01 
       1.296734801849e-05       2.931729502381e+01 
       1.632492394406e-05       3.648150700479e+01 
       2.055186159878e-05       4.539635502282e+01 
       2.587326082639e-05       5.648955488650e+01 
       3.257250554031e-05       7.029325696357e+01 
       4.100635495051e-05       8.746948256675e+01 
       5.162394229225e-05       1.088416944361e+02 
       6.499069280871e-05       1.354339211042e+02 
       8.181843470699e-05       1.685191260070e+02 
       1.030033066058e-04       2.096787774189e+02 
       1.296734801849e-04       2.608757675715e+02 
       1.632492394406e-04       3.245428097017e+02 
       2.055186159878e-04       4.036879439545e+02 
       2.587326082639e-04       5.020173419352e+02 
       3.257250554032e-04       6.240725018443e+02 
       4.100635495051e-04       7.753733397582e+02 
       5.162394229225e-04       9.625503183239e+02 
       6.499069280871e-04       1.193439325654e+03 
       8.181843470699e-04       1.477106631941e+03 
       1.030033066058e-03       1.823764508412e+03 
       1.296734801849e-03       2.244491332662e+03 
       1.632492394406e-03       2.750536379143e+03 
       2.055186159878e-03       3.351953799250e+03 
       2.587326082639e-03       4.055528817187e+03 
       3.257250554032e-03       4.861841139479e+03 
       4.100635495051e-03       5.761515283569e+03 
       5.162394229225e-03       6.730379201976e+03 
       6.499069280871e-03       7.713576158324e+03 
       8.181843470699e-03       8.658287057133e+03 
       1.030033066058e-02       9.457456354595e+03 
       1.296734801849e-02       9.980634296073e+03 
       1.632492394405e-02       1.007591138693e+04 
       2.055186152268e-02       9.604534863857e+03 
       2.587319041986e-02       8.521409249381e+03 
       3.256108336378e-02       6.996338698020e+03 
       4.056860547701e-02       5.513723522458e+03 
       4.761532456872e-02       4.667886490578e+03 
       5.268190212540e-02       4.276658939941e+03 
       5.681191341803e-02       4.044394792921e+03 
       6.047694358055e-02       3.873905557176e+03 
       6.388315307963e-02       3.726533650740e+03 
       6.713796179852e-02       3.583543084708e+03 
       7.030506200121e-02       3.435301910079e+03 
       7.342594084636e-02       3.277447178930e+03 
       7.652964345728e-02       3.109197336442e+03 
       7.963772134977e-02       2.932386697910e+03 
       8.276696123704e-02       2.750723565890e+03 
       8.593099220821e-02       2.569096344944e+03 
       8.914128342940e-02       2.392885831789e+03 
       9.240779057694e-02       2.227306910775e+03 
       9.573938969337e-02       2.076827075705e+03 
       9.914417697676e-02       1.944708333915e+03 
       1.026296809593e-01       1.832697385256e+03 
       1.062030156288e-01       1.740863964816e+03 
       1.098709926355e-01       1.667571687485e+03 
       1.136402044631e-01       1.609571804415e+03 
       1.175170865585e-01       1.562238826835e+03 
       1.215079639489e-01       1.519998300588e+03 
       1.256190862807e-01       1.476997723328e+03 
       1.298566541623e-01       1.428011915850e+03 
       1.342268389986e-01       1.369454061496e+03 
       1.387357980403e-01       1.300230245437e+03 
       1.433896860621e-01       1.222115073405e+03 
       1.481946648827e-01       1.139413597757e+03 
       1.531569118050e-01       1.057913316916e+03 
       1.582826279724e-01       9.834111618560e+02 
       1.635780475831e-01       9.202627532092e+02 
       1.690494488723e-01       8.703499943294e+02 
       1.747031677506e-01       8.326685804509e+02 
       1.805456149735e-01       8.035805183843e+02 
       1.865832977071e-01       7.777443500911e+02 
       1.928228463521e-01       7.496847177121e+02 
       1.992710474860e-01       7.156790207346e+02 
       2.059348838014e-01       6.752076555887e+02 
       2.128215819438e-01       6.311083384043e+02 
       2.199386692105e-01       5.881642032993e+02 
       2.272940401652e-01       5.508130284249e+02 
       2.348960343659e-01       5.211711882842e+02 
       2.427535266151e-01       4.982600241039e+02 
       2.508760314377e-01       4.786816240231e+02 
       2.592738239035e-01       4.584766195856e+02 
       2.679580794617e-01       4.353446406511e+02 
       2.769410361941e-01       4.098808637929e+02 
       2.862361838689e-01       3.848475044230e+02 
       2.958584854714e-01       3.629885546510e+02 
       3.058246385939e-01       3.450875424430e+02 
       3.161533863475e-01       3.296525738487e+02 
       3.268658905095e-01       3.143427352903e+02 
       3.379861837555e-01       2.979749442713e+02 
       3.495417234960e-01       2.813405943995e+02 
       3.615640777031e-01       2.660612114059e+02 
       3.740897842026e-01       2.527757115621e+02 
       3.871614407683e-01       2.406256995856e+02 
       4.008291064350e-01       2.284686691053e+02 
       4.151521286670e-01       2.162438935922e+02 
       4.302015627533e-01       2.047363074203e+02 
       4.460634297752e-01       1.942345813906e+02 
       4.628431861298e-01       1.841832590378e+02 
       4.806719835705e-01       1.742239257954e+02 
       4.997156439125e-01       1.646604627359e+02 
       5.201878707392e-01       1.556043784755e+02 
       5.423702969839e-01       1.467376623933e+02 
       5.666439893674e-01       1.380387381083e+02 
       5.935410181825e-01       1.295607232897e+02 
       6.238330110548e-01       1.211119332462e+02 
       6.586920424823e-01       1.126461065348e+02 
       7.000029935161e-01       1.039976837312e+02 
       7.510178647099e-01       9.497205946616e+01 
       8.178382685862e-01       8.524765405181e+01 
       9.129247615464e-01       7.435681637559e+01 
       1.062010573191e+00       6.183856099505e+01 
       1.301279548024e+00       4.841455469131e+01 
       1.634364337585e+00       3.670021608125e+01 
       2.057457156386e+00       2.746267741450e+01 
       2.590184715632e+00       2.020502439171e+01 
       3.260849359499e+00       1.453822488639e+01 
       4.105166122706e+00       1.018996332992e+01 
       5.168097951512e+00       6.939434079265e+00 
       6.506249841799e+00       4.587965005915e+00 
       8.190883261323e+00       2.949186356883e+00 
       1.031171108272e+01       1.849374832730e+00 
