# Matter power spectrum P(k) at redshift z=1
# for k=2.07434e-07 to 10.4102 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.074339284640e-07       5.018981419932e-01 
       2.611438438116e-07       6.269683064258e-01 
       3.287606211081e-07       7.832052445883e-01 
       4.138851003102e-07       9.783755387525e-01 
       5.210504703435e-07       1.222181159285e+00 
       6.559636779427e-07       1.526741751145e+00 
       8.258093433760e-07       1.907197103959e+00 
       1.039632367673e-06       2.382459753079e+00 
       1.308819606587e-06       2.976155122644e+00 
       1.647706262187e-06       3.717795943906e+00 
       2.074339284640e-06       4.644249322581e+00 
       2.611438438116e-06       5.801569379187e+00 
       3.287606211081e-06       7.247286543604e+00 
       4.138851003102e-06       9.053267272240e+00 
       5.210504703434e-06       1.130928627837e+01 
       6.559636779427e-06       1.412748872375e+01 
       8.258093433760e-06       1.764796392494e+01 
       1.039632367673e-05       2.204570712623e+01 
       1.308819606587e-05       2.753931440891e+01 
       1.647706262187e-05       3.440184091738e+01 
       2.074339284640e-05       4.297435819826e+01 
       2.611438438116e-05       5.368287668178e+01 
       3.287606211081e-05       6.705945888763e+01 
       4.138851003102e-05       8.376854201549e+01 
       5.210504703435e-05       1.046397173433e+02 
       6.559636779427e-05       1.307084755322e+02 
       8.258093433760e-05       1.632667061619e+02 
       1.039632367673e-04       2.039249966637e+02 
       1.308819606587e-04       2.546889196493e+02 
       1.647706262187e-04       3.180513434390e+02 
       2.074339284640e-04       3.971019985951e+02 
       2.611438438116e-04       4.956534733030e+02 
       3.287606211081e-04       6.183785709584e+02 
       4.138851003102e-04       7.709465062300e+02 
       5.210504703435e-04       9.601345406600e+02 
       6.559636779427e-04       1.193880096480e+03 
       8.258093433760e-04       1.481232522847e+03 
       1.039632367673e-03       1.832160258627e+03 
       1.308819606587e-03       2.257116242457e+03 
       1.647706262187e-03       2.766103699543e+03 
       2.074339284640e-03       3.366983255437e+03 
       2.611438438116e-03       4.063123402949e+03 
       3.287606211081e-03       4.850310503785e+03 
       4.138851003102e-03       5.713134039215e+03 
       5.210504703435e-03       6.621235846963e+03 
       6.559636779427e-03       7.526308610253e+03 
       8.258093433760e-03       8.360907381739e+03 
       1.039632367673e-02       9.039892460609e+03 
       1.308819606587e-02       9.465857461080e+03 
       1.647706262187e-02       9.540797666838e+03 
       2.074339282961e-02       9.188905314974e+03 
       2.611436162263e-02       8.396398725127e+03 
       3.287101951601e-02       7.262659941758e+03 
       4.113571616261e-02       6.041428781503e+03 
       4.902796019060e-02       5.154765778395e+03 
       5.467822775683e-02       4.657707817034e+03 
       5.917646906966e-02       4.316293153154e+03 
       6.311864372334e-02       4.042590325897e+03 
       6.675647381674e-02       3.804195958593e+03 
       7.021716798665e-02       3.586880636303e+03 
       7.357452677091e-02       3.383960420066e+03 
       7.687584929691e-02       3.192442867225e+03 
