# Matter power spectrum P(k) at redshift z=1.5
# for k=2.21134e-07 to 11.0957 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.211340602511e-07       1.581091369867e-01 
       2.783912878633e-07       1.973999179990e-01 
       3.504738667133e-07       2.464546221548e-01 
       4.412204569751e-07       3.076996251276e-01 
       5.554636454894e-07       3.841642669364e-01 
       6.992872986344e-07       4.796306911213e-01 
       8.803505503958e-07       5.988209194515e-01 
       1.108295679180e-06       7.476304152613e-01 
       1.395261594302e-06       9.334196880489e-01 
       1.756530277167e-06       1.165378362571e+00 
       2.211340602511e-06       1.454979719569e+00 
       2.783912878633e-06       1.816548189468e+00 
       3.504738667133e-06       2.267967866849e+00 
       4.412204569751e-06       2.831567086076e+00 
       5.554636454894e-06       3.535222800625e+00 
       6.992872986344e-06       4.413739374727e+00 
       8.803505503958e-06       5.510569949305e+00 
       1.108295679180e-05       6.879965447823e+00 
       1.395261594302e-05       8.589657381165e+00 
       1.756530277167e-05       1.072420685410e+01 
       2.211340602511e-05       1.338918486230e+01 
       2.783912878633e-05       1.671638952796e+01 
       3.504738667133e-05       2.087035610969e+01 
       4.412204569751e-05       2.605647740508e+01 
       5.554636454894e-05       3.253112754643e+01 
       6.992872986344e-05       4.061427282748e+01 
       8.803505503958e-05       5.070515965550e+01 
       1.108295679180e-04       6.330178931974e+01 
       1.395261594302e-04       7.902501311758e+01 
       1.756530277167e-04       9.864818699700e+01 
       2.211340602511e-04       1.231333652235e+02 
       2.783912878633e-04       1.536748975504e+02 
       3.504738667133e-04       1.917508689556e+02 
       4.412204569751e-04       2.391818594344e+02 
       5.554636454894e-04       2.981947733037e+02 
       6.992872986344e-04       3.714869972403e+02 
       8.803505503958e-04       4.622834679078e+02 
       1.108295679180e-03       5.743767571821e+02 
       1.395261594302e-03       7.121331544492e+02 
       1.756530277167e-03       8.804201617403e+02 
       2.211340602511e-03       1.084365498098e+03 
       2.783912878633e-03       1.328891747870e+03 
       3.504738667133e-03       1.617957113064e+03 
       4.412204569751e-03       1.953372772176e+03 
       5.554636454894e-03       2.330054618405e+03 
       6.992872986344e-03       2.744117484991e+03 
       8.803505503958e-03       3.175541437262e+03 
       1.108295679180e-02       3.593118107675e+03 
       1.395261594302e-02       3.949114913462e+03 
       1.756530277136e-02       4.179152390753e+03 
       2.211340495658e-02       4.212105561970e+03 
       2.783861797171e-02       4.000482361263e+03 
       3.499899075466e-02       3.575511703282e+03 
       4.299112203956e-02       3.120788598166e+03 
       4.915072424710e-02       2.852130809055e+03 
       5.375874817342e-02       2.697228426851e+03 
       5.765522489294e-02       2.588239381636e+03 
       6.118097949028e-02       2.499745094466e+03 
       6.449525209807e-02       2.419960773569e+03 
       6.768536383609e-02       2.342506828752e+03 
       7.080502198842e-02       2.263754622590e+03 
       7.389019104942e-02       2.181796599983e+03 
       7.696660972399e-02       2.095974167695e+03 
       8.005372699839e-02       2.006606661009e+03 
       8.316692809195e-02       1.914783032026e+03 
       8.631887197563e-02       1.822158824910e+03 
       8.952033524239e-02       1.730737486448e+03 
       9.278076619453e-02       1.642636944500e+03 
       9.610866083437e-02       1.559853138969e+03 
       9.951182503923e-02       1.484037490841e+03 
       1.029975614989e-01       1.416306028538e+03 
       1.065728054207e-01       1.357095240691e+03 
       1.102442244221e-01       1.306076783185e+03 
       1.140182928094e-01       1.262143593515e+03 
       1.179013471718e-01       1.223482559136e+03 
       1.218996281320e-01       1.187751533359e+03 
       1.260193117318e-01       1.152371929089e+03 
       1.302665330331e-01       1.114926549307e+03 
       1.346474039173e-01       1.073611883776e+03 
       1.391680266684e-01       1.027647716333e+03 
       1.438345046600e-01       9.775180453141e+02 
       1.486529512954e-01       9.249326847249e+02 
       1.536294982360e-01       8.724698832886e+02 
       1.587703038829e-01       8.229641679364e+02 
       1.640815630340e-01       7.787956486400e+02 
       1.695695186076e-01       7.412707598534e+02 
       1.752404763105e-01       7.102565180993e+02 
       1.811008231117e-01       6.841741264929e+02 
       1.871570503798e-01       6.604027415369e+02 
       1.934157825347e-01       6.360664990288e+02 
       1.998838120740e-01       6.090279955370e+02 
       2.065681418480e-01       5.787220716143e+02 
       2.134760354979e-01       5.463964461258e+02 
       2.206150770383e-01       5.145428879409e+02 
       2.279932406728e-01       4.857361301542e+02 
       2.356189720958e-01       4.614421925015e+02 
       2.435012827723e-01       4.413693911737e+02 
       2.516498590162e-01       4.236735863864e+02 
       2.600751881414e-01       4.059711310954e+02 
       2.687887045690e-01       3.867000626701e+02 
       2.778029595795e-01       3.660179863620e+02 
       2.871318194718e-01       3.455562817946e+02 
       2.967906983031e-01       3.271492394293e+02 
       3.067968332596e-01       3.114859387898e+02 
       3.171696132118e-01       2.976950157344e+02 
       3.279309743744e-01       2.841673404114e+02 
       3.391058815720e-01       2.699635697691e+02 
       3.507229199177e-01       2.555515532780e+02 
       3.628150305071e-01       2.421319247418e+02 
       3.754204361952e-01       2.302748955485e+02 
       3.885838214558e-01       2.193713998394e+02 
       4.023578565889e-01       2.084849328405e+02 
       4.168051957448e-01       1.975177189028e+02 
       4.320011379626e-01       1.871371174272e+02 
       4.480372335182e-01       1.776295831536e+02 
       4.650262666616e-01       1.684992966137e+02 
       4.831092903104e-01       1.594033335310e+02 
       5.024658027240e-01       1.506502227931e+02 
       5.233288837392e-01       1.423560946351e+02 
       5.460084367660e-01       1.341863508635e+02 
       5.709282200829e-01       1.261499207565e+02 
       5.986874497702e-01       1.183056985356e+02 
       6.301686123135e-01       1.104429191242e+02 
       6.667377840521e-01       1.025443082357e+02 
       7.106438048543e-01       9.442089542946e+01 
       7.658785917245e-01       8.588228178669e+01 
       8.401728985677e-01       7.659625680800e+01 
       9.496427409782e-01       6.611922592370e+01 
       1.125649079568e+00       5.424652998714e+01 
       1.397812730933e+00       4.239740873545e+01 
       1.758569210758e+00       3.260743908436e+01 
       2.213892384564e+00       2.480247320119e+01 
       2.787125346438e+00       1.852297935507e+01 
       3.508782924475e+00       1.349543434854e+01 
       4.417295988091e+00       9.546995655461e+00 
       5.561046170825e+00       6.539246361004e+00 
       7.000942340612e+00       4.336070616825e+00 
       8.813664219102e+00       2.790796183711e+00 
       1.109574585645e+01       1.751052975088e+00 
