Trial #              h                    Omega_b              Omega_cdm            A_s                  n_s                  Omega_k              M_nu                 w_0                  w_a                 
00000                0.65                 0.03205              0.1533               1.615e-09            0.9339               0.069                0.6945               -1.3475              -0.87               
00001                0.794                0.03265              0.2001               1.555e-09            0.9693               0.081                0.9107               -1.3775              0.29                
00002                0.798                0.02815              0.3275               2.185e-09            0.9579               -0.089               0.8825               -1.1525              0.71                
00003                0.83                 0.03595              0.2599               2.435e-09            0.9801               0.027                0.4501               -1.5425              0.33                
00004                0.782                0.01135              0.1117               2.075e-09            0.9717               0.097                0.5347               -1.7525              0.97                
00005                0.878                0.01825              0.2027               1.625e-09            0.9825               -0.067               0.6099               -1.3025              -0.23               
00006                0.682                0.01555              0.2703               2.425e-09            0.9789               -0.099               0.4689               -1.9175              -0.35               
00007                0.658                0.02215              0.2937               1.635e-09            0.9705               -0.071               0.0929               -1.9475              -0.77               
00008                0.614                0.01855              0.1871               2.405e-09            0.9489               0.031                0.2809               -0.6425              0.89                
00009                0.602                0.01015              0.3145               1.535e-09            0.9603               0.023                0.4125               -1.1675              0.39                
00010                0.762                0.02725              0.1377               2.085e-09            0.9609               0.095                0.3561               -1.8725              -0.31               
00011                0.834                0.03865              0.2313               1.505e-09            0.9573               -0.031               0.8355               -0.6125              -0.59               
00012                0.882                0.01045              0.3561               2.105e-09            0.9867               -0.097               0.4595               -0.6575              0.09                
00013                0.742                0.01645              0.3249               1.925e-09            0.9495               0.039                0.5159               -1.7375              -0.63               
00014                0.582                0.02515              0.2261               2.165e-09            0.9729               0.007                0.9389               -0.9425              0.27                
00015                0.738                0.02785              0.2859               2.115e-09            0.9555               0.053                0.9577               -1.9025              0.61                
00016                0.838                0.03655              0.3119               1.685e-09            0.9393               -0.003               0.7603               -0.8525              -0.43               
00017                0.698                0.01675              0.2729               1.995e-09            0.9891               -0.021               0.5065               -1.2425              -0.93               
00018                0.846                0.02095              0.1247               1.705e-09            0.9645               0.079                0.1211               -0.9275              -0.11               
00019                0.606                0.02065              0.1481               2.015e-09            0.9657               0.009                0.3091               -0.8825              -0.95               
00020                0.866                0.01795              0.1455               2.415e-09            0.9357               0.099                0.8261               -1.4225              0.93                
00021                0.518                0.02905              0.1325               1.745e-09            0.9417               -0.083               0.2997               -1.6925              0.35                
00022                0.69                 0.01375              0.1845               1.885e-09            0.9405               0.045                0.5817               -0.5375              -0.79               
00023                0.766                0.02395              0.2833               2.315e-09            0.9321               -0.017               0.1023               -0.7025              -0.09               
00024                0.814                0.01285              0.3483               1.975e-09            0.9561               0.089                0.6569               -1.6775              -0.49               
00025                0.722                0.03475              0.1065               1.755e-09            0.9513               0.025                0.6475               -1.7975              -0.19               
00026                0.67                 0.03925              0.1975               2.465e-09            0.9399               0.083                0.2715               -0.7625              -0.73               
00027                0.666                0.02365              0.1689               2.365e-09            0.9465               0.037                0.2527               -1.6175              -0.57               
00028                0.858                0.03355              0.3509               1.915e-09            0.9429               -0.087               0.4407               -1.0325              -0.45               
00029                0.842                0.01765              0.2287               1.515e-09            0.9873               -0.025               0.9671               -1.7225              -0.99               
00030                0.774                0.03835              0.1741               1.815e-09            0.9783               0.073                0.9295               -0.6275              0.21                
00031                0.53                 0.02275              0.2235               1.965e-09            0.9525               -0.013               0.2339               -0.5675              0.23                
00032                0.566                0.01105              0.1221               1.595e-09            0.9309               0.035                0.4313               -1.2875              -0.29               
00033                0.55                 0.02755              0.3197               1.785e-09            0.9591               0.061                0.0647               -1.8125              -0.61               
00034                0.862                0.03685              0.2521               2.225e-09            0.9759               -0.085               0.8073               -0.8075              0.31                
00035                0.554                0.02005              0.2573               1.985e-09            0.9819               -0.045               0.5911               -1.5575              0.85                
