Trial #              h                    Omega_b              Omega_cdm            A_s                  n_s                  Omega_k              M_nu                 w_0                  w_a                 
00000                0.686                0.04299              0.1855               2.115e-09            0.9507               0.021                0.2057               -1.8725              0.29                
00001                0.638                0.05183              0.2095               2.295e-09            0.9705               0.027                0.8073               -1.5725              -0.89               
00002                0.578                0.02225              0.3595               2.455e-09            0.9483               0.037                0.4501               -1.4375              0.59                
00003                0.606                0.05115              0.2065               2.045e-09            0.9585               -0.045               0.9765               -1.7225              0.43                
00004                0.738                0.03925              0.2875               1.935e-09            0.9363               0.081                0.8449               -0.8975              -0.93               
00005                0.682                0.02293              0.1945               2.465e-09            0.9309               0.057                0.9201               -1.2425              0.83                
00006                0.83                 0.03721              0.3505               1.525e-09            0.9651               -0.083               0.3185               -1.0625              0.73                
00007                0.798                0.04469              0.1195               2.025e-09            0.9717               -0.055               0.5065               -1.8575              -0.01               
00008                0.59                 0.04537              0.3745               1.685e-09            0.9513               0.073                0.8261               -0.7775              -0.09               
00009                0.73                 0.05149              0.3445               1.945e-09            0.9543               -0.043               0.6663               -1.9925              -0.23               
00010                0.858                0.04639              0.1255               1.985e-09            0.9819               0.031                0.4971               -0.7175              -0.07               
00011                0.718                0.03857              0.2335               2.445e-09            0.9765               -0.069               0.5723               -0.8525              -0.63               
00012                0.502                0.03959              0.3985               1.545e-09            0.9693               0.063                0.1587               -0.6425              -0.43               
00013                0.694                0.03585              0.3625               2.145e-09            0.9435               0.065                0.3749               -1.7075              0.45                
00014                0.586                0.03313              0.3535               1.595e-09            0.9411               -0.029               0.6945               -1.9175              -0.45               
00015                0.802                0.03245              0.1345               1.555e-09            0.9573               -0.065               0.1117               -1.6925              -0.59               
00016                0.89                 0.04775              0.1825               1.565e-09            0.9387               -0.073               0.2715               -1.0775              -0.99               
00017                0.774                0.02361              0.3565               2.165e-09            0.9861               -0.021               0.9483               -1.2575              0.13                
00018                0.79                 0.01953              0.3955               2.225e-09            0.9465               -0.087               0.8167               -0.9275              -0.65               
00019                0.526                0.04231              0.2245               1.875e-09            0.9327               0.097                0.3937               -0.5075              -0.17               
00020                0.654                0.03007              0.3025               2.155e-09            0.9357               -0.059               0.1775               -0.9425              0.51                
00021                0.61                 0.01851              0.2665               2.265e-09            0.9471               0.003                0.7791               -0.8375              -0.69               
00022                0.554                0.04741              0.1435               1.535e-09            0.9855               0.051                0.0835               -1.1825              -0.11               
00023                0.714                0.04809              0.3175               1.645e-09            0.9795               0.011                0.2997               -1.7975              0.47                
00024                0.518                0.04095              0.1465               1.815e-09            0.9879               0.075                0.7227               -0.5525              0.39                
00025                0.678                0.04877              0.3865               2.095e-09            0.9657               -0.091               0.8637               -0.9875              -0.31               
00026                0.726                0.04911              0.1495               2.075e-09            0.9711               -0.077               0.1211               -1.9325              0.11                
00027                0.886                0.02701              0.2785               1.615e-09            0.9807               0.017                0.8919               -0.9575              0.49                
00028                0.754                0.03211              0.2635               1.715e-09            0.9801               -0.015               0.3561               -1.1975              -0.75               
00029                0.602                0.02055              0.2125               2.235e-09            0.9645               0.083                0.6757               -1.6175              -0.41               
00030                0.566                0.03381              0.1375               2.275e-09            0.9837               0.033                0.6851               -1.8875              -0.29               
00031                0.806                0.03653              0.1645               2.085e-09            0.9609               -0.025               0.0741               -1.1675              -0.47               
00032                0.758                0.03143              0.3655               2.415e-09            0.9399               -0.063               0.5629               -1.3025              -0.27               
00033                0.762                0.03449              0.1765               1.915e-09            0.9549               0.007                0.9013               -1.7675              0.63                
00034                0.862                0.03619              0.1165               1.845e-09            0.9561               -0.095               0.8543               -1.6625              0.15                
00035                0.818                0.04061              0.2515               2.495e-09            0.9567               0.059                0.7885               -1.9625              0.75                
00036                0.51                 0.02905              0.3235               2.205e-09            0.9867               0.089                0.6475               -0.5675              -0.53               
00037                0.778                0.03483              0.1795               1.825e-09            0.9405               -0.089               0.4125               -1.5125              0.81                
00038                0.69                 0.04027              0.1525               1.785e-09            0.9783               0.039                0.7321               -1.4825              0.71                
00039                0.57                 0.02633              0.1315               2.055e-09            0.9741               0.041                0.2339               -0.8675              -0.19               
00040                0.658                0.02497              0.2755               2.305e-09            0.9423               -0.085               0.8825               -1.9025              -0.67               
00041                0.582                0.04503              0.3775               2.035e-09            0.9321               0.091                0.3467               -1.6475              -0.25               
00042                0.662                0.04333              0.2185               1.955e-09            0.9381               -0.035               0.7415               -1.4525              0.27                
00043                0.598                0.03041              0.3355               1.925e-09            0.9621               -0.097               0.2621               -1.0475              0.17                
00044                0.534                0.04843              0.1105               1.625e-09            0.9531               -0.017               0.9107               -0.6725              -0.83               
00045                0.706                0.02667              0.1225               1.745e-09            0.9447               -0.071               0.3655               -1.7525              0.57                
00046                0.53                 0.02837              0.2035               2.005e-09            0.9459               -0.047               0.1023               -1.7375              0.53                
00047                0.634                0.04571              0.3475               1.865e-09            0.9393               -0.019               0.6099               -0.7025              0.05                
00048                0.63                 0.04265              0.2425               1.905e-09            0.9831               -0.033               0.7979               -1.4075              0.93                
00049                0.642                0.04979              0.2485               2.245e-09            0.9495               0.029                0.4877               -1.6775              0.21                
00050                0.562                0.05047              0.1615               2.185e-09            0.9771               0.005                0.9953               -1.1375              -0.95               
00051                0.614                0.03993              0.3085               1.575e-09            0.9747               -0.099               0.6381               -0.6575              0.97                
00052                0.794                0.03517              0.2605               1.885e-09            0.9555               -0.061               0.0647               -1.1225              -0.73               
00053                0.834                0.03823              0.2305               2.015e-09            0.9753               -0.051               0.1869               -1.5425              0.01                
00054                0.558                0.04163              0.1075               1.895e-09            0.9627               -0.011               0.4313               -0.9725              -0.05               
00055                0.87                 0.03755              0.2275               2.285e-09            0.9891               0.061                0.2809               -1.3325              -0.91               
00056                0.546                0.01817              0.2845               2.475e-09            0.9663               -0.075               0.9859               -1.3175              -0.97               
00057                0.854                0.02769              0.2695               2.485e-09            0.9351               -0.007               0.6287               -0.8075              -0.87               
00058                0.814                0.04401              0.1885               2.335e-09            0.9345               -0.037               0.7509               -1.9475              -0.15               
00059                0.898                0.04435              0.2575               2.255e-09            0.9537               0.053                0.9295               -0.8825              -0.39               
00060                0.766                0.04605              0.2725               1.635e-09            0.9519               -0.003               0.1963               -1.5575              0.31                
00061                0.626                0.04367              0.1405               1.505e-09            0.9669               0.093                0.8355               -0.6875              0.09                
00062                0.55                 0.02599              0.3295               1.735e-09            0.9843               -0.027               0.4783               -0.5975              0.67                
00063                0.786                0.01885              0.1045               2.385e-09            0.9681               -0.079               0.3373               -1.6025              -0.33               
00064                0.846                0.02429              0.2545               1.795e-09            0.9333               -0.039               0.4407               -1.3475              0.19                
00065                0.67                 0.03551              0.1555               1.655e-09            0.9429               0.043                0.1399               -0.6125              0.79                
00066                0.77                 0.04707              0.3145               1.515e-09            0.9639               -0.053               0.0929               -0.7475              0.35                
00067                0.646                0.03109              0.2455               1.965e-09            0.9303               0.049                0.6193               -1.5875              0.91                
00068                0.514                0.02191              0.2395               1.775e-09            0.9315               -0.013               0.5159               -1.4225              -0.03               
00069                0.866                0.04945              0.3265               2.315e-09            0.9501               0.047                0.3279               -1.8275              0.65                
00070                0.65                 0.04673              0.1975               2.395e-09            0.9579               0.025                0.5911               -1.2725              0.25                
00071                0.702                0.02259              0.3685               1.605e-09            0.9729               0.071                0.7039               -0.6275              0.55                
00072                0.842                0.02735              0.3835               2.125e-09            0.9825               0.001                0.2245               -0.5375              0.61                
00073                0.894                0.02531              0.1915               2.425e-09            0.9477               0.077                0.7603               -1.4675              -0.77               
00074                0.85                 0.05013              0.3385               2.345e-09            0.9789               0.099                0.2151               -1.8425              -0.57               
00075                0.734                0.03789              0.1705               1.695e-09            0.9453               0.013                0.5441               -1.0925              0.41                
00076                0.674                0.02123              0.1585               2.405e-09            0.9633               -0.057               0.6569               -1.6325              0.95                
00077                0.838                0.03075              0.1015               2.175e-09            0.9591               0.045                0.3843               -1.3925              0.23                
00078                0.574                0.03687              0.2155               1.705e-09            0.9615               -0.009               0.4689               -1.3625              -0.37               
00079                0.594                0.02157              0.2215               2.135e-09            0.9723               0.069                0.9577               -0.7325              -0.79               
00080                0.622                0.02973              0.1285               1.975e-09            0.9675               -0.049               0.5347               -1.1525              -0.51               
