Trial #              h                    Omega_b              Omega_cdm            A_s                  n_s                 
00000                0.794                0.02463              0.1285               2.485e-09            0.9699              
00001                0.534                0.04401              0.2995               2.335e-09            0.9477              
00002                0.742                0.04061              0.3445               2.005e-09            0.9711              
00003                0.862                0.05081              0.1105               1.755e-09            0.9705              
00004                0.626                0.04537              0.3895               2.355e-09            0.9321              
00005                0.866                0.02293              0.3835               2.405e-09            0.9651              
00006                0.778                0.04945              0.3625               1.685e-09            0.9861              
00007                0.846                0.02531              0.2725               2.015e-09            0.9753              
00008                0.53                 0.02259              0.1825               2.475e-09            0.9723              
00009                0.546                0.04095              0.3925               2.115e-09            0.9387              
00010                0.678                0.04129              0.3385               2.055e-09            0.9561              
00011                0.87                 0.02123              0.2635               1.635e-09            0.9747              
00012                0.518                0.02667              0.2605               2.265e-09            0.9537              
00013                0.674                0.04299              0.3085               2.435e-09            0.9609              
00014                0.622                0.03483              0.3565               2.375e-09            0.9333              
00015                0.562                0.04027              0.2695               1.775e-09            0.9885              
00016                0.666                0.02599              0.2005               2.395e-09            0.9813              
00017                0.662                0.05115              0.2365               1.585e-09            0.9405              
00018                0.61                 0.04843              0.3595               1.625e-09            0.9567              
00019                0.578                0.04673              0.1465               1.835e-09            0.9819              
00020                0.814                0.04775              0.1765               2.165e-09            0.9315              
00021                0.706                0.02633              0.1855               2.285e-09            0.9879              
00022                0.782                0.03857              0.1195               1.925e-09            0.9483              
00023                0.842                0.03279              0.3715               1.975e-09            0.9777              
00024                0.65                 0.04741              0.2425               1.565e-09            0.9675              
00025                0.802                0.02939              0.1045               2.365e-09            0.9393              
00026                0.718                0.02327              0.2455               1.965e-09            0.9573              
00027                0.766                0.04367              0.1795               1.605e-09            0.9855              
00028                0.566                0.02905              0.2035               1.935e-09            0.9357              
00029                0.83                 0.03449              0.2275               1.555e-09            0.9327              
00030                0.886                0.03415              0.1885               1.535e-09            0.9693              
00031                0.694                0.03619              0.3205               2.105e-09            0.9591              
00032                0.59                 0.04639              0.3865               1.905e-09            0.9381              
00033                0.734                0.01953              0.2245               2.255e-09            0.9825              
00034                0.582                0.02497              0.3355               1.595e-09            0.9783              
00035                0.818                0.03823              0.1495               2.025e-09            0.9801              
00036                0.602                0.03789              0.3745               1.705e-09            0.9735              
00037                0.726                0.03177              0.2755               1.515e-09            0.9867              
00038                0.634                0.02565              0.1015               1.735e-09            0.9873              
00039                0.55                 0.04809              0.2845               1.665e-09            0.9549              
00040                0.73                 0.04571              0.2155               2.125e-09            0.9495              
00041                0.614                0.03925              0.1375               1.645e-09            0.9633              
00042                0.558                0.03517              0.3415               2.215e-09            0.9447              
00043                0.786                0.02089              0.2335               1.855e-09            0.9423              
00044                0.638                0.03721              0.3475               1.985e-09            0.9513              
00045                0.826                0.05013              0.3505               2.035e-09            0.9897              
00046                0.898                0.04707              0.3535               1.575e-09            0.9435              
00047                0.75                 0.03993              0.1585               1.895e-09            0.9831              
00048                0.538                0.03755              0.2305               2.295e-09            0.9849              
00049                0.698                0.02803              0.3235               2.225e-09            0.9369              
00050                0.714                0.02021              0.1435               1.545e-09            0.9795              
00051                0.858                0.02769              0.2875               1.505e-09            0.9891              
00052                0.878                0.04435              0.2815               1.945e-09            0.9759              
00053                0.77                 0.02395              0.1645               2.175e-09            0.9627              
00054                0.51                 0.02361              0.2935               2.415e-09            0.9585              
00055                0.542                0.03313              0.3325               1.815e-09            0.9555              
00056                0.874                0.04503              0.2095               2.455e-09            0.9657              
00057                0.746                0.04911              0.1135               1.825e-09            0.9345              
00058                0.79                 0.04605              0.2575               2.185e-09            0.9441              
00059                0.606                0.03687              0.2785               1.675e-09            0.9429              
00060                0.762                0.05183              0.2965               1.695e-09            0.9669              
00061                0.894                0.03347              0.1915               2.325e-09            0.9459              
00062                0.57                 0.02871              0.2545               1.805e-09            0.9807              
00063                0.882                0.02837              0.2485               2.155e-09            0.9507              
00064                0.598                0.03653              0.3025               1.745e-09            0.9543              
00065                0.506                0.03007              0.1225               1.615e-09            0.9579              
00066                0.642                0.04877              0.1555               2.385e-09            0.9597              
00067                0.682                0.05149              0.1345               2.315e-09            0.9501              
00068                0.806                0.04333              0.1675               1.725e-09            0.9639              
00069                0.738                0.03381              0.3055               2.495e-09            0.9417              
00070                0.522                0.04265              0.2905               1.875e-09            0.9351              
00071                0.654                0.02735              0.3655               2.075e-09            0.9471              
00072                0.71                 0.03891              0.1315               2.425e-09            0.9303              
00073                0.798                0.01919              0.1975               2.275e-09            0.9603              
00074                0.81                 0.03245              0.3175               1.795e-09            0.9339              
00075                0.658                0.05047              0.2665               1.785e-09            0.9687              
00076                0.754                0.03959              0.1405               2.195e-09            0.9663              
00077                0.574                0.03041              0.1075               2.465e-09            0.9465              
00078                0.502                0.02429              0.1525               1.655e-09            0.9531              
00079                0.67                 0.03109              0.2065               1.845e-09            0.9363              
00080                0.586                0.01885              0.1255               2.045e-09            0.9621              
00081                0.838                0.04469              0.2185               1.715e-09            0.9453              
00082                0.594                0.01817              0.2215               2.065e-09            0.9717              
00083                0.526                0.04163              0.1735               1.885e-09            0.9519              
00084                0.722                0.04231              0.3805               2.245e-09            0.9375              
00085                0.85                 0.03143              0.1945               2.085e-09            0.9789              
00086                0.758                0.03585              0.3775               1.915e-09            0.9411              
00087                0.686                0.01987              0.1165               2.235e-09            0.9645              
00088                0.834                0.02701              0.3985               1.865e-09            0.9729              
00089                0.554                0.03551              0.3265               1.765e-09            0.9765              
00090                0.854                0.03211              0.3145               2.305e-09            0.9525              
00091                0.69                 0.02225              0.2515               2.345e-09            0.9309              
00092                0.822                0.04979              0.2395               2.145e-09            0.9615              
00093                0.702                0.03075              0.3115               2.135e-09            0.9489              
00094                0.514                0.02191              0.1615               1.995e-09            0.9681              
00095                0.63                 0.04197              0.3295               2.095e-09            0.9771              
00096                0.774                0.02973              0.2125               2.205e-09            0.9741              
00097                0.646                0.01851              0.1705               2.445e-09            0.9837              
00098                0.618                0.02157              0.3955               1.955e-09            0.9843              
00099                0.89                 0.02055              0.3685               1.525e-09            0.9399              
